"key","UN_Code","Globocan_ID","Country","Collaborators","Description","Visits","Training","Agreements","Research","Reports","Publications","HUB"
"1","AGO","24","Angola","Dr Fernando Miguel, National
Cancer Centre","Consultancy and discussions in
developing a PBCR1 in a suitable area.","X","","","","","","SS-Africa"
"2","BEN","204","Benin","Pr Akele-Akpo Marie-Thérèse,
Head Pathology","Assisted with support to have registry
functioning in Cotonou and to start a registry in Parakou","X","","","","","","SS-Africa"
"3","BWA","72","Botswana","Dr Malebogo Pusoentsi, Ministry
of Health","Participation in 2016 national cancer
control workshop; agreement in development.","","X","X","","","","SS-Africa"
"4","CMR","120","Cameroon","Dr Agnes Sidonie-Ananga Noa,
Hôpital Général de Douala","Developing a registry in Douala.","X","","X","","","","SS-Africa"
"5","CPV","132","Cape Verde","Dr Conceição Carvalho, Ministry
of Health","Consultancy visit conducted in 2015,
with recommendations provided to the Ministry of Health. National registry suggested for development.","X","","","","","","SS-Africa"
"6","COG","178","Congo","Dr Charles Gombe, Director -
Registre des cancers de Brazzaville","Collaboration on multiple research
studies and assisting with regional training courses.","","X","","X","","","SS-Africa"
"7","CIV","384","Côte d'Ivoire","Guy Nda, National de lutte contre
le Cancer, Registre du Cancer d'Abidjan","Participated in consultancies to other
countries, one of the CanReg Masterclass trainers, assisted with courses, research (Essential TNM and SurvCan projects) and served as a host.","X","X","","","","","SS-Africa"
"8","COG","178","Democratic
Republic of the Congo","Prof. Julien Ilunga, Pathologist","Consultancy visit in 2013 to
Lubumbashi, staff training in 2014 in Abidjan.","X","X","","","","","SS-Africa"
"9","ETH","231","Ethiopia","Dr Mathewos Aseffa, Ministry of
Health","Agreement signed in 2016; training
course held in 2015","","X","X","","","","SS-Africa"
"10","GAB","266","Gabon","Dr Ernest Belembaogo, Director
of the National Cancer Institute","Course planned in early 2017","","X","","","","","SS-Africa"
"11","GMB","270","Gambia","Dr Giana Lamim. Ministry of
Health","Support for registry operations and
participation in the Gambia Hepatitis Intervention Study.","X","","","X","","","SS-Africa"
"12","GHA","288","Ghana","Dr Baffour Awuah, Medical
Director","Consultancy to Kumasi, training
course, and hosting of registry staff.","X","X","X","","","","SS-Africa"
"13","GIN","324","Guinea","Dr Moussa Koulibaly, Director,
Registre de Cancer de Guinée","Consultancy visit, participation in
research studies.","X","","","X","","","SS-Africa"
"14","KEN","404","Kenya","Anne Korir, Nariobi Cancer
Registry","Agreement signed in 2016 to support
the development of four PBCRs.","","","X","","","","SS-Africa"
"15","LSO","426","Lesotho","Dr Kabelo Mputsoe Cekwane, Ministry of Health","Request for support and consultancy visit.","X","","","","","","SS-Africa"
"16","LBR","430","Liberia","Sam Slewion, Ministry of Health","Site visit conducted in 2016; advice provided for registry operations and
priorities; draft agreement from AFCRN under review.","X","","X","","","","SS-Africa"
"17","MWI","454","Malawi","Dr Charles Dzamalala, Pathologist","Consultancy visit conducted and
research projects started (SurvCan and TNM).","X","","","X","","","SS-Africa"
"18","MLI","466","Mali","Dr Kamate Bakarou, Institut
National de Recherche en Santé Publique","Consultancy visit conduct and
research projects started (SurvCan and TNM).","X","","","X","","","SS-Africa"
"19","MRT","478","Mauritania","Dr Mohamed Diop, Centre
National d'Oncologie de Nouakchott","Consultancy","X","","","","","","SS-Africa"
