hub_code;period;iso_code;country;status;comments
AFCRN;2017;;Brundi;Completed;IAEA mission 
AFCRN;2017;;Rwanda;Follow-up;Planned 
AFCRN;2017;;Senegal ;Follow-up;Planned 
AFCRN;2017;;Mali;Follow-up;Planned 
AFCRN;2017;;Niger;Follow-up;Old prof retiring, need to find someone new. 
AFCRN;2017;;Cameron;Follow-up;
AFCRN;2017;;Guinea;Follow-up;
AFCRN;2015;;Madagascar;Completed;Part of IEAE mission. 
AFCRN;2015;;Benin ;Follow-up;
AFCRN;2015;;Kenya;Follow-up;Nairobi, Eldoret and Kisumu
AFCRN;2015;;Malawi;Confirmed;Blantyre
AFCRN;2015;;Mali;Planned;
AFCRN;2015;;Mozambique;Follow-up;Beira, Maputo
AFCRN;2015;;Zambia;Follow-up;
AFCRN;2015;;Zimbabwe;Confirmed;Bulawayo
AFCRN;2015;;Burundi;Confirmed;Part of IEAE mission. 
AFCRN;2015;;Gambia;Completed;
AFCRN;2014;;Rwanda;Follow-up;Part of IEAE mission. 
AFCRN;2014;;Namibia;Completed;
AFCRN;2014;;Uganda;Completed;Gulu, Kampala
AFCRN;2014;;Tanzania;Follow-up;Zanzibar, Dar es Salaam
AFCRN;2014;;Senegal;Completed;
AFCRN;2014;;Rwanda;Follow-up;
AFCRN;2014;;Burkina Faso;Follow-up;Bobo-Diolassso
AFCRN;2014;;Mauretania;Follow-up;
AFCRN;2014;;Angola;Completed;Luanda
AFCRN;2014;;Zambia;Follow-up;
AFCRN;2014;;Reunion ;Completed;
AFCRN;2013;;Togo;Completed;
AFCRN;2013;;Benin;Completed;
AFCRN;2013;;Mozambique;Completed;Maputo , Beira
AFCRN;2013;;Tanzania;Completed;Mwanza
AFCRN;2013;;Kenya;Completed;Nairobi
AFCRN;2013;;Botswana;Completed;
AFCRN;2013;;DR Congo;Completed;Lubumbashi
AFCRN;2013;;Ethiopia;Completed;Addis Ababa
AFCRN;2013;;Ghana;Follow-up;Kumasi
AFCRN;2013;;Liberia;Completed;Monrovia
AFCRN;2013;;Cameroon;Completed;Yaounde
