cancer,cancer_label,volume,sex,per1,per2,country_code,country_label,cases,py,asr,rank
52,"Colorectum",1,1,1960,1962,124,"Canada",1646,5617500,26.83,1
27,"Prostate",1,1,1960,1962,124,"Canada",1787,5617500,26.72,2
16,"Lung (incl. trachea and bronchus)",1,1,1960,1962,124,"Canada",1518,5617500,26.56,3
51,"Lip, oral cavity and pharynx",1,1,1960,1962,124,"Canada",1284,5617500,22.15,4
7,"Stomach",1,1,1960,1962,124,"Canada",1306,5617500,21.34,5
29,"Kidney",1,1,1960,1962,124,"Canada",714,5617500,11.76,6
38,"Leukaemia",1,1,1960,1962,124,"Canada",435,5617500,7.21,7
13,"Pancreas",1,1,1960,1962,124,"Canada",416,5617500,6.87,8
32,"Brain, central nervous system",1,1,1960,1962,124,"Canada",303,5617500,5.56,9
30,"Bladder",1,1,1960,1962,124,"Canada",324,5617500,5.51,10
36,"Non-Hodgkin lymphoma",1,1,1960,1962,124,"Canada",311,5617500,5.3,11
35,"Hodgkin lymphoma",1,1,1960,1962,124,"Canada",154,5617500,2.82,12
28,"Testis",1,1,1960,1962,124,"Canada",140,5617500,2.57,13
6,"Oesophagus",1,1,1960,1962,124,"Canada",145,5617500,2.31,14
37,"Multiple myeloma",1,1,1960,1962,124,"Canada",126,5617500,2.2,15
20,"Connective tissue",1,1,1960,1962,124,"Canada",122,5617500,2.15,16
15,"Larynx",1,1,1960,1962,124,"Canada",118,5617500,2,17
18,"Melanoma of skin",1,1,1960,1962,124,"Canada",114,5617500,2,18
12,"Gallbladder etc.",1,1,1960,1962,124,"Canada",96,5617500,1.57,19
31,"Eye",1,1,1960,1962,124,"Canada",74,5617500,1.31,20
17,"Bone",1,1,1960,1962,124,"Canada",64,5617500,1.16,21
11,"Liver",1,1,1960,1962,124,"Canada",61,5617500,1.04,22
33,"Thyroid",1,1,1960,1962,124,"Canada",49,5617500,.87,23
26,"Penis",1,1,1960,1962,124,"Canada",46,5617500,.74,24
14,"Nose sinuses etc.",1,1,1960,1962,124,"Canada",37,5617500,.68,25
8,"Small intestine",1,1,1960,1962,124,"Canada",34,5617500,.54,26
21,"Breast",1,1,1960,1962,124,"Canada",23,5617500,.37,27
34,"Other endocrine",1,1,1960,1962,124,"Canada",18,5617500,.33,28
25,"Other female genital organs",1,1,1960,1962,124,"Canada",0,5617500,0,29
23,"Corpus uteri",1,1,1960,1962,124,"Canada",0,5617500,0,30
24,"Ovary etc.",1,1,1960,1962,124,"Canada",0,5617500,0,31
22,"Cervix uteri",1,1,1960,1962,124,"Canada",0,5617500,0,32
27,"Prostate",10,1,2003,2007,124,"Canada",19687,15110792,94.1,1
52,"Colorectum",10,1,2003,2007,124,"Canada",9577,15110792,43.29,2
16,"Lung (incl. trachea and bronchus)",10,1,2003,2007,124,"Canada",9465,15110792,42.5,3
30,"Bladder",10,1,2003,2007,124,"Canada",4619,15110792,20.12,4
36,"Non-Hodgkin lymphoma",10,1,2003,2007,124,"Canada",2994,15110792,14.26,5
29,"Kidney",10,1,2003,2007,124,"Canada",2624,15110792,12.52,6
38,"Leukaemia",10,1,2003,2007,124,"Canada",2332,15110792,11.83,7
18,"Melanoma of skin",10,1,2003,2007,124,"Canada",1972,15110792,9.53,8
51,"Lip, oral cavity and pharynx",10,1,2003,2007,124,"Canada",1896,15110792,9.17,9
7,"Stomach",10,1,2003,2007,124,"Canada",1733,15110792,7.7,10
13,"Pancreas",10,1,2003,2007,124,"Canada",1570,15110792,7.04,11
