cancer_label,volume,sex,per1,per2,country_label,cases,py,asr,rank,country_code,cancer_code
Oesophagus,1,1,1960,1962,Canada,145,5617500,2.31,14,124,10
Oesophagus,1,2,1960,1962,Canada,60,5292900,1.07,22,124,10
Oesophagus,1,1,1962,1964,"Colombia, Cali",15,665831,5.41,11,217000199,10
Oesophagus,1,2,1962,1964,"Colombia, Cali",4,732048,1.03,23,217000199,10
Oesophagus,1,1,1953,1957,Denmark,509,10996550,3.27,12,520800099,10
Oesophagus,1,2,1953,1957,Denmark,272,11172700,1.43,20,520800099,10
Oesophagus,1,1,1959,1961,Finland,396,6417600,7.06,7,524600099,10
Oesophagus,1,2,1959,1961,Finland,503,6921000,5.78,7,524600099,10
Oesophagus,1,1,1960,1963,Israel,137,4551960,3.87,13,437600099,10
Oesophagus,1,2,1960,1963,Israel,89,4423200,2.38,20,437600099,10
Oesophagus,1,1,1959,1960,"Japan, Miyagi Prefecture",171,1697140,13.41,3,439200299,10
Oesophagus,1,2,1959,1960,"Japan, Miyagi Prefecture",100,1789200,6.33,6,439200299,10
Oesophagus,1,1,1960,1962,New Zealand,176,3666630,4.49,13,655400099,10
Oesophagus,1,2,1960,1962,New Zealand,106,3626100,2.33,17,655400099,10
Oesophagus,1,1,1959,1961,Norway,247,5368200,3.32,13,557800099,10
Oesophagus,1,2,1959,1961,Norway,69,5405430,0.77,22,557800099,10
Oesophagus,1,1,1956,1960,Slovenia,239,3714150,6.66,6,570500099,10
Oesophagus,1,2,1956,1960,Slovenia,66,4096050,1.34,18,570500099,10
Oesophagus,1,1,1959,1961,Sweden,419,11194440,2.51,14,575200099,10
Oesophagus,1,2,1959,1961,Sweden,240,11246760,1.23,23,575200099,10
Oesophagus,1,1,1960,1962,"UK, England, West Midlands Region",377,7053300,4.6,10,582600199,10
Oesophagus,1,2,1960,1962,"UK, England, West Midlands Region",271,7218780,2.35,14,582600199,10
Oesophagus,1,1,1960,1962,"USA, Connecticut",265,3833490,5.99,11,384000499,10
Oesophagus,1,2,1960,1962,"USA, Connecticut",53,3977580,0.99,22,384000499,10
Oesophagus,1,1,1960,1963,"USA, Hawaii",55,1352680,5.59,10,684009999,10
Oesophagus,1,2,1960,1963,"USA, Hawaii",3,1178440,0.41,24,684009999,10
Stomach,1,1,1960,1962,Canada,1306,5617500,21.34,5,124,11
Stomach,1,2,1960,1962,Canada,552,5292900,10.16,6,124,11
Stomach,1,1,1962,1964,"Colombia, Cali",166,665831,55.07,1,217000199,11
Stomach,1,2,1962,1964,"Colombia, Cali",90,732048,23.45,3,217000199,11
Stomach,1,1,1953,1957,Denmark,4479,10996550,29.28,1,520800099,11
Stomach,1,2,1953,1957,Denmark,3269,11172700,17.71,4,520800099,11
Stomach,1,1,1959,1961,Finland,3040,6417600,53.13,2,524600099,11
Stomach,1,2,1959,1961,Finland,2511,6921000,29.48,1,524600099,11
Stomach,1,1,1960,1963,Israel,1026,4551960,27.78,1,437600099,11
Stomach,1,2,1960,1963,Israel,625,4423200,16.43,3,437600099,11
Stomach,1,1,1959,1960,"Japan, Miyagi Prefecture",1244,1697140,95.33,1,439200299,11
Stomach,1,2,1959,1960,"Japan, Miyagi Prefecture",733,1789200,47.69,1,439200299,11
Stomach,1,1,1960,1962,New Zealand,900,3666630,22.92,4,655400099,11
Stomach,1,2,1960,1962,New Zealand,504,3626100,10.52,6,655400099,11
Stomach,1,1,1959,1961,Norway,2468,5368200,32.96,1,557800099,11
Stomach,1,2,1959,1961,Norway,1707,5405430,18.85,2,557800099,11
Stomach,1,1,1956,1960,Slovenia,1739,3714150,48.18,1,570500099,11
Stomach,1,2,1956,1960,Slovenia,1262,4096050,25.01,2,570500099,11
Stomach,1,1,1959,1961,Sweden,4466,11194440,26.54,1,575200099,11
Stomach,1,2,1959,1961,Sweden,2553,11246760,13.4,4,575200099,11
Stomach,1,1,1960,1962,"UK, England, West Midlands Region",2379,7053300,28.04,3,582600199,11
Stomach,1,2,1960,1962,"UK, England, West Midlands Region",1707,7218780,14.43,3,582600199,11
Stomach,1,1,1960,1962,"USA, Connecticut",816,3833490,17.84,4,384000499,11
Stomach,1,2,1960,1962,"USA, Connecticut",495,3977580,8.86,6,384000499,11
Stomach,1,1,1960,1963,"USA, Hawaii",281,1352680,27.32,3,684009999,11
Stomach,1,2,1960,1963,"USA, Hawaii",145,1178440,16.02,4,684009999,11
Small intestine,1,1,1960,1962,Canada,34,5617500,0.54,26,124,12
Small intestine,1,2,1960,1962,Canada,33,5292900,0.67,24,124,12
Small intestine,1,1,1962,1964,"Colombia, Cali",5,665831,1.65,23,217000199,12
Small intestine,1,2,1962,1964,"Colombia, Cali",2,732048,0.71,26,217000199,12
Small intestine,1,1,1953,1957,Denmark,76,10996550,0.54,25,520800099,12
Small intestine,1,2,1953,1957,Denmark,71,11172700,0.44,26,520800099,12
Small intestine,1,1,1959,1961,Finland,41,6417600,0.7,26,524600099,12
Small intestine,1,2,1959,1961,Finland,50,6921000,0.55,27,524600099,12
Small intestine,1,1,1960,1963,Israel,21,4551960,0.54,26,437600099,12
Small intestine,1,2,1960,1963,Israel,22,4423200,0.58,27,437600099,12
Small intestine,1,1,1959,1960,"Japan, Miyagi Prefecture",2,1697140,0.15,25,439200299,12
Small intestine,1,2,1959,1960,"Japan, Miyagi Prefecture",6,1789200,0.37,22,439200299,12
Small intestine,1,1,1960,1962,New Zealand,46,3666630,1.23,22,655400099,12
Small intestine,1,2,1960,1962,New Zealand,19,3626100,0.5,27,655400099,12
Small intestine,1,1,1959,1961,Norway,25,5368200,0.38,26,557800099,12
Small intestine,1,2,1959,1961,Norway,20,5405430,0.24,27,557800099,12
Small intestine,1,1,1956,1960,Slovenia,12,3714150,0.31,26,570500099,12
Small intestine,1,2,1956,1960,Slovenia,6,4096050,0.12,28,570500099,12
Small intestine,1,1,1959,1961,Sweden,126,11194440,0.77,27,575200099,12
Small intestine,1,2,1959,1961,Sweden,112,11246760,0.62,27,575200099,12
Small intestine,1,1,1960,1962,"UK, England, West Midlands Region",52,7053300,0.61,25,582600199,12
Small intestine,1,2,1960,1962,"UK, England, West Midlands Region",48,7218780,0.43,26,582600199,12
Small intestine,1,1,1960,1962,"USA, Connecticut",50,3833490,1.12,23,384000499,12
Small intestine,1,2,1960,1962,"USA, Connecticut",38,3977580,0.73,25,384000499,12
Small intestine,1,1,1960,1963,"USA, Hawaii",6,1352680,0.44,25,684009999,12
Small intestine,1,2,1960,1963,"USA, Hawaii",3,1178440,0.37,26,684009999,12
