sex,year,cancer,cancer_label,country_code,country_label,cases,py,asr,volume,per1,per2,rank
1,1998,11,"Lung",48000,"Bahrain-Bahraini",37,191577,35.68,1,1998,1998,1
1,1998,29,"Leukaemia",48000,"Bahrain-Bahraini",20,191577,15.08,1,1998,1998,2
1,1998,5,"Colorectum",48000,"Bahrain-Bahraini",14,191577,13.75,1,1998,1998,3
1,1998,22,"Bladder",48000,"Bahrain-Bahraini",14,191577,13.08,1,1998,1998,4
1,1998,19,"Prostate",48000,"Bahrain-Bahraini",11,191577,10.59,1,1998,1998,5
1,1998,2,"Lip oral cavity and pharynx",48000,"Bahrain-Bahraini",7,191577,5.93,1,1998,1998,6
1,1998,21,"Kidney",48000,"Bahrain-Bahraini",8,191577,5.87,1,1998,1998,7
1,1998,4,"Stomach",48000,"Bahrain-Bahraini",6,191577,5.87,1,1998,1998,8
1,1998,27,"Non-Hodgkin lymphoma",48000,"Bahrain-Bahraini",7,191577,5.67,1,1998,1998,9
1,1998,10,"Larynx",48000,"Bahrain-Bahraini",5,191577,4.85,1,1998,1998,10
1,1998,9,"Pancreas",48000,"Bahrain-Bahraini",5,191577,4.55,1,1998,1998,11
1,1998,7,"Liver",48000,"Bahrain-Bahraini",4,191577,4.20,1,1998,1998,12
1,1998,14,"Connective and soft tissue",48000,"Bahrain-Bahraini",5,191577,4.00,1,1998,1998,13
1,1998,3,"Oesophagus",48000,"Bahrain-Bahraini",4,191577,3.66,1,1998,1998,14
1,1998,24,"Brain, central nervous system",48000,"Bahrain-Bahraini",5,191577,2.71,1,1998,1998,15
1,1998,28,"Multiple myeloma and immunoproliferative diseases",48000,"Bahrain-Bahraini",2,191577,2.07,1,1998,1998,16
1,1998,26,"Hodgkin lymphoma",48000,"Bahrain-Bahraini",3,191577,1.37,1,1998,1998,17
1,1998,25,"Thyroid",48000,"Bahrain-Bahraini",2,191577,1.34,1,1998,1998,18
1,1998,8,"Gallbladder and extrahepatic ducts",48000,"Bahrain-Bahraini",1,191577,1.08,1,1998,1998,19
1,1998,20,"Testis",48000,"Bahrain-Bahraini",2,191577,1.05,1,1998,1998,20
1,1998,12,"Bone",48000,"Bahrain-Bahraini",1,191577,0.98,1,1998,1998,21
1,1998,17,"Corpus uteri",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,22
1,1998,15,"Breast",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,23
1,1998,16,"Cervix uteri",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,24
1,1998,23,"Eye",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,25
1,1998,18,"Ovary",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,26
1,1998,13,"Melanoma of skin",48000,"Bahrain-Bahraini",0,191577,0.00,1,1998,1998,27
1,1998,11,"Lung",414000,"Kuwait-Kuwaiti",30,382058,18.22,1,1998,1998,1
1,1998,5,"Colorectum",414000,"Kuwait-Kuwaiti",29,382058,17.21,1,1998,1998,2
1,1998,19,"Prostate",414000,"Kuwait-Kuwaiti",17,382058,11.33,1,1998,1998,3
1,1998,27,"Non-Hodgkin lymphoma",414000,"Kuwait-Kuwaiti",24,382058,11.09,1,1998,1998,4
1,1998,7,"Liver",414000,"Kuwait-Kuwaiti",11,382058,6.43,1,1998,1998,5
1,1998,22,"Bladder",414000,"Kuwait-Kuwaiti",9,382058,6.04,1,1998,1998,6
1,1998,21,"Kidney",414000,"Kuwait-Kuwaiti",10,382058,5.99,1,1998,1998,7
1,1998,24,"Brain, central nervous system",414000,"Kuwait-Kuwaiti",15,382058,5.91,1,1998,1998,8
1,1998,2,"Lip oral cavity and pharynx",414000,"Kuwait-Kuwaiti",8,382058,4.53,1,1998,1998,9
1,1998,4,"Stomach",414000,"Kuwait-Kuwaiti",7,382058,4.52,1,1998,1998,10
1,1998,26,"Hodgkin lymphoma",414000,"Kuwait-Kuwaiti",13,382058,4.30,1,1998,1998,11
1,1998,25,"Thyroid",414000,"Kuwait-Kuwaiti",8,382058,3.96,1,1998,1998,12
1,1998,10,"Larynx",414000,"Kuwait-Kuwaiti",5,382058,3.27,1,1998,1998,13
1,1998,3,"Oesophagus",414000,"Kuwait-Kuwaiti",4,382058,2.54,1,1998,1998,14
1,1998,29,"Leukaemia",414000,"Kuwait-Kuwaiti",7,382058,2.47,1,1998,1998,15
1,1998,9,"Pancreas",414000,"Kuwait-Kuwaiti",3,382058,2.15,1,1998,1998,16
1,1998,8,"Gallbladder and extrahepatic ducts",414000,"Kuwait-Kuwaiti",3,382058,1.95,1,1998,1998,17
1,1998,14,"Connective and soft tissue",414000,"Kuwait-Kuwaiti",5,382058,1.87,1,1998,1998,18
1,1998,12,"Bone",414000,"Kuwait-Kuwaiti",3,382058,1.08,1,1998,1998,19
1,1998,20,"Testis",414000,"Kuwait-Kuwaiti",2,382058,0.41,1,1998,1998,20
1,1998,28,"Multiple myeloma and immunoproliferative diseases",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,21
1,1998,18,"Ovary",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,22
1,1998,16,"Cervix uteri",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,23
1,1998,15,"Breast",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,24
1,1998,23,"Eye",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,25
1,1998,17,"Corpus uteri",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,26
1,1998,13,"Melanoma of skin",414000,"Kuwait-Kuwaiti",0,382058,0.00,1,1998,1998,27
2,1998,15,"Breast",48000,"Bahrain-Bahraini",47,187858,35.22,1,1998,1998,1
2,1998,11,"Lung",48000,"Bahrain-Bahraini",17,187858,17.02,1,1998,1998,2
2,1998,16,"Cervix uteri",48000,"Bahrain-Bahraini",14,187858,11.44,1,1998,1998,3
2,1998,18,"Ovary",48000,"Bahrain-Bahraini",12,187858,10.19,1,1998,1998,4
2,1998,5,"Colorectum",48000,"Bahrain-Bahraini",12,187858,9.73,1,1998,1998,5
2,1998,29,"Leukaemia",48000,"Bahrain-Bahraini",14,187858,7.76,1,1998,1998,6
2,1998,2,"Lip oral cavity and pharynx",48000,"Bahrain-Bahraini",8,187858,6.50,1,1998,1998,7
2,1998,4,"Stomach",48000,"Bahrain-Bahraini",6,187858,5.42,1,1998,1998,8
2,1998,17,"Corpus uteri",48000,"Bahrain-Bahraini",7,187858,5.15,1,1998,1998,9
2,1998,25,"Thyroid",48000,"Bahrain-Bahraini",8,187858,4.65,1,1998,1998,10
2,1998,27,"Non-Hodgkin lymphoma",48000,"Bahrain-Bahraini",6,187858,4.42,1,1998,1998,11
2,1998,22,"Bladder",48000,"Bahrain-Bahraini",4,187858,4.08,1,1998,1998,12
2,1998,9,"Pancreas",48000,"Bahrain-Bahraini",3,187858,3.00,1,1998,1998,13
2,1998,28,"Multiple myeloma and immunoproliferative diseases",48000,"Bahrain-Bahraini",2,187858,1.96,1,1998,1998,14
2,1998,21,"Kidney",48000,"Bahrain-Bahraini",2,187858,1.96,1,1998,1998,15
2,1998,10,"Larynx",48000,"Bahrain-Bahraini",2,187858,1.80,1,1998,1998,16
2,1998,8,"Gallbladder and extrahepatic ducts",48000,"Bahrain-Bahraini",1,187858,1.09,1,1998,1998,17
2,1998,3,"Oesophagus",48000,"Bahrain-Bahraini",1,187858,1.09,1,1998,1998,18
2,1998,7,"Liver",48000,"Bahrain-Bahraini",1,187858,1.09,1,1998,1998,19
2,1998,13,"Melanoma of skin",48000,"Bahrain-Bahraini",1,187858,1.01,1,1998,1998,20
2,1998,26,"Hodgkin lymphoma",48000,"Bahrain-Bahraini",1,187858,0.96,1,1998,1998,21
2,1998,12,"Bone",48000,"Bahrain-Bahraini",2,187858,0.80,1,1998,1998,22
2,1998,19,"Prostate",48000,"Bahrain-Bahraini",0,187858,0.00,1,1998,1998,23
2,1998,24,"Brain, central nervous system",48000,"Bahrain-Bahraini",0,187858,0.00,1,1998,1998,24
2,1998,23,"Eye",48000,"Bahrain-Bahraini",0,187858,0.00,1,1998,1998,25
2,1998,14,"Connective and soft tissue",48000,"Bahrain-Bahraini",0,187858,0.00,1,1998,1998,26
2,1998,20,"Testis",48000,"Bahrain-Bahraini",0,187858,0.00,1,1998,1998,27
2,1998,15,"Breast",414000,"Kuwait-Kuwaiti",94,390200,38.71,1,1998,1998,1
2,1998,5,"Colorectum",414000,"Kuwait-Kuwaiti",21,390200,10.77,1,1998,1998,2
2,1998,11,"Lung",414000,"Kuwait-Kuwaiti",17,390200,9.45,1,1998,1998,3
2,1998,27,"Non-Hodgkin lymphoma",414000,"Kuwait-Kuwaiti",14,390200,7.06,1,1998,1998,4
2,1998,18,"Ovary",414000,"Kuwait-Kuwaiti",12,390200,5.87,1,1998,1998,5
2,1998,25,"Thyroid",414000,"Kuwait-Kuwaiti",18,390200,5.79,1,1998,1998,6
2,1998,29,"Leukaemia",414000,"Kuwait-Kuwaiti",11,390200,5.10,1,1998,1998,7
2,1998,9,"Pancreas",414000,"Kuwait-Kuwaiti",7,390200,3.47,1,1998,1998,8
2,1998,21,"Kidney",414000,"Kuwait-Kuwaiti",6,390200,2.97,1,1998,1998,9
2,1998,16,"Cervix uteri",414000,"Kuwait-Kuwaiti",9,390200,2.78,1,1998,1998,10
2,1998,2,"Lip oral cavity and pharynx",414000,"Kuwait-Kuwaiti",6,390200,2.64,1,1998,1998,11
2,1998,8,"Gallbladder and extrahepatic ducts",414000,"Kuwait-Kuwaiti",5,390200,2.61,1,1998,1998,12
2,1998,3,"Oesophagus",414000,"Kuwait-Kuwaiti",5,390200,2.60,1,1998,1998,13
2,1998,26,"Hodgkin lymphoma",414000,"Kuwait-Kuwaiti",8,390200,2.30,1,1998,1998,14
