country_code,sex,volume,cancer,rank,cases,py,asr,per1,per2,cancer_label,country_label
17000,1,1,3,1,606,3206720,30.13,1983,1987,Stomach,Colombia
17000,1,1,19,2,476,3206720,23.37,1983,1987,Prostate,Colombia
17000,1,1,11,3,442,3206720,22.53,1983,1987,Lung,Colombia
17000,1,1,106,4,176,3206720,8.47,1983,1987,Colorectum,Colombia
17000,1,1,22,5,144,3206720,6.9,1983,1987,Bladder,Colombia
17000,1,1,26,6,126,3206720,5.25,1983,1987,Non-Hodgkin lymphoma,Colombia
17000,1,1,1,7,108,3206720,5.11,1983,1987,"Lip,  oral cavity and pharynx ",Colombia
17000,1,1,28,8,133,3206720,4.78,1983,1987,Leukaemia,Colombia
17000,1,1,10,9,88,3206720,4.52,1983,1987,Larynx,Colombia
17000,1,1,23,10,95,3206720,3.73,1983,1987,Brain and central nervous system,Colombia
17000,1,1,9,11,74,3206720,3.65,1983,1987,Pancreas,Colombia
17000,1,1,2,12,69,3206720,3.41,1983,1987,Oesophagus,Colombia
17000,1,1,8,13,72,3206720,3.34,1983,1987,Gallbladder etc.,Colombia
17000,1,1,7,14,48,3206720,2.29,1983,1987,Liver,Colombia
17000,1,1,12,15,42,3206720,1.91,1983,1987,Melanoma of skin,Colombia
17000,1,1,21,16,39,3206720,1.78,1983,1987,Kidney,Colombia
17000,1,1,24,17,41,3206720,1.77,1983,1987,Thyroid,Colombia
17000,1,1,20,18,50,3206720,1.55,1983,1987,Testis,Colombia
17000,1,1,25,19,45,3206720,1.53,1983,1987,Hodgkin lymphoma,Colombia
17000,1,1,27,20,22,3206720,1.11,1983,1987,Multiple myeloma,Colombia
17000,1,1,13,21,4,3206720,0.17,1983,1987,Kaposi sarcoma,Colombia
17000,1,1,14,22,0,6785058,0,1983,1987,Breast,Colombia
17000,1,1,15,23,0,6785058,0,1983,1987,Uterus,Colombia
17000,1,1,16,24,0,6785058,0,1983,1987,Cervix uteri,Colombia
17000,1,1,17,25,0,6785058,0,1983,1987,Corpus uteri,Colombia
17000,1,1,18,26,0,6785058,0,1983,1987,Ovary,Colombia
17000,1,10,19,1,3358,5664701,58.6,2013,2017,Prostate,Colombia
17000,1,10,3,2,1218,5664701,20.35,2013,2017,Stomach,Colombia
17000,1,10,106,3,1153,5664701,19.37,2013,2017,Colorectum,Colombia
17000,1,10,11,4,863,5664701,14.75,2013,2017,Lung,Colombia
17000,1,10,28,5,689,5664701,12.1,2013,2017,Leukaemia,Colombia
17000,1,10,26,6,611,5664701,10.31,2013,2017,Non-Hodgkin lymphoma,Colombia
17000,1,10,1,7,338,5664701,5.74,2013,2017,"Lip,  oral cavity and pharynx ",Colombia
17000,1,10,22,8,335,5664701,5.7,2013,2017,Bladder,Colombia
17000,1,10,21,9,330,5664701,5.68,2013,2017,Kidney,Colombia
17000,1,10,23,10,320,5664701,5.56,2013,2017,Brain and central nervous system,Colombia
17000,1,10,7,11,299,5664701,5.21,2013,2017,Liver,Colombia
17000,1,10,9,12,293,5664701,4.98,2013,2017,Pancreas,Colombia
17000,1,10,24,13,269,5664701,4.45,2013,2017,Thyroid,Colombia
17000,1,10,27,14,257,5664701,4.37,2013,2017,Multiple myeloma,Colombia
17000,1,10,20,15,200,5664701,3.19,2013,2017,Testis,Colombia
17000,1,10,12,16,171,5664701,2.87,2013,2017,Melanoma of skin,Colombia
17000,1,10,10,17,157,5664701,2.73,2013,2017,Larynx,Colombia
17000,1,10,2,18,132,5664701,2.19,2013,2017,Oesophagus,Colombia
17000,1,10,25,19,116,5664701,1.97,2013,2017,Hodgkin lymphoma,Colombia
17000,1,10,13,20,70,5664701,1.1,2013,2017,Kaposi sarcoma,Colombia
17000,1,10,8,21,40,5664701,0.65,2013,2017,Gallbladder etc.,Colombia
17000,1,10,14,22,0,11849270,0,2013,2017,Breast,Colombia
17000,1,10,15,23,0,11849270,0,2013,2017,Uterus,Colombia
17000,1,10,16,24,0,11849270,0,2013,2017,Cervix uteri,Colombia
17000,1,10,17,25,0,11849270,0,2013,2017,Corpus uteri,Colombia
17000,1,10,18,26,0,11849270,0,2013,2017,Ovary,Colombia
17000,2,1,15,1,1106,3578338,42.12,1983,1987,Uterus,Colombia
17000,2,1,16,2,964,3578338,36.14,1983,1987,Cervix uteri,Colombia
17000,2,1,14,3,821,3578338,32.15,1983,1987,Breast,Colombia
17000,2,1,3,4,427,3578338,17.06,1983,1987,Stomach,Colombia
17000,2,1,8,5,225,3578338,9.43,1983,1987,Gallbladder etc.,Colombia
17000,2,1,11,6,212,3578338,9.34,1983,1987,Lung,Colombia
17000,2,1,106,7,199,3578338,8.07,1983,1987,Colorectum,Colombia
17000,2,1,18,8,203,3578338,7.85,1983,1987,Ovary,Colombia
17000,2,1,24,9,188,3578338,6.41,1983,1987,Thyroid,Colombia
17000,2,1,26,10,149,3578338,5.69,1983,1987,Non-Hodgkin lymphoma,Colombia
17000,2,1,17,11,120,3578338,5.13,1983,1987,Corpus uteri,Colombia
17000,2,1,28,12,140,3578338,4.65,1983,1987,Leukaemia,Colombia
17000,2,1,9,13,104,3578338,4.44,1983,1987,Pancreas,Colombia
17000,2,1,22,14,76,3578338,3.14,1983,1987,Bladder,Colombia
17000,2,1,1,15,71,3578338,2.86,1983,1987,"Lip,  oral cavity and pharynx ",Colombia
17000,2,1,23,16,83,3578338,2.71,1983,1987,Brain and central nervous system,Colombia
17000,2,1,12,17,67,3578338,2.51,1983,1987,Melanoma of skin,Colombia
17000,2,1,21,18,41,3578338,1.69,1983,1987,Kidney,Colombia
17000,2,1,7,19,38,3578338,1.66,1983,1987,Liver,Colombia
17000,2,1,2,20,38,3578338,1.57,1983,1987,Oesophagus,Colombia
17000,2,1,27,21,25,3578338,1.01,1983,1987,Multiple myeloma,Colombia
17000,2,1,25,22,25,3578338,0.88,1983,1987,Hodgkin lymphoma,Colombia
17000,2,1,10,23,19,3578338,0.84,1983,1987,Larynx,Colombia
17000,2,1,13,24,4,3578338,0.13,1983,1987,Kaposi sarcoma,Colombia
17000,2,1,19,25,0,6785058,0,1983,1987,Prostate,Colombia
17000,2,1,20,26,0,6785058,0,1983,1987,Testis,Colombia
17000,2,10,14,1,3851,6184569,49.95,2013,2017,Breast,Colombia
17000,2,10,24,2,1417,6184569,19.16,2013,2017,Thyroid,Colombia
17000,2,10,106,3,1406,6184569,17.11,2013,2017,Colorectum,Colombia
17000,2,10,16,4,1078,6184569,14.07,2013,2017,Cervix uteri,Colombia
17000,2,10,3,5,919,6184569,10.95,2013,2017,Stomach,Colombia
17000,2,10,11,6,662,6184569,7.66,2013,2017,Lung,Colombia
17000,2,10,28,7,525,6184569,7.59,2013,2017,Leukaemia,Colombia
17000,2,10,26,8,584,6184569,7.43,2013,2017,Non-Hodgkin lymphoma,Colombia
17000,2,10,18,9,549,6184569,7.1,2013,2017,Ovary,Colombia
17000,2,10,17,10,448,6184569,5.74,2013,2017,Corpus uteri,Colombia
17000,2,10,23,11,311,6184569,4.23,2013,2017,Brain and central nervous system,Colombia
17000,2,10,9,12,336,6184569,3.92,2013,2017,Pancreas,Colombia
17000,2,10,7,13,324,6184569,3.75,2013,2017,Liver,Colombia
17000,2,10,21,14,258,6184569,3.43,2013,2017,Kidney,Colombia
17000,2,10,1,15,260,6184569,3.31,2013,2017,"Lip,  oral cavity and pharynx ",Colombia
17000,2,10,27,16,243,6184569,2.96,2013,2017,Multiple myeloma,Colombia
17000,2,10,12,17,205,6184569,2.56,2013,2017,Melanoma of skin,Colombia
17000,2,10,8,18,154,6184569,1.89,2013,2017,Gallbladder etc.,Colombia
17000,2,10,22,19,137,6184569,1.55,2013,2017,Bladder,Colombia
17000,2,10,25,20,83,6184569,1.18,2013,2017,Hodgkin lymphoma,Colombia
