country_label,country_code,area_code,area_label,cause,cause_num,hdi,year,risk,rank
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2000,4.529999,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2001,4.37355,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2002,4.152118,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2003,3.910043,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2004,3.721026,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2005,3.586389,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2006,3.247384,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2007,3.223177,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2008,3.184577,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2009,2.929182,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2010,2.85307,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2011,2.726427,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2012,2.573204,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2013,2.580081,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2014,2.615124,12
"Australia",36,"18","Australia/New Zealand","Cardiovascular diseases",2,2,2015,2.510851,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2000,13.11451,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2001,12.72632,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2002,12.47013,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2003,12.02649,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2004,11.65785,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2005,11.40538,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2006,10.70677,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2007,10.79638,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2008,10.60071,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2009,10.19542,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2010,9.970413,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2011,9.781311,12
"Australia",36,"18","Australia/New Zealand","Major NCDs",0,2,2012,9.379982,12
