year,risk,cause,country_code,country_label,area_code,area_label,select,hdi,cause_num,rank
2000,14.83709,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2000,7.530657,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2000,4.445835,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2001,14.40674,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2001,7.408799,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2001,4.297815,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2002,14.1259,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2002,7.306688,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2002,4.055759,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2003,13.69644,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2003,7.162296,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2003,3.806672,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2004,13.26983,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2004,7.032621,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2004,3.635973,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2005,13.25045,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2005,6.964566,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2005,3.552568,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2006,12.7998,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2006,6.841142,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2006,3.288466,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2007,12.55601,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2007,6.670508,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2007,3.156348,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
2008,12.36099,"allncd",36,"Australia",18,"Australia/New Zealand",1,2,0,12
2008,6.552868,"cancer",36,"Australia",18,"Australia/New Zealand",1,2,1,12
2008,3.126919,"cvd",36,"Australia",18,"Australia/New Zealand",1,2,2,12
