cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Bladder",1,3,1,1,1,1,0,0,724,30,21418,19.32,.837,"Spain",16,"Southern Europe"
"Mesothelioma",1,3,1,1,1,2,0,0,442,18,21,1.98,.869,"Luxembourg",17,"Western Europe"
"Breast",1,3,1,1,1,3,0,0,250,20,65659,105.42,.852,"France (metropolitan)",17,"Western Europe"
"Colorectum",1,3,1,1,1,4,0,0,208,8,6878,48.07,.89,"Denmark",15,"Northern Europe"
"Kidney",1,1,1,1,1,5,0,0,112,29,2276,14.14,.699,"Belarus",14,"Eastern Europe"
"Leukaemia",1,3,1,1,1,6,0,0,36,36,5338,11.72,.907,"Australia",18,"Australia/New Zealand"
"Multiple myeloma",1,3,1,1,1,7,0,0,474,35,68,6.22,.859,"France, Martinique",6,"Caribbean"
"Pancreas",1,2,1,1,1,8,0,0,858,13,816,11.41,.749,"Uruguay",8,"South America"
"NHL",1,3,1,1,1,9,0,0,470,34,131,14.58,.804,"Malta",16,"Southern Europe"
"Corpus uteri",1,1,1,1,1,10,0,0,882,24,22,26.22,.659,"Samoa",21,"Polynesia"
"Thyroid",1,3,1,1,1,11,0,0,196,32,498,31.81,.819,"Cyprus",16,"Southern Europe"
"Lung",1,2,1,1,1,12,0,0,348,15,9911,47.57,.788,"Hungary",14,"Eastern Europe"
"Brain, CNS",1,3,1,1,1,13,0,0,352,31,48,8.17,.881,"Iceland",15,"Northern Europe"
"Hodgkin lymphoma",1,3,1,1,1,14,0,0,380,33,2190,3.48,.85,"Italy",16,"Southern Europe"
"Testis",1,2,1,1,1,15,0,0,703,28,386,13.21,.773,"Slovakia",14,"Eastern Europe"
"Melanoma of skin",1,3,1,1,1,16,0,0,36,16,16819,36.98,.907,"Australia",18,"Australia/New Zealand"
"Prostate",1,3,1,1,1,17,0,0,312,27,660,157.53,.842,"France, Guadeloupe",6,"Caribbean"
"Oropharynx",1,2,1,1,1,18,0,0,703,3,458,5.11,.773,"Slovakia",14,"Eastern Europe"
"Cervix uteri",1,0,1,2,2,19,0,0,748,23,417,95.89,.442,"Eswatini",4,"Southern Africa"
"Nasopharynx",1,1,1,2,2,20,0,0,462,4,36,7.51,.63,"Maldives",12,"South Central Asia"
"Liver",1,1,1,2,2,21,0,0,496,11,2668,96.12,.608,"Mongolia",10,"Eastern Asia"
"Kaposi sarcoma",1,0,1,2,2,22,0,0,894,19,2427,15.66,.441,"Zambia",1,"Eastern Africa"
"Vagina",1,0,1,2,2,23,0,0,454,22,85,1.46,.357,"Malawi",1,"Eastern Africa"
"Penis",1,0,1,2,2,24,0,0,748,26,22,6.79,.442,"Eswatini",4,"Southern Africa"
"Gallbladder",1,1,1,2,3,25,0,0,68,12,1006,7.64,.637,"Bolivia",8,"South America"
"Stomach",1,1,1,2,3,26,0,0,496,7,1000,35.49,.608,"Mongolia",10,"Eastern Asia"
"Oesophagus",1,0,1,2,3,27,0,0,454,6,1871,17.92,.357,"Malawi",1,"Eastern Africa"
"Salivary glands",1,0,1,2,3,28,0,0,768,2,77,1.46,.433,"Togo",5,"Western Africa"
"Hypopharynx",1,0,1,2,3,29,0,0,50,5,8491,5.48,.492,"Bangladesh",12,"South Central Asia"
