cancer_label,CSU_RANK,hdi_group,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Bladder",1,0,1,2,0,854,30,532,9.29,.303,"Burkina Faso",5,"Western Africa"
"Brain, CNS",1,3,2,2,0,352,31,23,7.1,.881,"Iceland",15,"Northern Europe"
"Breast",1,3,3,2,0,250,20,65659,105.42,.852,"France (metropolitan)",17,"Western Europe"
"Colorectum",1,3,4,2,0,578,8,2806,43.56,.917,"Norway",15,"Northern Europe"
"Pancreas",1,2,5,2,0,858,13,454,10.05,.749,"Uruguay",8,"South America"
"Kidney",1,2,6,2,0,428,29,238,9.5,.767,"Latvia",15,"Northern Europe"
"Lung",1,2,7,2,0,348,15,4205,34.96,.788,"Hungary",14,"Eastern Europe"
"NHL",1,3,8,2,0,208,34,773,11.51,.89,"Denmark",15,"Northern Europe"
"Corpus uteri",1,1,9,2,0,882,24,22,26.22,.659,"Samoa",21,"Polynesia"
"Thyroid",1,3,10,2,0,196,32,401,51.57,.819,"Cyprus",16,"Southern Europe"
"Leukaemia",1,3,11,2,0,56,36,1036,9.41,.886,"Belgium",17,"Western Europe"
"Ovary",1,2,12,2,0,428,25,298,15.33,.767,"Latvia",15,"Northern Europe"
"Hodgkin lymphoma",1,3,13,2,0,352,33,6,3.21,.881,"Iceland",15,"Northern Europe"
"Multiple myeloma",1,2,14,2,0,52,35,18,6.17,.774,"Barbados",6,"Caribbean"
"Melanoma of skin",1,3,15,2,0,208,16,1681,35.58,.89,"Denmark",15,"Northern Europe"
"Mesothelioma",1,3,16,2,0,442,18,13,2.75,.869,"Luxembourg",17,"Western Europe"
"Cervix uteri",1,0,17,2,0,748,23,417,95.89,.442,"Eswatini",4,"Southern Africa"
"Liver",1,1,18,2,0,496,11,1225,80.95,.608,"Mongolia",10,"Eastern Asia"
"Nasopharynx",1,3,19,2,0,96,4,10,4,.807,"Brunei Darussalam",11,"South-Eastern Asia"
"Kaposi sarcoma",1,0,20,2,0,894,19,893,11.06,.441,"Zambia",1,"Eastern Africa"
"Oesophagus",1,0,21,2,0,454,6,880,15.39,.357,"Malawi",1,"Eastern Africa"
"Vagina",1,0,22,2,0,454,22,85,1.46,.357,"Malawi",1,"Eastern Africa"
"Gallbladder",1,1,23,2,0,68,12,599,8.36,.637,"Bolivia",8,"South America"
"Larynx",1,1,24,2,0,192,14,295,2.29,.698,"Cuba",6,"Caribbean"
"Hypopharynx",1,0,25,2,0,50,5,1211,1.55,.492,"Bangladesh",12,"South Central Asia"
