cancer_label,CSU_RANK,hdi_group,group1,group2,group3,cl_ord,sex,type,country_code,cancer_code,cases,asr,hdi_value,country_label,area_code,area_label
"Bladder",1,3,1,1,1,1,1,0,724,30,17011,32.4,.911,"Spain",16,"Southern Europe"
"Leukaemia",1,3,1,1,1,2,1,0,36,36,3581,15.95,.946,"Australia",18,"Australia/New Zealand"
"Colorectum",1,3,1,1,1,3,1,0,348,8,5611,62.39,.851,"Hungary",14,"Eastern Europe"
"Pancreas",1,2,1,1,1,4,1,0,51,13,257,13,.786,"Armenia",13,"Western Asia"
"Testis",1,3,1,1,1,5,1,0,703,28,386,13.21,.855,"Slovakia",14,"Eastern Europe"
"Melanoma of skin",1,3,1,1,1,6,1,0,36,16,10902,45.9,.946,"Australia",18,"Australia/New Zealand"
"Lung",1,3,1,1,1,7,1,0,792,15,33039,67.99,.855,"Türkiye",13,"Western Asia"
"Multiple myeloma",1,3,1,1,1,8,1,0,474,35,35,6.98,.859,"France, Martinique",6,"Caribbean"
"Brain, CNS",1,2,1,1,1,9,1,0,499,31,46,10.44,.844,"Montenegro",16,"Southern Europe"
"Kidney",1,2,1,1,1,10,1,0,112,29,1540,22.92,.801,"Belarus",14,"Eastern Europe"
"Thyroid",1,2,1,1,1,11,1,0,160,32,124907,13.25,.788,"China",10,"Eastern Asia"
"Hodgkin lymphoma",1,1,1,1,1,12,1,0,662,33,5,4.62,.725,"Saint Lucia",6,"Caribbean"
"NHL",1,3,1,1,1,13,1,0,470,34,78,18.19,.915,"Malta",16,"Southern Europe"
"Mesothelioma",1,3,1,1,1,14,1,0,826,18,2702,2.98,.94,"United Kingdom",15,"Northern Europe"
"Prostate",1,2,1,1,1,15,1,0,312,27,660,157.53,.842,"France, Guadeloupe",6,"Caribbean"
"Kaposi sarcoma",1,1,1,2,3,16,1,0,516,19,221,21.15,.61,"Namibia",4,"Southern Africa"
"Nasopharynx",1,2,1,2,3,17,1,0,462,4,29,10.77,.762,"Maldives",12,"South Central Asia"
"Oesophagus",1,0,1,2,3,18,1,0,454,6,991,21.46,.508,"Malawi",1,"Eastern Africa"
"Liver",1,1,1,2,3,19,1,0,496,11,1443,113.46,.741,"Mongolia",10,"Eastern Asia"
"Gallbladder",1,1,1,2,2,20,1,0,68,12,407,6.79,.698,"Bolivia",8,"South America"
"Stomach",1,1,1,2,2,21,1,0,496,7,661,53.04,.741,"Mongolia",10,"Eastern Asia"
"Hypopharynx",1,1,1,2,2,22,1,0,50,5,7280,9.26,.67,"Bangladesh",12,"South Central Asia"
"Penis",1,1,1,2,2,23,1,0,748,26,22,6.79,.61,"Eswatini",4,"Southern Africa"
"Larynx",1,2,1,2,2,24,1,0,192,14,1551,14.76,.764,"Cuba",6,"Caribbean"
"Lip, oral cavity",1,0,1,2,2,25,1,0,598,1,713,22.62,.568,"Papua New Guinea",19,"Melanesia"
"Oropharynx",1,3,1,2,2,26,1,0,703,3,394,9.26,.855,"Slovakia",14,"Eastern Europe"
"Salivary glands",1,0,1,2,2,27,1,0,332,2,83,1.93,.552,"Haiti",6,"Caribbean"
"Bladder",2,3,1,1,1,1,1,0,300,30,4257,32.23,.893,"Greece",16,"Southern Europe"
"Leukaemia",2,3,1,1,1,2,1,0,124,36,5090,14.31,.935,"Canada",9,"Northern America"
"Colorectum",2,3,1,1,1,3,1,0,191,8,2498,55.94,.878,"Croatia",16,"Southern Europe"
"Pancreas",2,2,1,1,1,4,1,0,858,13,362,12.99,.83,"Uruguay",8,"South America"
"Testis",2,3,1,1,1,5,1,0,705,28,126,13.01,.926,"Slovenia",16,"Southern Europe"
"Melanoma of skin",2,3,1,1,1,6,1,0,554,16,1547,35.05,.939,"New Zealand",18,"Australia/New Zealand"
"Lung",2,3,1,1,1,7,1,0,348,15,5706,64.36,.851,"Hungary",14,"Eastern Europe"
"Multiple myeloma",2,3,1,1,1,8,1,0,124,35,2780,6.44,.935,"Canada",9,"Northern America"
"Brain, CNS",2,2,1,1,1,9,1,0,8,31,194,9.8,.789,"Albania",16,"Southern Europe"
"Kidney",2,2,1,1,1,10,1,0,858,29,512,20.47,.83,"Uruguay",8,"South America"
