cancer_label,worldrank,hdi_group,cl_ord,country_code,cases,asr,hdi_value,cancer_code,label_country,area,area_code,cancer
"Bladder",1,2,1,84,0,0.00,.72,1,"Belize","Central America",7,"Bladder"
"Bladder",2,0,1,430,11,0.89,.465,1,"Liberia","Western Africa",5,"Bladder"
"Bladder",3,1,1,328,4,0.90,.67,1,"Guyana","South America",8,"Bladder"
"Bladder",4,0,1,384,67,0.98,.516,1,"Côte d'Ivoire","Western Africa",5,"Bladder"
"Bladder",5,1,1,64,4,0.99,.617,1,"Bhutan","South Central Asia",12,"Bladder"
"Bladder",6,0,1,646,31,1.01,.536,1,"Rwanda","Eastern Africa",1,"Bladder"
"Bladder",7,1,1,320,60,1.05,.651,1,"Guatemala","Central America",7,"Bladder"
"Bladder",8,1,1,178,13,1.06,.609,1,"Congo, Republic of","Middle Africa",2,"Bladder"
"Bladder",9,2,1,68,63,1.15,.703,1,"Bolivia, Plurinational State of","South America",8,"Bladder"
"Bladder",10,0,1,324,28,1.16,.466,1,"Guinea","Western Africa",5,"Bladder"
"Bladder",11,0,1,426,9,1.38,.518,1,"Lesotho","Southern Africa",4,"Bladder"
"Bladder",12,2,1,662,2,1.48,.745,1,"Saint Lucia","Caribbean",6,"Bladder"
"Bladder",13,1,1,222,50,1.51,.667,1,"El Salvador","Central America",7,"Bladder"
"Bladder",14,2,1,72,8,1.52,.728,1,"Botswana","Southern Africa",4,"Bladder"
"Bladder",15,3,1,44,4,1.63,.805,1,"Bahamas","Caribbean",6,"Bladder"
"Bladder",16,1,1,226,5,1.63,.588,1,"Equatorial Guinea","Middle Africa",2,"Bladder"
"Bladder",17,1,1,762,50,1.75,.656,1,"Tajikistan","South Central Asia",12,"Bladder"
"Bladder",18,0,1,624,8,1.75,.461,1,"Guinea-Bissau","Western Africa",5,"Bladder"
"Bladder",19,0,1,204,59,1.79,.52,1,"Benin","Western Africa",5,"Bladder"
"Bladder",20,1,1,748,5,1.84,.608,1,"Eswatini","Southern Africa",4,"Bladder"
"Bladder",21,0,1,768,39,1.90,.513,1,"Togo","Western Africa",5,"Bladder"
"Bladder",22,0,1,140,20,1.96,.381,1,"Central African Republic","Middle Africa",2,"Bladder"
"Bladder",23,1,1,120,116,1.96,.563,1,"Cameroon","Middle Africa",2,"Bladder"
"Bladder",24,0,1,566,846,1.96,.534,1,"Nigeria","Western Africa",5,"Bladder"
"Bladder",25,3,1,52,6,1.97,.813,1,"Barbados","Caribbean",6,"Bladder"
"Bladder",26,1,1,558,49,1.99,.651,1,"Nicaragua","Central America",7,"Bladder"
"Bladder",27,2,1,266,13,2.02,.702,1,"Gabon","Middle Africa",2,"Bladder"
"Bladder",28,0,1,180,409,2.04,.459,1,"Congo, Democratic Republic of","Middle Africa",2,"Bladder"
"Bladder",29,1,1,50,1470,2.09,.614,1,"Bangladesh","South Central Asia",12,"Bladder"
"Bladder",30,1,1,548,2,2.13,.597,1,"Vanuatu","Melanesia",19,"Bladder"
"Bladder",31,2,1,496,23,2.15,.735,1,"Mongolia","Eastern Asia",10,"Bladder"
"Bladder",32,1,1,288,217,2.20,.596,1,"Ghana","Western Africa",5,"Bladder"
"Bladder",33,2,1,591,55,2.20,.795,1,"Panama","Central America",7,"Bladder"
"Bladder",34,0,1,800,162,2.38,.528,1,"Uganda","Eastern Africa",1,"Bladder"
"Bladder",35,2,1,214,145,2.47,.745,1,"Dominican Republic","Caribbean",6,"Bladder"
"Bladder",36,0,1,270,13,2.54,.466,1,"The Republic of the Gambia","Western Africa",5,"Bladder"
"Bladder",37,1,1,356,16637,2.55,.647,1,"India","South Central Asia",12,"Bladder"
"Bladder",38,0,1,148,89,2.61,.401,1,"Chad","Middle Africa",2,"Bladder"
"Bladder",39,1,1,340,90,2.66,.623,1,"Honduras","Central America",7,"Bladder"
"Bladder",40,1,1,90,5,2.71,.557,1,"Solomon Islands","Melanesia",19,"Bladder"
"Bladder",41,0,1,108,57,2.71,.423,1,"Burundi","Eastern Africa",1,"Bladder"
"Bladder",42,1,1,104,614,2.73,.584,1,"Myanmar","South-Eastern Asia",11,"Bladder"
"Bladder",43,0,1,728,76,2.74,.413,1,"South Sudan","Eastern Africa",1,"Bladder"
"Bladder",44,0,1,478,35,2.77,.527,1,"Mauritania","Western Africa",5,"Bladder"
"Bladder",45,0,1,332,105,2.78,.503,1,"Haiti","Caribbean",6,"Bladder"
"Bladder",46,1,1,704,1397,2.81,.693,1,"Viet Nam","South-Eastern Asia",11,"Bladder"
"Bladder",47,1,1,524,315,2.88,.579,1,"Nepal","South Central Asia",12,"Bladder"
"Bladder",48,1,1,24,168,2.92,.574,1,"Angola","Middle Africa",2,"Bladder"
"Bladder",49,1,1,716,77,3.08,.563,1,"Zimbabwe","Eastern Africa",1,"Bladder"
"Bladder",50,2,1,608,1200,3.12,.712,1,"Philippines","South-Eastern Asia",11,"Bladder"
"Bladder",51,0,1,562,194,3.15,.377,1,"Niger","Western Africa",5,"Bladder"
"Bladder",52,1,1,626,12,3.17,.626,1,"Timor-Leste","South-Eastern Asia",11,"Bladder"
"Bladder",53,0,1,694,63,3.26,.438,1,"Sierra Leone","Western Africa",5,"Bladder"
"Bladder",54,3,1,96,7,3.28,.845,1,"Brunei","South-Eastern Asia",11,"Bladder"
"Bladder",55,1,1,404,301,3.31,.579,1,"Kenya","Eastern Africa",1,"Bladder"
"Bladder",56,0,1,729,408,3.41,.508,1,"Sudan","Northern Africa",3,"Bladder"
"Bladder",57,1,1,418,82,3.43,.604,1,"Lao People's Democratic Republic","South-Eastern Asia",11,"Bladder"
"Bladder",58,0,1,706,121,3.50,.285,1,"Somalia","Eastern Africa",1,"Bladder"
"Bladder",59,2,1,144,488,3.57,.78,1,"Sri Lanka","South Central Asia",12,"Bladder"
"Bladder",60,2,1,604,728,3.61,.759,1,"Peru","South America",8,"Bladder"
"Bladder",61,2,1,600,121,3.68,.724,1,"Paraguay","South America",8,"Bladder"
"Bladder",62,0,1,232,37,3.70,.434,1,"Eritrea","Eastern Africa",1,"Bladder"
"Bladder",63,0,1,262,13,3.70,.495,1,"Djibouti","Eastern Africa",1,"Bladder"
"Bladder",64,3,1,316,4,3.72,.844,1,"Guam","Micronesia",20,"Bladder"
"Bladder",65,2,1,242,16,3.73,.724,1,"Fiji","Melanesia",19,"Bladder"
"Bladder",66,0,1,686,140,3.73,.514,1,"Senegal","Western Africa",5,"Bladder"
"Bladder",67,1,1,116,199,3.81,.581,1,"Cambodia","South-Eastern Asia",11,"Bladder"
"Bladder",68,2,1,484,2491,3.90,.767,1,"Mexico","Central America",7,"Bladder"
"Bladder",69,0,1,231,1121,3.91,.47,1,"Ethiopia","Eastern Africa",1,"Bladder"
"Bladder",70,0,1,887,256,4.01,.463,1,"Yemen","Western Asia",13,"Bladder"
"Bladder",71,2,1,388,74,4.09,.726,1,"Jamaica","Caribbean",6,"Bladder"
"Bladder",72,3,1,458,691,4.15,.804,1,"Malaysia","South-Eastern Asia",11,"Bladder"
"Bladder",73,2,1,740,11,4.30,.724,1,"Suriname","South America",8,"Bladder"
"Bladder",74,0,1,598,110,4.34,.543,1,"Papua New Guinea","Melanesia",19,"Bladder"
"Bladder",75,3,1,474,23,4.36,.859,1,"France, Martinique","Caribbean",6,"Bladder"
"Bladder",76,0,1,4,377,4.40,.496,1,"Afghanistan","South Central Asia",12,"Bladder"
"Bladder",77,1,1,417,94,4.48,.674,1,"Kyrgyzstan","South Central Asia",12,"Bladder"
"Bladder",78,2,1,188,168,4.67,.794,1,"Costa Rica","Central America",7,"Bladder"
"Bladder",79,2,1,462,8,4.69,.719,1,"Maldives","South Central Asia",12,"Bladder"
"Bladder",80,3,1,682,750,4.84,.857,1,"Saudi Arabia","Western Asia",13,"Bladder"
"Bladder",81,0,1,834,550,4.87,.528,1,"Tanzania, United Republic of","Eastern Africa",1,"Bladder"
"Bladder",82,2,1,170,1473,4.96,.761,1,"Colombia","South America",8,"Bladder"
"Bladder",83,1,1,586,3821,5.06,.56,1,"Pakistan","South Central Asia",12,"Bladder"
"Bladder",84,2,1,360,6557,5.19,.707,1,"Indonesia","South-Eastern Asia",11,"Bladder"
"Bladder",85,2,1,862,767,5.20,.726,1,"Venezuela, Bolivarian Republic of","South America",8,"Bladder"
"Bladder",86,1,1,894,154,5.22,.591,1,"Zambia","Eastern Africa",1,"Bladder"
"Bladder",87,1,1,132,8,5.29,.651,1,"Cabo Verde","Western Africa",5,"Bladder"
"Bladder",88,2,1,860,694,5.46,.71,1,"Uzbekistan","South Central Asia",12,"Bladder"
"Bladder",89,1,1,516,31,5.50,.645,1,"Namibia","Southern Africa",4,"Bladder"
"Bladder",90,3,1,702,299,5.67,.935,1,"Singapore","South-Eastern Asia",11,"Bladder"
"Bladder",91,2,1,795,123,5.76,.71,1,"Turkmenistan","South Central Asia",12,"Bladder"
