"id","name","country_id","state_id","zone_id","latitude","longitude","created_at","updated_at"
"1","Andkhvoy","2","8","3","36.931659","65.101494",NULL,NULL
"2","Asadabad","2","19","0","34.866000","71.150005",NULL,NULL
"3","Aybak","2","28","0","36.261000","68.040001",NULL,NULL
"4","Baghlan","2","6","3","36.139330","68.699259",NULL,NULL
"5","Balkh","2","2","3","36.750120","66.899730",NULL,NULL
"6","Bamian","2","3","0","34.821064","67.521036",NULL,NULL
"7","Baraki Barak","2","21","3","33.966702","68.966704",NULL,NULL
"8","Chaghcharan","2","10","0","34.516701","65.250001",NULL,NULL
"9","Charikar","2","25","3","35.018262","69.167912",NULL,NULL
"10","Farah","2","7","3","32.391730","62.096819",NULL,NULL
"11","Feyzabad","2","5","3","37.129761","70.579247",NULL,NULL
"12","Gardiz","2","27","3","33.600054","69.214628",NULL,NULL
"13","Ghazni","2","9","3","33.563312","68.417829",NULL,NULL
"14","Herat","2","12","3","34.330009","62.169993",NULL,NULL
"15","Jalalabad","2","22","3","34.441527","70.436103",NULL,NULL
"16","Kabul","2","14","3","34.516690","69.183260",NULL,NULL
"17","Kandahar","2","15","3","31.610020","65.694946",NULL,NULL
"18","Karokh","2","12","3","34.486770","62.591776",NULL,NULL
"19","Kondoz","2","17","3","36.727951","68.872530",NULL,NULL
"20","Lashkar Gah","2","11","0","31.582998","64.360000",NULL,NULL
"21","Mahmud-E Eraqi","2","16","0","35.016696","69.333301",NULL,NULL
"22","Mayda Shahr","2","32","0","34.450002","68.799997",NULL,NULL
"23","Mazar-e Sharif","2","2","3","36.699994","67.100028",NULL,NULL
"24","Mehtar Lam","2","20","3","34.650000","70.166701",NULL,NULL
"25","Meymaneh","2","8","0","35.930222","64.770093",NULL,NULL
"26","Pol-e Khomri","2","6","3","35.951073","68.701119",NULL,NULL
"27","Qala i Naw","2","4","0","34.983000","63.133300",NULL,NULL
"28","Qalat","2","33","3","32.112263","66.886759",NULL,NULL
"29","Sheberghan","2","13","3","36.657981","65.738302",NULL,NULL
"30","Taloqan","2","30","3","36.729999","69.540004",NULL,NULL
"31","Zaranj","2","23","0","31.112001","61.886998",NULL,NULL
"32","Zareh Sharan","2","26","3","32.850000","68.416705",NULL,NULL
"33","Ambriz","3","34","0","-7.854987","13.125028",NULL,NULL
"34","Benguela","3","35","8","-12.578265","13.407233",NULL,NULL
"35","Cabinda","3","37","8","-5.559623","12.189995",NULL,NULL
"36","Cacolo","3","45","0","-10.149627","19.260002",NULL,NULL
"37","Calulo","3","41","0","-9.999611","14.900010",NULL,NULL
"38","Camabatela","3","40","8","-8.189592","15.370007",NULL,NULL
"39","Cangamba","3","48","0","-13.699591","19.860017",NULL,NULL
"40","Capenda-Camulemba","3","44","0","-9.419594","18.430027",NULL,NULL
"41","Caxito","3","34","8","-8.579542","13.659982",NULL,NULL
"42","Cazombo","3","48","0","-11.889573","22.900039",NULL,NULL
"43","Chitado","3","39","0","-17.319629","13.920018",NULL,NULL
"44","Cubal","3","35","0","-13.039580","14.239999",NULL,NULL
"45","Cuito Caunavale","3","38","0","-15.159606","19.169982",NULL,NULL
"46","Dondo","3","40","0","-9.690017","14.430013",NULL,NULL
"47","Dundo","3","44","0","-7.380029","20.829984",NULL,NULL
"48","Huambo","3","42","8","-12.749985","15.760009",NULL,NULL
"49","Lobito","3","35","8","-12.370009","13.541230",NULL,NULL
"50","Luanda","3","46","8","-8.838286","13.234427",NULL,NULL
"51","Luau","3","48","8","-10.709541","22.230002",NULL,NULL
"52","Lucapa","3","44","8","-8.419604","20.740015",NULL,NULL
"53","Luena","3","48","8","-11.790044","19.900015",NULL,NULL
"54","Luiana","3","38","0","-17.369548","22.999981",NULL,NULL
"55","Lumbala Nguimbo","3","48","0","-14.099619","21.440024",NULL,NULL
"56","Malanje","3","47","8","-9.540000","16.340026",NULL,NULL
"57","Mavinga","3","38","0","-15.789541","20.360039",NULL,NULL
"58","Mbanza-Congo","3","51","8","-6.269606","14.239999",NULL,NULL
"59","Menongue","3","38","8","-14.666613","17.699994",NULL,NULL
"60","Muconda","3","45","0","-10.599626","21.319980",NULL,NULL
"61","Mucusso","3","38","0","-18.019534","21.429999",NULL,NULL
"62","Namibe","3","49","8","-15.190043","12.160022",NULL,NULL
"63","Ndalatando","3","40","8","-9.299550","14.909984",NULL,NULL
"64","Nzeto","3","51","8","-7.229599","12.860031",NULL,NULL
"65","Ondjiva","3","39","8","-17.069618","15.730037",NULL,NULL
"66","Quibala","3","41","8","-10.729592","14.979954",NULL,NULL
"67","Saurimo","3","45","8","-9.659580","20.390011",NULL,NULL
"68","Soyo","3","51","8","-6.129614","12.369984",NULL,NULL
"69","Sumbe","3","41","8","-11.210028","13.849997",NULL,NULL
"70","Tombua","3","49","0","-15.800032","11.859989",NULL,NULL
"71","Waku Kungo","3","41","8","-11.359528","15.119997",NULL,NULL
"72","Xangongo","3","39","0","-16.740026","14.969980",NULL,NULL
"73","Berat","6","83","6","40.709997","19.972000",NULL,NULL
"74","Corovode","6","83","6","40.516704","20.233297",NULL,NULL
"75","Elbasan","6","86","6","41.121507","20.083828",NULL,NULL
"76","Fier","6","79","6","40.730004","19.573003",NULL,NULL
"77","Gramsh","6","86","6","40.866696","20.199997",NULL,NULL
"78","Librazhd","6","86","6","41.200002","20.366704",NULL,NULL
"79","Lushnje","6","79","6","40.940001","19.716003",NULL,NULL
"80","Pogradec","6","80","0","40.899996","20.664001",NULL,NULL
"81","Abu Dhabi","8","98","2","24.466684","54.366593",NULL,NULL
"82","Al Ayn","8","98","2","24.230471","55.739998",NULL,NULL
"83","Al Fujayrah","8","100","2","25.123439","56.337481",NULL,NULL
"84","Dubai","8","99","2","25.229996","55.279974",NULL,NULL
"85","Jabal Ali","8","99","0","24.976239","55.010740",NULL,NULL
"86","Ras al Khaymah","8","101","2","25.791538","55.942776",NULL,NULL
"87","Sharjah","8","102","2","25.371383","55.406478",NULL,NULL
"88","Umm al Qaywayn","8","103","2","25.565273","55.553343",NULL,NULL
"89","28 de Noviembre","9","129","0","-51.650040","-72.300016",NULL,NULL
"90","Abra Pampa","9","128","0","-22.716664","-65.699980",NULL,NULL
"91","Alto Rio Sanguer","9","124","0","-45.033286","-70.833284",NULL,NULL
"92","Anatuya","9","112","0","-28.466132","-62.833307",NULL,NULL
"93","Azul","9","108","19","-36.779630","-59.870000",NULL,NULL
"94","Bahia Blanca","9","108","19","-38.740027","-62.265021",NULL,NULL
"95","Balcarce","9","108","0","-37.833312","-58.249995",NULL,NULL
"96","Belen","9","115","0","-27.649593","-67.033283",NULL,NULL
"97","Buenos Aires","9","108","19","-34.602502","-58.397531",NULL,NULL
"98","Cafayate","9","106","21","-26.082918","-65.966604",NULL,NULL
"99","Campana","9","108","19","-34.159996","-58.959978",NULL,NULL
"100","Carhue","9","108","0","-37.182861","-62.733313",NULL,NULL
"101","Catamarca","9","115","24","-28.470008","-65.780001",NULL,NULL
"102","Cerrillos","9","106","0","-24.899631","-65.483300",NULL,NULL
"103","Chacabuco","9","108","19","-34.650044","-60.489988",NULL,NULL
"104","Chamical","9","111","0","-30.349583","-66.316660",NULL,NULL
"105","Charata","9","113","0","-27.216286","-61.199996",NULL,NULL
"106","Chascomus","9","108","0","-35.566215","-58.016624",NULL,NULL
"107","Chepes","9","111","0","-31.349987","-66.599951",NULL,NULL
"108","Chilecito","9","111","0","-29.165521","-67.499999",NULL,NULL
"109","Chivilcoy","9","108","19","-34.899951","-60.039989",NULL,NULL
"110","Chumbicha","9","115","0","-28.866624","-66.233306",NULL,NULL
"111","Comandante Fontana","9","119","0","-25.333300","-59.683319",NULL,NULL
"112","Comodoro Rivadavia","9","124","24","-45.870031","-67.499999",NULL,NULL
"113","Comondante Luis Piedrabuena","9","129","0","-49.974549","-68.903473",NULL,NULL
"114","Coronel Suarez","9","108","19","-37.466616","-61.916619",NULL,NULL
"115","Corrientes","9","126","20","-27.489964","-58.809987",NULL,NULL
"116","Darregueira","9","108","0","-37.699574","-63.166594",NULL,NULL
"117","Doctor Pedro P. Pena","9","119","0","-22.479986","-62.299981",NULL,NULL
"118","Dolores","9","108","19","-36.330045","-57.689978",NULL,NULL
"119","El Calafate","9","129","29","-50.333324","-72.300016",NULL,NULL
"120","El Maiten","9","124","0","-42.050006","-71.166623",NULL,NULL
"121","Eldorado","9","118","0","-26.200017","-54.599985",NULL,NULL
"122","Esquel","9","124","0","-42.900031","-71.316614",NULL,NULL
"123","Formosa","9","119","20","-26.172835","-58.182816",NULL,NULL
"124","Frias","9","112","0","-28.649583","-65.149987",NULL,NULL
"125","Gastre","9","124","0","-42.282963","-69.233304",NULL,NULL
"126","General Guemes","9","106","0","-24.666622","-65.049968",NULL,NULL
"127","General Pico","9","116","21","-35.659595","-63.770020",NULL,NULL
"128","Gobernador Gregores","9","129","0","-48.766598","-70.250012",NULL,NULL
"129","Goya","9","126","20","-29.139993","-59.269985",NULL,NULL
"130","Humahuaca","9","128","0","-23.199993","-65.349949",NULL,NULL
"131","Ingeniero Guillermo N. Juarez","9","119","0","-23.900002","-61.849982",NULL,NULL
"132","Joaquin V. Gonzalez","9","106","0","-25.083341","-64.183354",NULL,NULL
"133","Juan Jose Castelli","9","113","0","-25.949541","-60.616647",NULL,NULL
"134","Juarez","9","108","0","-37.665519","-59.800030",NULL,NULL
"135","Junin","9","108","19","-34.584570","-60.958874",NULL,NULL
"136","La Paz","9","117","0","-33.466137","-67.549996",NULL,NULL
"137","La Plata","9","108","19","-34.909615","-57.959961",NULL,NULL
"138","La Rioja","9","111","25","-29.409950","-66.849961",NULL,NULL
"139","Las Heras","9","117","0","-32.825039","-68.801677",NULL,NULL
"140","Las Lomitas","9","119","0","-24.699592","-60.600007",NULL,NULL
"141","Las Plumas","9","124","0","-43.416279","-67.249988",NULL,NULL
"142","Libertador General San Martin","9","128","22","-23.819542","-64.789984",NULL,NULL
"143","Lincoln","9","108","19","-34.880004","-61.539949",NULL,NULL
"144","Lobos","9","108","0","-35.184895","-59.094672",NULL,NULL
"145","Los Blancos","9","106","0","-23.599607","-62.600040",NULL,NULL
"146","Lujan","9","108","19","-34.579609","-59.109994",NULL,NULL
"147","Malargue","9","117","0","-35.466118","-69.583309",NULL,NULL
"148","Mar de Ajo","9","108","0","-36.716223","-56.676603",NULL,NULL
"149","Mar del Plata","9","108","19","-38.000020","-57.579984",NULL,NULL
"150","Mendoza","9","117","27","-32.883330","-68.816611",NULL,NULL
"151","Mercedes","9","126","20","-29.179577","-58.079980",NULL,NULL
"152","Monte Quemado","9","112","0","-25.799628","-62.866587",NULL,NULL
"153","Necochea","9","108","19","-38.559986","-58.749990",NULL,NULL
"154","Nueve de Julio","9","108","19","-35.445964","-60.889989",NULL,NULL
"155","Olavarria","9","108","19","-36.900036","-60.329997",NULL,NULL
"156","Pampa del Infierno","9","113","0","-26.516587","-61.166587",NULL,NULL
"157","Paso Rio Mayo","9","124","0","-45.683376","-70.266574",NULL,NULL
"158","Pedro Luro","9","108","0","-39.483341","-62.683316",NULL,NULL
"159","Pergamino","9","108","19","-33.899599","-60.569983",NULL,NULL
"160","Perito Moreno","9","129","0","-46.600012","-70.933355",NULL,NULL
"161","Posadas","9","118","20","-27.357832","-55.885107",NULL,NULL
"162","Presidencia Roque Saenz Pena","9","113","20","-26.790007","-60.450016",NULL,NULL
"163","Puerto Deseado","9","129","0","-47.750020","-65.899967",NULL,NULL
