"country","continent","area","iso_3_code"
"4","4","12","AFG"
"8","5","16","ALB"
"12","1","3","DZA"
"24","1","2","AGO"
"31","4","13","AZE"
"32","2","8","ARG"
"36","6","18","AUS"
"40","5","17","AUT"
"44","2","6","BHS"
"48","4","13","BHR"
"50","4","12","BGD"
"51","4","13","ARM"
"52","2","6","BRB"
"56","5","17","BEL"
"64","4","12","BTN"
"68","2","8","BOL"
"70","5","16","BIH"
"72","1","4","BWA"
"76","2","8","BRA"
"84","2","7","BLZ"
"90","6","19","SLB"
"96","4","11","BRN"
"100","5","14","BGR"
"104","4","11","MMR"
"108","1","1","BDI"
"112","5","14","BLR"
"116","4","11","KHM"
"120","1","2","CMR"
"124","3","9","CAN"
"132","1","5","CPV"
"140","1","2","CAF"
"144","4","12","LKA"
"148","1","2","TCD"
"152","2","8","CHL"
"160","4","10","CHN"
"170","2","8","COL"
"174","1","1","COM"
"178","1","2","COG"
"180","1","2","COD"
"188","2","7","CRI"
"191","5","16","HRV"
"192","2","6","CUB"
"196","4","16","CYP"
"203","5","14","CZE"
"204","1","5","BEN"
"208","5","15","DNK"
"214","2","6","DOM"
"218","2","8","ECU"
"222","2","7","SLV"
"226","1","2","GNQ"
"231","1","1","ETH"
"232","1","1","ERI"
"233","5","15","EST"
"242","6","19","FJI"
"246","5","15","FIN"
"250","5","17","FRA"
"254","2","8","GUF"
"258","6","21","PYF"
"262","1","1","DJI"
"266","1","2","GAB"
"268","4","13","GEO"
"270","1","5","GMB"
"275","4","13","PSE"
"276","5","17","DEU"
"288","1","5","GHA"
"300","5","16","GRC"
"312","2","6","GLP"
"316","6","20","GUA"
"320","2","7","GTM"
"324","1","5","GIN"
"328","2","8","GUY"
"332","2","6","HTI"
"340","2","7","HND"
"348","5","14","HUN"
"352","5","15","ISL"
"356","4","12","IND"
"360","4","11","IDN"
"364","4","12","IRN"
"368","4","13","IRQ"
"372","5","15","IRL"
"376","4","13","ISR"
"380","5","16","ITA"
"384","1","5","CIV"
"388","2","6","JAM"
"392","4","10","JPN"
"398","4","12","KAZ"
"400","4","13","JOR"
"404","1","1","KEN"
"408","4","10","PRK"
"410","4","10","KOR"
"414","4","13","KWT"
"417","4","12","KGZ"
"418","4","11","LAO"
"422","4","13","LBN"
"426","1","4","LSO"
"428","5","15","LVA"
"430","1","5","LBR"
"434","1","3","LBY"
"440","5","15","LTU"
"442","5","17","LUX"
"450","1","1","MDG"
"454","1","1","MWI"
"458","4","11","MYS"
"462","4","12","MDV"
"466","1","5","MLI"
"470","5","16","MLT"
"474","2","6","MTQ"
"478","1","5","MRT"
"480","1","1","MUS"
"484","2","7","MEX"
"496","4","10","MNG"
"498","5","14","MDA"
"499","5","16","MNE"
"504","1","3","MAR"
"508","1","1","MOZ"
"512","4","13","OMN"
"516","1","4","NAM"
"524","4","12","NPL"
"528","5","17","NLD"
"540","6","19","NCL"
"548","6","19","VUT"
"554","6","18","NZL"
"558","2","7","NIC"
"562","1","5","NER"
"566","1","5","NGA"
"578","5","15","NOR"
"586","4","12","PAK"
"591","2","7","PAN"
"598","6","19","PNG"
"600","2","8","PRY"
"604","2","8","PER"
"608","4","11","PHL"
"616","5","14","POL"
"620","5","16","PRT"
"624","1","5","GNB"
"626","4","11","TLS"
"630","2","6","PRI"
"634","4","13","QAT"
"638","1","1","REU"
"642","5","14","ROU"
"643","5","14","RUS"
"646","1","1","RWA"
"682","4","13","SAU"
"686","1","5","SEN"
"688","5","16","SRB"
"694","1","5","SLE"
"702","4","11","SGP"
"703","5","14","SVK"
"704","4","11","VNM"
"705","5","16","SVN"
"706","1","1","SOM"
"710","1","4","ZAF"
"716","1","1","ZWE"
"724","5","16","ESP"
"728","1","1","SSD"
"729","1","3","SDN"
"732","1","3","ESH"
"740","2","8","SUR"
"748","1","4","SWZ"
"752","5","15","SWE"
"756","5","17","CHE"
"760","4","13","SYR"
"762","4","12","TJK"
"764","4","11","THA"
"768","1","5","TGO"
"780","2","6","TTO"
"784","4","13","ARE"
"788","1","3","TUN"
"792","4","13","TUR"
"795","4","12","TKM"
"800","1","1","UGA"
"804","5","14","UKR"
"807","5","16","MKD"
"818","1","3","EGY"
"826","5","15","GBR"
"834","1","1","TZA"
"840","3","9","USA"
"854","1","5","BFA"
"858","2","8","URY"
"860","4","12","UZB"
"862","2","8","VEN"
"882","6","21","WSM"
"887","4","13","YEM"
"894","1","1","ZMB"
"678","1","2","STP"
"662","2","6","LCA"
