name;membership;reg_link;name;url;city;department;continent;country_u;country
Algeria, 5 registries;N;1361;ALG, ANN, BAT, SET & TLE for IICC-3;NULL;NULL;NULL;Africa;ALGERIA;Algeria
Algeria Contact;I;1234;Mr Fateh Chellai;NULL;NULL;NULL;Africa;ALGERIA;Algeria
Algiers;V;1;Tumour Registry of Algiers;NULL;Algiers;Département de contrôle des maladies;Africa;ALGERIA;Algeria
Annaba;V;2;Annaba Cancer Registry;;Annaba;Registre du cancer Annaba;Africa;ALGERIA;Algeria
Batna;V;3;Cancer Registry of the Wilaya of Batna;;Batna;Service d'épidémiologie et de médecine préventive;Africa;ALGERIA;Algeria
Bba;N;4;Bba Cancer Registry;NULL;NULL;NULL;Africa;ALGERIA;Algeria
Constantine;V;5;Cancer Registry of Constantine;NULL;Constantine;Service de Médecine Préventive et Epidémiologie;Africa;ALGERIA;Algeria
Mascara;V;6;Cancer Registry of the Mascara Region;NULL;NULL;Service d'Epidémiologie et de Médecine préventive du Secteur Sanitaire de Mascara;Africa;ALGERIA;Algeria
Mostaganem;N;7;Mostaganem Cancer Registry;NULL;NULL;NULL;Africa;ALGERIA;Algeria
Msila;N;8;Msila Cancer Registry;www.semep-setif.org;;;Africa;ALGERIA;Algeria
Oran;V;9;Cancer Registry of Oran;NULL;Oran;Service d'Epidémiologie et de Médecine Préventive;Africa;ALGERIA;Algeria
Saida;N;10;Saida Cancer Registry;NULL;Saida;NULL;Africa;ALGERIA;Algeria
Sétif;V;11;Sétif Cancer Registry;http://www.ennour-setif.org/registre_du_cancer_de_setif_.html;Sétif;Service d’Épidémiologie et de Médicine préventive;Africa;ALGERIA;Algeria
Sidi-Bel-Abbès;V;12;Cancer Registry of Sidi-Bel-Abbès;;Sidi-Bel-Abbès;Service d''Epidémiologie et de Médecine Préventive;Africa;ALGERIA;Algeria
Temouchent;N;13;Temouchent Cancer Registry;NULL;Temuchent;NULL;Africa;ALGERIA;Algeria
Tiarer;N;14;Tiaret Cancer Registry;NULL;Tiarer;NULL;Africa;ALGERIA;Algeria
Tizi-Ouzou;V;1244;Tizi-Ouzou Cancer Registry;Algeria, Tizi-Ouzou;Tizi-Ouzou;Service d’épidémiologie et de médecine préventive;Africa;ALGERIA;Algeria
Tlemcen;N;15;Tlemcen Cancer Registry;NULL;Tlemcen;"Department of Epidemiology; University Hospital Center of Tlemcen; Surveillance of Cancers team; Cancer Lab";Africa;ALGERIA;Algeria
Angola;V;16;Oncology Registry of Angola;NULL;Luanda;NULL;Africa;ANGOLA;Angola
Lucrecia Paim Maternity - Luanda;N;17;Lucrecia Paim Maternity;NULL;Luanda;NULL;Africa;ANGOLA;Angola
Benin, Cotonou;N;1031;Benin  Cancer Registry;NULL;NULL;NULL;Africa;BENIN;Benin
Botswana;V;18;Botswana National Cancer Registry;http://afcrn.org/membership/members/118-bncr;Gaborone;Departments of Public Health;Africa;BOTSWANA;Botswana
Burkina Faso;V;19;Cancer Registry of Burkina Faso/Ouagadougou;NULL;Ouagadougou;NULL;Africa;BURKINA_FASO;Burkina Faso
Philadelphie Clinic - Ouagadougou;N;20;Philadelphie Clinic - Ouagadougou;NULL;Ouagadougou;Laboratoire de biologie médicale et d'Histo-Cyto-Pathologie;Africa;BURKINA_FASO;Burkina Faso
Yalgado Ouédraogo National Hospital;N;21;Yalgado Ouédraogo National Hospital;NULL;Ouagadougou;NULL;Africa;BURKINA_FASO;Burkina Faso
Yaounde;V;22;Yaounde Cancer Registry;NULL;Yaounde;Department of Pathology;Africa;CAMEROON;Cameroon
WHO Regional Office for Africa;N;24;WHO Regional Office for Africa;NULL;Brazzaville;Chronic Diseases Programme-DNC Division;Africa;CONGO;Congo
Marien Ngouabi University;N;23;Marien Ngouabi University - Brazzaville;NULL;Brazzaville;NULL;Africa;CONGO;Congo
Brazzaville;V;25;Cancer Registry of Brazzaville;;Brazzaville;;Africa;CONGO;Congo
Kangwana;N;26;Kangwana Cancer Registry;NULL;Kangwana;NULL;Africa;CONGO;Congo
Abidjan;V;27;Registre du Cancer d''Abidjan;;Abidjan;Centre Hospitalier Universitaire de Treichville;Africa;COTE_DIVOIRE;Côte d'Ivoire
Egypt;I;28;National Cancer Registry;NULL;Cairo;NULL;Africa;EGYPT;Egypt
Gharbia;U;1066;Gharbia Cancer Registry;;Tanta;;Africa;EGYPT;Egypt
Alexandria;V;29;Alexandria Regional Cancer Registry;NULL;Alexandria;Medical Research Institute;Africa;EGYPT;Egypt
Aswan;V;30;Aswan Cancer Registry;NULL;St  Aswan;NULL;Africa;EGYPT;Egypt
Damietta;U;1255;Damietta Cancer Registry;;Damietta;Cancer Registry Department;Africa;EGYPT;Egypt
El-Salam;V;31;El-Salam Cancer Registry;NULL;Cairo;El-Salam Oncology Centre;Africa;EGYPT;Egypt
Gharbiah;V;32;Gharbiah Cancer Registry;;Tanta;;Africa;EGYPT;Egypt
Minia;V;33;Minia Cancer Registry;NULL;Minia;NULL;Africa;EGYPT;Egypt
Eswatini;V;81;Swaziland National Cancer Registry;NULL;Manzini;Central Public Health Laboratory;Africa;ESWATINI;Eswatini
Addis Ababa;N;1049;Addis Ababa population based cancer registry;NULL;NULL;NULL;Africa;ETHIOPIA;Ethiopia
Gondar;N;34;Gondar Cancer Registry;NULL;Addis Ababa;Pathology Department;Africa;ETHIOPIA;Ethiopia
Reunion;V;35;Cancer Registry of the Reunion Island;http://afcrn.org/membership/members/130-registrereunion;Saint Denis de la Réunion;Service Santé Publique et Soutien à la Recherche;Africa;FRANCE_REUNION;Réunion
Gabon;N;36;National Cancer Registry of Gabon;NULL;Libreville;NULL;Africa;GABON;Gabon
Gambia;V;37;Gambia National Cancer Registry;www.mrc.gm;Banjul;Gambia National Cancer Registry;Africa;GAMBIA;Gambia
Accra;N;38;Accra Cancer Registry;NULL;Accra;NULL;Africa;GHANA;Ghana
Kumasi;N;1048;Kumasi Cancer Registry;NULL;Kumasi;NULL;Africa;GHANA;Ghana
Tamale;N;39;Tamale Cancer Registry;NULL;Tamale;NULL;Africa;GHANA;Ghana
Guinea;V;40;National Guinean Tumour Registry;NULL;Conakry;Centre National d'Anatomie Pathologique;Africa;GUINEA;Guinea
Conakry;U;1058;Conakry Cancer Registry;NULL;NULL;NULL;Africa;GUINEA;Guinea
KENYA, 2 registries;N;973;ELD & NAI for IICC3;NULL;NULL;NULL;Africa;KENYA;Kenya
Eldoret;V;41;The Eldoret Cancer Registry;http://afcrn.org/membership/members/101-eldoret;Eldoret;Department of Hematology and Blood Transfusion;Africa;KENYA;Kenya
Nairobi;V;42;Nairobi Cancer Registry;http://afcrn.org/membership/members/85-nairobi-kenya;Nairobi;Centre for Clinical Research;Africa;KENYA;Kenya
Libya;N;1482;Libyan Cancer Registry Unit;https://lcr.ly/gate/;Tripoli;NULL;Africa;LIBYA;Libya
Benghazi;V;43;Benghazi Cancer Registry;www.cancerlibya.com;Benghazi;Medical School;Africa;LIBYA;Libya
Western Libya;U;1094;Western Libya Cancer Registry;;;Cancer Registry Department;Africa;LIBYA;Libya
Blantyre;V;44;National Cancer Registry of Malawi;;Blantyre;Queen Elizabeth Central Hospital;Africa;MALAWI;Malawi
Bamako;N;45;Gabriel Touré Hospital - Bamako;NULL;Bamako;NULL;Africa;MALI;Mali
Bamako;V;46;Mali Cancer Registry;http://afcrn.org/membership/members/136-malicancerregistry;Bamako;;Africa;MALI;Mali
