country_label;city_label;lat;long;selection
Benin;Cotonou;6.370293;2.391236;1
Botswana;Gaborone;-24.628208;25.923147;1
Congo;Brazzaville;-4.26336;15.242885;1
Cote divoire;Abidjan;5.359952;-4.008256;1
Ethiopia;Addis Ababa;8.980603;38.757761;1
Reunion;reunion;-20.903941;55.467911;1
The Gambia;Banjul;13.454876;-16.579032;1
Ghana;Kumasi;7.946527;-1.023194;0
Guinea;Conakry;9.641185;-13.578401;1
Kenya;Eldoret;0.514277;35.26978;1
Kenya;Nairobi;-1.292066;36.821946;1
Malawi;Blantyre;-15.766671;35.016787;1
Mali;Bamako;12.639232;-8.002889;1
Mauritius;Port louis;-20.160891;57.501222;1
Mozambique;Beira;-19.796382;34.884487;1
Mozambique;Maputo;-25.891968;32.605135;0
Namibia;Windhoek;-22.560881;17.065755;1
Niger;Niamey;13.511596;2.125385;1
Nigeria;Abuja;9.076479;7.398574;1
Nigeria;Calabar;4.975716;8.341701;1
Nigeria;Ibadan;7.377535;3.94704;1
Seychelles;Victoria;-4.619143;55.451315;1
South Africa;Eastern Cape Province;-32.29684;26.419389;1
South Africa;Johannesburg ;-26.204103;28.047305;1
Swaziland;Mbabane;-26.305448;31.136672;0
Uganda;Gulu;2.772404;32.288073;0
Uganda;Kampala;0.347596;32.58252;1
Zambia;Lusaka;-15.387526;28.322817;0
Zimbabwe;Bulawayo;-20.132507;28.626479;1
Zimbabwe;Harare;-17.825166;31.03351;1
;Setif;36.0999;5.26;
;Gharbia;30.881;31.06;
;Benghazi;32.07;20.04;
;Blantyre;-15.471;35.021;
;PROMEC;-32.2;28.09;
;North;36.48;10.11;
;Kampala;0.3133;32.5714;
;Harare;-17.8227;31.0496;
;Bahia Blanca;-38.4258;-62.17;
;Cordoba;-31.243;-64.1102;
;Mendoza;-32.53;-68.49;
;Tierra del Fuego;-54.362;-67.638;
;Aracaju;-10.55;-37.03;
;Belo Horizonte;-19.4901;-43.5721;
;Cuiaba;-15.3545;-56.0549;
;Fortaleza;-3.7;-38.3234;
;Goiania;-16.4;-49.15;
;Sao Paulo;-23.3252;-46.3811;
;Biobio Province;-37.23;-71.52;
;Region of Antofagasta;-23.39;-70.24;
;Valdivia;-39.483;-73.143;
;Bucaramanga;7.0728;-73.0654;
;Cali;3.2516;-76.312;
;Manizales;5.06;-75.33;
;Pasto;1.1229;-77.1648;
;Villa Clara;22.4136;-79.9656;
;Quito;-0.2295;-78.5243;
;Cuenca;-2.5357;-79.0055;
;Martinique (France);14.5997;-61.076;
;Kingston and St Andrew;17.59;-76.48;
;Alberta;53.3719;-113.2925;
;British Columbia;54;-123;
;Manitoba;55.4;-97.0818;
;Northwest Territories;62.2632;-114.2351;
;New Brunswick;45.5727;-66.384;
;Nova Scotia;44.5116;-63.1157;
;Prince Edward Island;46.1408;-63.0735;
;Newfoundland and Labrador;47.343;-52.4226;
;Yukon;65.4313;-135.0308;
;Ontario;50.42;-86.3;
;Quebec;50.3017;-73.3325;
;Saskatchewan;54.3;-105.4053;
;Alabama;33;-86;
;Arizona;34;-112;
;Arkansas;34.5;-92;
;California;35.7;-119;
;California; Los Angeles;34.013;
;California; San Francisco;37.4645;
;Colorado;39;-105;
;Connecticut;41;-72.5;
;Delaware;39;-75.35;
;Florida;31;-83;
;Georgia; Atlanta;33.7545;
;Idaho;45.5;-115;
;Illinois;39;-89;
;Indiana;39;-86;
;Iowa;42;-92.5;
;Louisiana; New Orleans;29.58;
;Maine;45;-68;
;Massachusetts;42;-71;
;Michigan; Detroit;42.1953;
;Mississippi;33;-90;
;Missouri;38;-92;
;Montana;46.5;-110;
;Nebraska;41.5;-100;
;New Hampshire;44;-71;
;New Jersey;40;-74;
;New Mexico;34.5;-105;
;New York;40.4248;-74.002;
;North Carolina;35;-80;
;Ohio;40;-82;
;Oklahoma;35;-97;
;Oregon;44;-120;
;Pennsylvania;41;-77;
;Rhode Island;41.5;-71.33;
;South Carolina;33.5;-80.5;
;South Dakota;44;-102;
;Tennessee;35.5;-86.3;
;Texas;30;-100;
;Utah;40.7716;-111.8882;
;Vermont;43;-72;
;Virginia;38;-78;
;Washington; Seattle;47.3636;
;West Virginia;38.5;-79;
;Wisconsin;44.5;-89.5;
