code;name;id;registry_title;registry_title;email;phone;id2;url;pi_title;city;registry_sub_title;registry_name;id2;adress;zip_code;id3;country_code;continent;country_u;country
AFALGALG;Algiers;V;1;Tumour Registry of Algiers;doudjah7@gmail.com;+213 661 59 43 52;+213 21 91 27 37;NULL;Doudja Hammouda, responsible for Algiers cancer registry;Algiers;Département de contrôle des maladies;Institut National de Santé Publique;National Institute of Health;NULL;4, chemin Elbakr;El-Biar;16000;Africa;ALGERIA;Algeria
AFALGANN;Annaba;V;2;Annaba Cancer Registry;RegCancerAnnaba@gmail.com;21338400029;21338400037;;NULL;Annaba;Registre du cancer Annaba;CHU Annaba, Hopital Ibn Rochd;Centre de Lutte Contre le  Cancer d''Annaba;;02 Rue de Strasbourg ;;23000;Africa;ALGERIA;Algeria
AFALGBAT;Batna;V;3;Cancer Registry of the Wilaya of Batna;fbaichi@gmail.com;+213 33 30 84 07;+213 33 30 84 07;;larbi-bouhidel@yahoo.fr INVALID EMAIL;Batna;Service d'épidémiologie et de médecine préventive;CHU de Batna;;;;;5000;Africa;ALGERIA;Algeria
AFALGCON;Constantine;V;5;Cancer Registry of Constantine;mounira.ramy@yahoo.fr;NULL;NULL;NULL;djzougheilech@yahoo.fr - DOES NOT HAVE A YAHOO ACCOUNT / 2018: mounira.ramy@yahoo.fr (SECRÉTAIRE DU CHEF DE SERVICE Mlle Mounira Rami);Constantine;Service de Médecine Préventive et Epidémiologie;C.H.U. Benbadis;NULL;NULL;NULL;NULL;NULL;Africa;ALGERIA;Algeria
AFALGMAS;Mascara;V;6;Cancer Registry of the Mascara Region;NULL;NULL;NULL;NULL;NULL;NULL;Service d'Epidémiologie et de Médecine préventive du Secteur Sanitaire de Mascara;Département de Mascara;NULL;NULL;NULL;NULL;NULL;Africa;ALGERIA;Algeria
AFALGORA;Oran;V;9;Cancer Registry of Oran;NULL;(213) 41 412246;(213) 41 412226;NULL;NULL;Oran;Service d'Epidémiologie et de Médecine Préventive;Centre Hospitalier et Universitaire d'Oran;NULL;NULL;Place Roux;1, rue de Curie;31 000;Africa;ALGERIA;Algeria
AFALGSET;Sétif;V;11;Sétif Cancer Registry;cherifito@hotmail.fr;+213 36 616106;+213 36 616176;http://www.ennour-setif.org/registre_du_cancer_de_setif_.html;hamdicherifm @ennour .org - not available;Sétif;Service d’Épidémiologie et de Médicine préventive;Hospital University Center;NULL;NULL;Hôpital Mère-Enfant;CHU Setif;19000;Africa;ALGERIA;Algeria
AFALGSID;Sidi Bel Abbès;V;12;Cancer Registry of Sidi Bel Abbès;soulimane2@yahoo.fr;(213) 48 549924;(213) 48 549924;;asoulimane@yahoo.fr - invalid address;Sidi Bel Abbès;Service d''Epidémiologie et de Médecine Préventive;C.H.U. de Sidi Bel Abbès;;;;;22000;Africa;ALGERIA;Algeria
AFALGTIZ;Tizi Ouzou;V;1244;Tizi Ouzou Cancer Registry;mialoui_5@yahoo.fr;21326111465;21326111465;Algeria, Tizi Ouzou;NULL;Tizi Ouzou;Service d’épidémiologie et de médecine préventive;Centre Hospitalo-universitaire de Tizi Ouzou;Faculté de Médecine de Tizi-Ouzou;15000;Rue Lamali Ahmed, Tizi-Ouzou;Wilaya de Tizi Ouzou;15000;Africa;ALGERIA;Algeria
AFANG10;Angola;V;16;Oncology Registry of Angola;armandocno@yahoo.com.br;(244) 2 448009 / (244) 91 217710;NULL;NULL;kialamig@hotmail.com invalid email;Luanda;NULL;Departamento de Patologia;Hospital Americo Boavida;P.O. Box 12098;Avenida dos Massacre;NULL;NULL;Africa;ANGOLA;Angola
AFBOT10;Botswana;V;18;Botswana National Cancer Registry;botncr@gmail.com;2673632661 or3632662;+267 39 10 32 7 or +267 39 02 09 2;http://afcrn.org/membership/members/118-bncr;mpusoentsi@gov.bw second email;Gaborone;Departments of Public Health;Disease Control Division, Non-communicable Diseases Programme;Ministry of Health Headquarter;Private Bag 000269;NULL;NULL;NULL;Africa;BOTSWANA;Botswana
AFBUF10;Burkina Faso;V;19;Cancer Registry of Burkina Faso/Ouagadougou;NULL;(226) 362264;(226) 316190 / 312639;NULL;aubierge@caramail.com: invalid email address;Ouagadougou;NULL;Centre Syfed Ouagadougou;NULL;BP 4416;NULL;NULL;1;Africa;BURKINA_FASO;Burkina Faso
AFCAMYAO;Yaoundé;V;22;Yaoundé Cancer Registry;NULL;(237) 77716045;NULL;NULL;Not able to pay IACR fees in 2015;Yaoundé;Department of Pathology;Hôpital Général Yaoundé;NULL;B.P. 5408;Nlongkak;NULL;NULL;Africa;CAMEROON;Cameroon
AFCOOBRA;Brazzaville;V;25;Cancer Registry of Brazzaville;jfpecko@hotmail.fr;+242 (0)6 66 48 54 5;-811586;;NULL;Brazzaville;;CHU Brazzaville;Registre des Cancers de Brazzaville;B.P. 32;Service de Carcinologie et Radiothérapie;;;Africa;CONGO;Congo
AFCOTABI;Abidjan;V;27;Registre du Cancer d''Abidjan;;(+255) 08487095;(225) 21 252852 / 350627;;samuel158@caramail.com - Invalid email address - iadboubi@yahoo.com invalid;Abidjan;Centre Hospitalier Universitaire de Treichville;;;;01 B.P. V.3;;1;Africa;COTE_DIVOIRE;Côte d'Ivoire
AFEGYALE;Alexandria;V;29;Alexandria Regional Cancer Registry;ramezbedwani@hotmail.com;(20) 3 482 1299;(20) 3 483 4566;NULL;NULL;Alexandria;Medical Research Institute;NULL;NULL;NULL;165 Al-Horria Road;El Hadara;NULL;Africa;EGYPT;Egypt
AFEGYASW;Aswan;V;30;Aswan Cancer Registry;amirmbishara@yahoo.com;+20 97 23 03 37 4;+20 97 23 09 87 3;NULL;Beside El-Takhteet (location 2 removed - not in the July 2012 survey);Aswān;NULL;Aswan Oncology Center;NULL;NULL;Kornish el Nile Street;NULL;81111;Africa;EGYPT;Egypt
AFEGYELS;El-Salam;V;31;El-Salam Cancer Registry;NULL;(202) 279 7917;(202) 279 7928;NULL;NULL;Cairo;El-Salam Oncology Centre;Madinat Al-Salam;NULL;NULL;NULL;NULL;NULL;Africa;EGYPT;Egypt
AFEGYGHA;Gharbiah;V;32;Gharbiah Cancer Registry;gpbcr1@gmail.com;002040 -3413275;20403413276;;NULL;Ţanţā;;Gharbia Cancer Society;;P.O. Box 276;Dr. Nagati Street from Elgeish;;31111;Africa;EGYPT;Egypt
AFEGYMIN;Minia;V;33;Minia Cancer Registry;hafifi16@hotmail.com;+20 10 09 86 24 64;NULL;NULL;NULL;Al Minyā;NULL;Minia Cancer Registry;NULL;NULL;Minia Cancer Center;Dr Hasan Afifi;NULL;Africa;EGYPT;Egypt
AFESW10;Eswatini;V;81;Swaziland National Cancer Registry;swazicancerregistry@gmail.com;(268) 505 2126;(268) 505 6445;NULL;Country name changed from Swaziland in 2018;Manzini;Central Public Health Laboratory;Ministry of Health and Social Welfare;NULL;P.O. Box 54;NULL;NULL;NULL;Africa;ESWATINI;Eswatini
AFFRRREU;Reunion;V;35;Cancer Registry of the Reunion Island;registre.cancer@chu-reunion.fr;262905123;;http://afcrn.org/membership/members/130-registrereunion;NULL;Saint-Denis;Service Santé Publique et Soutien à la Recherche;CHU de la Réunion, site CH Félix Guyon;;;Allée des Topazes;CS11021;97400;Africa;FRANCE_REUNION;Réunion
AFGAM10;Gambia;V;37;Gambia National Cancer Registry;lbojang@mrc.gm;+220 4495442 / +220 7039468  Ext. 5004;2 204 495 919;www.mrc.gm;NULL;Banjul;Gambia National Cancer Registry;Medical Research Council Unit at London School of Hygiene and Tropical Medicine;Atlantic Boulevard;;;;;Africa;;Gambia
AFGUA10;Guinea;V;40;National Guinean Tumour Registry;NULL;(224) 228088;(224) 413990 / 455393/ 453670;NULL;moussakoulibaly@hotmail.com INVALID EMAIL Dr I Kabba passed away on Fri 29 Nov 2013;Conakry;Centre National d'Anatomie Pathologique;Faculté de Médecine/Pharmacie;Université de Conakry;B.P. 4152;NULL;NULL;NULL;Africa;GUINEA;Guinea
AFKENELD;Eldoret;V;41;The Eldoret Cancer Registry;eldoretcancerregistry@gmail.com;+254 73 37 87 71 0;;http://afcrn.org/membership/members/101-eldoret;Moi University, AMPATH, Oncology, AMPATH Building,  Research Room (Department, Institution and Location 2 removed further to July 2012 survey);Eldoret;Department of Hematology and Blood Transfusion;Moi University, College of Health Sciences;;P.O. Box 4606;School of Medicine;RM 145;30100;Africa;KENYA;Kenya
AFKENNAI;Nairobi;V;42;Nairobi Cancer Registry;cancerregistry@kemri.org;(254) (020) 2722541;(254)(020) 2720030;http://afcrn.org/membership/members/85-nairobi-kenya;NULL;Nairobi;Centre for Clinical Research;Kenya Medical Research Institute;NULL;P.O. Box 20778;Off Mbagathi Way;NULL;202;Africa;KENYA;Kenya
AFLIYBEN;Benghazi;V;43;Benghazi Cancer Registry;;(218) 925110193;(218) 61 22 38 350;www.cancerlibya.com;bcr@cancerlibya.com - mail bounces back;Benghazi;Medical School;Benghazi Medical University;;P.O. Box 3232;;;;Africa;LIBYA;Libya
AFMAIBLA;Blantyre;V;44;National Cancer Registry of Malawi;;(265) 1 824 279;;;NULL;Blantyre;Queen Elizabeth Central Hospital;;;P.O. Box 95;;;;Africa;MALAWI;Malawi
AFMALBAM;Bamako;V;46;Mali Cancer Registry;NULL;+223 20 22 50 02;+223 20 22 97 90;http://afcrn.org/membership/members/136-malicancerregistry;Service d''anatomie pathologique - Centre Hospitalier Universitaire du Point G: REMOVED from Department and Institution 1 (survey July 2012);Bamako;;CHU du Point G;;BPE 333;;;;Africa;MALI;Mali
