numcode;country;Norphans;Ndeath
4;Afghanistan;10454;6290
8;Albania;169;697
12;Algeria;8444;10393
24;Angola;9075;5469
32;Argentina;6442;16020
51;Armenia;229;1383
36;Australia;1849;6865
40;Austria;509;3388
31;Azerbaijan;862;3311
44;Bahamas;52;154
48;Bahrain;111;214
50;Bangladesh;18313;34420
52;Barbados;51;189
112;Belarus;640;4585
56;Belgium;856;4451
84;Belize;47;64
204;Benin;2520;1868
64;Bhutan;85;145
68;Bolivia;2707;3054
70;Bosnia Herzegovina;251;1855
72;Botswana;477;450
76;Brazil;21576;67413
96;Brunei Darussalam;57;130
100;Bulgaria;617;3729
854;Burkina Faso;6943;4341
108;Burundi;4676;2672
116;Cambodia;2878;4407
120;Cameroon;11355;6489
124;Canada;2572;14646
132;Cape Verde;69;117
140;Central African Republic;1230;913
148;Chad;5168;2867
152;Chile;1513;5757
160;China;106571;658630
170;Colombia;5461;14991
174;Comoros;295;205
178;Congo;712;647
180;Congo - Democratic Republic of;22632;14086
188;Costa Rica;418;1332
384;Cote d Ivoire;6414;4983
191;Croatia;314;2221
192;Cuba;794;5188
196;Cyprus;69;371
203;Czechia;604;4518
208;Denmark;494;2623
262;Djibouti;280;256
214;Dominican Republic;1519;3304
218;Ecuador;2066;3891
818;Egypt;13671;23702
222;El Salvador;685;1412
226;Equatorial Guinea;453;271
232;Eritrea;979;745
233;Estonia;85;563
748;Eswatini;381;311
231;Ethiopia;39409;25970
242;Fiji;246;394
246;Finland;317;1862
250;France;6924;25052
312;France;49;150
474;France;39;144
540;France -  New Caledonia;41;96
638;France - Réunion;109;266
254;French Guiana;27;49
258;French Polynesia;51;116
266;Gabon;545;445
268;Georgia;384;1983
276;Germany;5142;35748
288;Ghana;8179;6741
300;Greece;768;4069
316;Guam;13;64
320;Guatemala;2666;3172
324;Guinea;3677;2992
624;Guinea-Bissau;531;417
328;Guyana;105;217
332;Haiti;1961;2514
340;Honduras;1888;2287
348;Hungary;895;6810
352;Iceland;21;98
356;India;157081;306539
360;Indonesia;42002;80023
364;Iran;7902;19123
368;Iraq;8852;7584
372;Ireland;539;1770
376;Israel;1145;2193
380;Italy;4588;22183
388;Jamaica;612;1276
392;Japan;6712;34532
400;Jordan;2041;2029
398;Kazakhstan;2685;6632
404;Kenya;14197;13221
408;Korea;3586;10081
410;Korea;2602;11868
414;Kuwait;303;568
417;Kyrgyzstan;831;1605
418;Lao People's Democratic Republic;1471;1936
428;Latvia;173;1042
422;Lebanon;808;1909
426;Lesotho;591;605
430;Liberia;1440;1158
434;Libya;1232;1469
440;Lithuania;214;1396
442;Luxembourg;30;167
450;Madagascar;8108;6380
454;Malawi;11702;6639
458;Malaysia;4994;8875
462;Maldives;41;75
466;Mali;8611;5077
470;Malta;13;133
478;Mauritania;1372;994
480;Mauritius;95;432
484;Mexico;12644;27911
498;Moldova;274;2121
496;Mongolia;422;1232
499;Montenegro;82;379
504;Morocco;5990;10025
508;Mozambique;15655;9019
104;Myanmar;11105;18940
516;Namibia;862;795
524;Nepal;2612;5036
554;New Zealand;546;1846
558;Nicaragua;904;1567
562;Niger;6178;3240
566;Nigeria;52583;35328
807;North Macedonia;174;933
578;Norway;360;1756
512;Oman;590;544
586;Pakistan;37907;42915
275;Palestine;1097;928
591;Panama;457;927
598;Papua New Guinea;3354;2999
600;Paraguay;1218;1723
604;Peru;5156;9578
608;Philippines;18887;27649
616;Poland;2862;22813
620;Portugal;823;3742
630;Puerto Rico;159;936
634;Qatar;107;167
642;Romania;1587;10658
643;Russian Federation;12994;74647
646;Rwanda;3934;2794
662;Saint Lucia;14;51
882;Samoa;62;65
678;Sao Tome and Principe;35;36
682;Saudi Arabia;4184;3851
686;Senegal;5551;3906
688;Serbia;1048;6318
694;Sierra Leone;2172;1655
702;Singapore;467;2514
703;Slovakia;357;2896
705;Slovenia;124;945
90;Solomon Islands;200;135
706;Somalia;6455;3662
710;South African Republic;13323;20393
728;South Sudan;2749;1993
724;Spain;3717;15091
144;Sri Lanka;2524;5705
729;Sudan;9070;6916
740;Suriname;72;168
752;Sweden;635;3230
756;Switzerland;492;2754
760;Syrian Arab Republic;4270;4711
762;Tajikistan;1377;1506
834;Tanzania;15438;12085
764;Thailand;6189;29246
270;The Gambia;567;302
528;The Netherlands;1526;7833
626;Timor-Leste;217;168
768;Togo;1884;1464
780;Trinidad and Tobago;166;602
788;Tunisia;1282;2550
792;Turkey;9331;25256
795;Turkmenistan;1176;1825
800;Uganda;19508;10827
804;Ukraine;3290;21595
784;United Arab Emirates;324;680
826;United Kingdom;5226;24101
840;United States of America;24982;116511
858;Uruguay;412;1504
860;Uzbekistan;4333;8549
548;Vanuatu;96;64
862;Venezuela;4215;9494
704;Viet Nam;11281;31526
887;Yemen;6325;4436
894;Zambia;6303;3937
716;Zimbabwe;4439;4581
