id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
180000299	Uganda, Kyadondo County	99	1	7	1	0.62	12	10.22	0.62	1	10.22	12	1548.38709677419	rising	1548.38709677419
384000221	USA, California, San Francisco Bay Area: Japanese	21	1	5	4	2.81	11	8.36	2.81	4	8.36	11	197.508896797153	rising	197.508896797153
439200699	Japan, Yamagata Prefecture	99	1	5	6	2.75	11	7.8	2.75	6	7.8	11	183.636363636364	rising	183.636363636364
655400028	New Zealand: Maori	28	1	9	2	3.79	12	10.19	3.09	3	11.39	7	168.865435356201	U	168.865435356201
439200299	Japan, Miyagi Prefecture	99	1	12	1	4.44	12	9.74	3.09	3	9.74	12	119.369369369369	U	119.369369369369
439200499	Japan, Osaka Prefecture	99	1	10	3	4.61	12	10.11	4.55	5	10.11	12	119.305856832972	U	119.305856832972
439200599	Japan, Saga Prefecture	99	1	4	6	3.21	10	6.47	3.21	6	6.47	10	101.557632398754	rising	101.557632398754
572400999	Spain, Albacete	99	1	5	7	8.55	11	17.21	8.55	7	21.88	8	101.286549707602	inverted-U	101.286549707602
684009910	USA, Hawaii: White	10	1	12	1	9.62	12	19.02	9.62	1	27.11	3	97.7130977130977	inverted-U	97.7130977130977
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	2.53	10	4.64	2.53	4	5.11	9	83.399209486166	inverted-U	83.399209486166
582600199	UK, England	99	1	4	8	6.16	12	11.13	6.16	8	11.13	12	80.6818181818182	rising	80.6818181818182
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	12.67	12	2.52	1.85	10	12.67	5	-80.1104972375691	U	80.1104972375691
561600599	Poland, Warsaw City	99	1	8	2	5.33	9	9.43	5.33	2	11.44	4	76.9230769230769	inverted-U	76.9230769230769
547000099	Malta	99	1	7	3	31.25	12	7.37	6.91	7	31.25	3	-76.416	U	76.416
470200040	Singapore: Indian	40	1	9	3	32.46	12	7.89	7.89	12	32.46	3	-75.6931608133087	falling	75.6931608133087
415600799	China, Jiashan County	99	1	5	8	5.59	12	9.79	5.59	8	9.79	12	75.134168157424	rising	75.134168157424
312401299	Canada, Saskatchewan	99	1	12	1	36.67	12	9.27	8.65	10	36.67	1	-74.7204799563676	U	74.7204799563676
538000499	Italy, Varese	99	1	9	4	24.75	12	7.41	7.41	12	24.75	4	-70.0606060606061	falling	70.0606060606061
312400899	Canada, Newfoundland and Labrador	99	1	12	1	38.33	12	11.82	10.19	10	48.96	2	-69.1625358726846	U	69.1625358726846
312400599	Canada, New Brunswick	99	1	10	1	34.69	12	11.27	9.52	11	34.69	1	-67.5122513692707	U	67.5122513692707
225009199	France, Martinique	99	1	7	5	30.32	12	9.95	9.95	12	30.32	5	-67.1833773087071	erratic	67.1833773087071
384000430	USA, Connecticut: Black	30	1	8	5	28.6	12	9.43	9.43	12	28.6	5	-67.027972027972	erratic	67.027972027972
525000499	France, Haut-Rhin	99	1	6	7	44.55	12	14.76	14.76	12	44.55	7	-66.8686868686869	falling	66.8686868686869
415600299	China, Qidong City	99	1	6	6	3.01	12	5.02	2.95	7	5.02	12	66.7774086378738	U	66.7774086378738
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	14.48	11	4.84	4.84	11	20.54	2	-66.5745856353591	inverted-U	66.5745856353591
582601199	UK, England, East	99	1	5	7	5.16	11	8.55	5.16	7	8.55	11	65.6976744186047	rising	65.6976744186047
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	25.88	12	8.88	8.88	12	25.88	4	-65.6877897990727	erratic	65.6877897990727
684009999	USA, Hawaii	99	1	7	1	7.98	12	13.22	7.98	1	13.22	12	65.6641604010025	erratic	65.6641604010025
525000199	France, Bas-Rhin	99	1	9	4	47.58	12	16.46	16.46	12	55.48	6	-65.4056326187474	inverted-U	65.4056326187474
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	33.55	11	11.66	11.66	11	33.55	3	-65.2459016393443	falling	65.2459016393443
441400099	Kuwait	99	1	6	5	8.16	12	2.94	2.32	10	8.16	5	-63.9705882352941	U	63.9705882352941
312400199	Canada, Alberta	99	1	12	1	26.1	12	9.43	8.38	10	26.1	1	-63.8697318007663	U	63.8697318007663
384001299	USA, Utah	99	1	10	3	26.42	12	9.56	7.86	10	26.42	3	-63.8152914458743	U	63.8152914458743
437600094	Israel: Arabs	94	1	11	2	11.91	12	4.31	3.45	7	11.91	2	-63.8119227539883	U	63.8119227539883
263000099	USA, Puerto Rico	99	1	11	1	31.17	12	11.28	10.65	11	34.29	3	-63.8113570741097	U	63.8113570741097
655400029	New Zealand: Pacific peoples	29	1	4	5	31.01	12	11.39	10.5	10	31.01	5	-63.2699129313125	U	63.2699129313125
415603099	China, Hong Kong	99	1	8	4	50.89	11	18.84	18.84	11	50.89	4	-62.978974258204	falling	62.978974258204
384010030	Usa, California, Alameda County: Black	30	1	5	2	11.21	6	18.25	11.21	2	20.5	4	62.8010704727921	inverted-U	62.8010704727921
217000199	Colombia, Cali	99	1	12	1	15.24	12	5.83	5.14	9	15.24	1	-61.745406824147	U	61.745406824147
525000399	France, Doubs	99	1	9	4	37.04	12	14.51	14.51	12	37.98	5	-60.8261339092873	inverted-U	60.8261339092873
