id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
655400028	New Zealand: Maori	28	1	9	2	3.79	12	10.19	3.09	3	11.39	7	168.865435356201	U	168.865435356201
439200299	Japan, Miyagi Prefecture	99	1	12	1	4.44	12	9.74	3.09	3	9.74	12	119.369369369369	U	119.369369369369
439200499	Japan, Osaka Prefecture	99	1	10	3	4.61	12	10.11	4.55	5	10.11	12	119.305856832972	U	119.305856832972
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	12.67	12	2.52	1.85	10	12.67	5	-80.1104972375691	U	80.1104972375691
547000099	Malta	99	1	7	3	31.25	12	7.37	6.91	7	31.25	3	-76.416	U	76.416
312401299	Canada, Saskatchewan	99	1	12	1	36.67	12	9.27	8.65	10	36.67	1	-74.7204799563676	U	74.7204799563676
312400899	Canada, Newfoundland and Labrador	99	1	12	1	38.33	12	11.82	10.19	10	48.96	2	-69.1625358726846	U	69.1625358726846
312400599	Canada, New Brunswick	99	1	10	1	34.69	12	11.27	9.52	11	34.69	1	-67.5122513692707	U	67.5122513692707
415600299	China, Qidong City	99	1	6	6	3.01	12	5.02	2.95	7	5.02	12	66.7774086378738	U	66.7774086378738
441400099	Kuwait	99	1	6	5	8.16	12	2.94	2.32	10	8.16	5	-63.9705882352941	U	63.9705882352941
312400199	Canada, Alberta	99	1	12	1	26.1	12	9.43	8.38	10	26.1	1	-63.8697318007663	U	63.8697318007663
384001299	USA, Utah	99	1	10	3	26.42	12	9.56	7.86	10	26.42	3	-63.8152914458743	U	63.8152914458743
437600094	Israel: Arabs	94	1	11	2	11.91	12	4.31	3.45	7	11.91	2	-63.8119227539883	U	63.8119227539883
263000099	USA, Puerto Rico	99	1	11	1	31.17	12	11.28	10.65	11	34.29	3	-63.8113570741097	U	63.8113570741097
655400029	New Zealand: Pacific peoples	29	1	4	5	31.01	12	11.39	10.5	10	31.01	5	-63.2699129313125	U	63.2699129313125
217000199	Colombia, Cali	99	1	12	1	15.24	12	5.83	5.14	9	15.24	1	-61.745406824147	U	61.745406824147
312401199	Canada, Quebec	99	1	9	2	29.13	12	11.47	9.77	10	29.13	2	-60.6247854445589	U	60.6247854445589
384000530	USA, Georgia, Atlanta: Black	30	1	9	4	22.73	12	9.13	8.51	11	22.73	4	-59.8328200615926	U	59.8328200615926
524600099	Finland	99	1	11	1	18.97	12	7.99	6.79	10	18.97	1	-57.8808645229309	U	57.8808645229309
435600399	India, Mumbai	99	1	11	2	48.72	12	20.63	18.38	10	48.72	2	-57.6559934318555	U	57.6559934318555
435601099	India, New Delhi	99	1	4	8	17.98	12	28.14	17.04	9	28.14	12	56.5072302558398	U	56.5072302558398
534800399	Hungary, County Vas	99	1	5	2	13.73	6	21.45	12.1	3	21.45	6	56.2272396212673	U	56.2272396212673
437600099	Israel	99	1	11	1	11.6	12	5.1	4.69	10	11.6	1	-56.0344827586207	U	56.0344827586207
476400199	Thailand, Chiang Mai	99	1	7	6	20.82	12	9.21	8.18	11	20.82	6	-55.7636887608069	U	55.7636887608069
527600299	Germany, Hamburg	99	1	7	3	7.77	12	11.8	6.26	5	17.58	11	51.8661518661519	U	51.8661518661519
439200199	Japan, Hiroshima Prefecture	99	1	8	5	6.84	12	10.34	5.14	6	10.34	12	51.1695906432749	U	51.1695906432749
312400399	Canada, Manitoba	99	1	12	1	22.41	12	11.61	11.14	10	24.02	2	-48.1927710843374	U	48.1927710843374
384000210	USA, California, San Francisco Bay Area: White	10	1	7	3	21.82	12	11.6	11.1	10	21.82	3	-46.8377635197067	U	46.8377635197067
171600270	Zimbabwe, Harare: African	70	1	6	7	5.09	12	7.43	2.96	9	7.43	12	45.9724950884086	U	45.9724950884086
435600699	India, Poona	99	1	7	4	30.32	12	16.43	13.62	11	30.32	4	-45.811345646438	U	45.811345646438
535200099	Iceland	99	1	10	1	13.07	12	7.21	5.07	8	13.07	1	-44.8355011476664	U	44.8355011476664
384000499	USA, Connecticut	99	1	10	1	21.75	12	12.01	10.52	9	21.75	1	-44.7816091954023	U	44.7816091954023
470200027	Singapore: Malay	27	1	9	3	14.88	12	8.26	7.8	6	14.88	3	-44.489247311828	U	44.489247311828
384001530	USA, New Jersey: Black	30	1	5	8	16.53	12	9.39	9.05	11	16.53	8	-43.1941923774955	U	43.1941923774955
312401099	Canada, Ontario	99	1	9	3	20.69	12	11.93	10.01	10	20.69	3	-42.3392943450943	U	42.3392943450943
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	17.25	12	9.96	9.74	10	19.64	5	-42.2608695652174	U	42.2608695652174
582600899	UK, England, Merseyside and Cheshire	99	1	9	1	14.06	9	8.19	5.93	5	14.19	2	-41.7496443812233	U	41.7496443812233
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	9.97	12	5.94	4.71	6	9.97	5	-40.4212637913741	U	40.4212637913741
439200399	Japan, Nagasaki Prefecture	99	1	8	4	7.35	11	10.32	4.4	5	10.32	11	40.4081632653061	U	40.4081632653061
437600090	Israel: Jews	90	1	11	2	8.35	12	5.05	4.75	10	11.11	3	-39.5209580838323	U	39.5209580838323
415600399	China, Shanghai City	99	1	9	4	11	12	6.81	6.01	11	11	4	-38.0909090909091	U	38.0909090909091
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	15.06	12	9.33	8.22	10	15.06	7	-38.0478087649402	U	38.0478087649402
603600499	Australia, South Australia	99	1	9	4	22.99	12	14.47	13.57	11	22.99	4	-37.0595911265768	U	37.0595911265768
603600699	Australia, Victoria	99	1	8	5	18.98	12	12.27	12.01	11	18.98	5	-35.3530031612223	U	35.3530031612223
582600399	UK, England, North West	99	1	8	4	8.7	11	11.64	6.3	5	11.64	11	33.7931034482759	U	33.7931034482759
684009920	USA, Hawaii: Chinese	20	1	11	2	17.94	12	11.94	9.53	11	17.94	2	-33.4448160535117	U	33.4448160535117
684009945	USA, Hawaii: Hawaiian	45	1	12	1	17.52	12	11.73	7.49	5	28.57	2	-33.0479452054794	U	33.0479452054794
582600499	UK, England, Oxford Region	99	1	9	2	11.37	10	7.65	4.93	7	11.37	2	-32.7176781002638	U	32.7176781002638
527603099	Germany, Saarland	99	1	10	3	12.41	12	16.45	11.98	5	19.65	8	32.5543916196616	U	32.5543916196616
572401399	Spain, Cuenca	99	1	4	8	21.17	11	14.3	13.23	10	21.17	8	-32.4515824279641	U	32.4515824279641
441400025	Kuwait: Kuwaitis	25	1	8	5	5.98	12	4.04	3.52	10	5.98	5	-32.4414715719064	U	32.4414715719064
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	22.83	12	15.47	13.08	8	22.83	4	-32.2382829610162	U	32.2382829610162
384000510	USA, Georgia, Atlanta: White	10	1	9	4	19.36	12	13.27	10.15	9	19.36	4	-31.4566115702479	U	31.4566115702479
520800099	Denmark	99	1	12	1	10.44	12	13.46	8.91	5	13.62	11	28.9272030651341	U	28.9272030651341
582600299	UK, England, West Midlands	99	1	11	1	12.98	11	9.27	4.86	5	12.98	1	-28.5824345146379	U	28.5824345146379
538001699	Italy, Naples South	99	1	4	9	7.71	12	5.52	4.92	10	7.71	9	-28.4046692607004	U	28.4046692607004
312400299	Canada, British Columbia	99	1	10	3	14.95	12	10.88	8.63	9	16.94	4	-27.2240802675585	U	27.2240802675585
384000350	USA, California, Los Angeles County: Hispanic White	50	1	8	5	8.12	12	5.96	5.36	10	8.28	8	-26.6009852216749	U	26.6009852216749
404800046	Bahrain: Bahrainis	46	1	4	9	6.57	12	4.92	4.27	11	6.57	9	-25.1141552511416	U	25.1141552511416
582600699	UK, England, South West	99	1	7	1	12.58	11	9.44	5.72	8	12.58	1	-24.9602543720191	U	24.9602543720191
312400799	Canada, Prince Edward Island	99	1	8	5	18.77	12	14.42	8.19	10	19.15	7	-23.1752797016516	U	23.1752797016516
312400499	Canada, Northwest Territories	99	1	7	5	10.85	11	13.35	7.81	9	21.22	10	23.0414746543779	U	23.0414746543779
582600599	UK, England, South Thames	99	1	5	4	7.34	8	5.68	4.63	7	7.34	4	-22.6158038147139	U	22.6158038147139
384001399	USA, Washington, Seattle	99	1	9	4	16.96	12	13.38	10.82	9	16.96	4	-21.1084905660377	U	21.1084905660377
603600199	Australian Capital Territory	99	1	6	5	11.51	11	9.31	8.91	10	14.03	6	-19.1138140747176	U	19.1138140747176
684009923	USA, Hawaii: Filipino	23	1	11	2	9.89	12	8.03	7.73	11	15.44	3	-18.8068756319515	U	18.8068756319515
384000999	USA, New Mexico	99	1	7	6	11.23	12	9.26	5.53	8	11.23	6	-17.5422974176314	U	17.5422974176314
557800099	Norway	99	1	12	1	10.41	12	9	7.39	10	11.11	3	-13.5446685878963	U	13.5446685878963
655400099	New Zealand	99	1	10	1	10.8	12	9.57	7.54	9	11.33	5	-11.3888888888889	U	11.3888888888889
582600799	UK, England, East Midlands	99	1	9	2	8.68	11	9.49	5.29	5	9.49	11	9.33179723502305	U	9.33179723502305
312400999	Canada, Yukon	99	1	6	6	13.56	12	14.69	5.39	10	15.45	7	8.33333333333333	U	8.33333333333333
215200199	Chile, Valdivia	99	1	4	9	2.33	12	2.17	1.49	11	3.13	10	-6.86695278969958	U	6.86695278969958
582602099	UK, Scotland	99	1	10	2	14.11	12	13.29	8.36	5	14.11	2	-5.81148121899362	U	5.81148121899362
582601599	UK, England, London	99	1	6	1	10.46	11	10.31	6.79	9	10.46	1	-1.43403441682601	U	1.43403441682601
384000942	USA, New Mexico: American Indian	42	1	7	3	4.7	12	4.67	0.98	4	5.3	8	-0.638297872340431	U	0.638297872340431
225009199	France, Martinique	99	1	7	5	30.32	12	9.95	9.95	12	30.32	5	-67.1833773087071	erratic	67.1833773087071
384000430	USA, Connecticut: Black	30	1	8	5	28.6	12	9.43	9.43	12	28.6	5	-67.027972027972	erratic	67.027972027972
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	25.88	12	8.88	8.88	12	25.88	4	-65.6877897990727	erratic	65.6877897990727
684009999	USA, Hawaii	99	1	7	1	7.98	12	13.22	7.98	1	13.22	12	65.6641604010025	erratic	65.6641604010025
538006699	Italy, Ragusa	99	1	6	5	14.9	10	6.43	6.43	8	14.9	5	-56.8456375838926	erratic	56.8456375838926
538001599	Italy, Sassari	99	1	5	8	15.39	12	9.73	9.73	12	15.39	8	-36.7771280051982	erratic	36.7771280051982
415600199	China, Beijing City	99	1	4	8	2.97	12	3.86	2.97	8	3.86	12	29.96632996633	erratic	29.96632996633
570300099	Slovakia	99	1	8	4	17.83	11	23.09	17.54	5	26.13	8	29.5008412787437	erratic	29.5008412787437
538000899	Italy, Turin	99	1	7	6	12.6	12	9.06	9.06	12	12.6	6	-28.0952380952381	erratic	28.0952380952381
552800199	The Netherlands, Eindhoven	99	1	6	5	6.3	10	8.02	6.3	5	8.72	9	27.3015873015873	erratic	27.3015873015873
384010499	Usa, New York State (Less New York City)	99	1	5	1	15.36	6	11.55	11.55	6	15.74	4	-24.8046875	erratic	24.8046875
