id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
180000299	Uganda, Kyadondo County	99	1	1	0.62	12.98	0.0477657935285054	low
312400899	Canada, Newfoundland and Labrador	99	1	2	48.96	11.78	4.15619694397284	high
435600399	India, Mumbai	99	1	2	48.72	11.78	4.1358234295416	high
312400899	Canada, Newfoundland and Labrador	99	1	3	44.19	13.04	3.3888036809816	high
435600399	India, Mumbai	99	1	3	43.18	13.04	3.31134969325153	high
415603099	China, Hong Kong	99	1	4	50.89	15.74	3.23316391359593	high
525000199	France, Bas-Rhin	99	1	4	47.58	15.74	3.02287166454892	high
384000221	USA, California, San Francisco Bay Area: Japanese	21	1	4	2.81	15.74	0.178526048284625	low
384000321	USA, California, Los Angeles County: Japanese	21	1	4	2.53	15.74	0.160736975857687	low
384000942	USA, New Mexico: American Indian	42	1	4	0.98	15.74	0.0622617534942821	low
525000199	France, Bas-Rhin	99	1	5	49.07	12.625	3.88673267326733	high
525000299	France, Calvados	99	1	5	47.34	12.625	3.74970297029703	high
415603099	China, Hong Kong	99	1	5	38.73	12.625	3.06772277227723	high
525000399	France, Doubs	99	1	5	37.98	12.625	3.00831683168317	high
384000942	USA, New Mexico: American Indian	42	1	5	1.08	12.625	0.0855445544554456	low
525000199	France, Bas-Rhin	99	1	6	55.48	12.385	4.47961243439645	high
525000299	France, Calvados	99	1	6	46.72	12.385	3.7723052079128	high
435600199	India, Ahmedabad	99	1	6	41.17	12.385	3.32418247880501	high
525000699	France, Somme	99	1	6	39.34	12.385	3.17642309245055	high
415603099	China, Hong Kong	99	1	6	37.55	12.385	3.03189341945902	high
221800199	Ecuador, Quito	99	1	6	1.57	12.385	0.126766249495357	low
146600199	Mali, Bamako	99	1	6	1.3	12.385	0.104965684295519	low
127000099	The Gambia	99	1	6	0.8	12.385	0.0645942672587808	low
525000199	France, Bas-Rhin	99	1	7	52.01	11.755	4.42450021267546	high
525000699	France, Somme	99	1	7	48.48	11.755	4.1242024670353	high
525000299	France, Calvados	99	1	7	46.58	11.755	3.96256911952361	high
525000499	France, Haut-Rhin	99	1	7	44.55	11.755	3.78987664823479	high
221800199	Ecuador, Quito	99	1	7	2.21	11.755	0.188005104210974	low
146600199	Mali, Bamako	99	1	7	1.52	11.755	0.129306678009358	low
525000699	France, Somme	99	1	8	43.05	11.74	3.66695059625213	high
525000199	France, Bas-Rhin	99	1	8	42.7	11.74	3.63713798977854	high
525000299	France, Calvados	99	1	8	41.08	11.74	3.49914821124361	high
525000499	France, Haut-Rhin	99	1	8	37.01	11.74	3.15247018739353	high
525001699	France, Manche	99	1	8	36.74	11.74	3.12947189097104	high
146600199	Mali, Bamako	99	1	8	1.98	11.74	0.168654173764906	low
127000099	The Gambia	99	1	8	1.06	11.74	0.0902896081771721	low
525000699	France, Somme	99	1	9	38.13	11.49	3.31853785900783	high
525001699	France, Manche	99	1	9	34.87	11.49	3.03481288076588	high
221800199	Ecuador, Quito	99	1	9	1.73	11.49	0.150565709312446	low
603600862	Australia, Northern Territory: Indigenous	62	1	10	38.2	11.03	3.46328195829556	high
415601499	China, Zhongshan City	99	1	10	35.59	11.03	3.22665457842248	high
221800199	Ecuador, Quito	99	1	10	1.85	11.03	0.167724388032638	low
441400026	Kuwait: Non-Kuwaitis	26	1	10	1.85	11.03	0.167724388032638	low
217000499	Colombia, Pasto	99	1	10	1.59	11.03	0.1441523118767	low
221800299	Ecuador, Cuenca	99	1	10	1.59	11.03	0.1441523118767	low
215200299	Chile, Bío Bío Province	99	1	10	1.26	11.03	0.114233907524932	low
435601599	India, Kamrup Urban District	99	1	11	42.51	11.085	3.83491204330176	high
603600862	Australia, Northern Territory: Indigenous	62	1	11	39.11	11.085	3.52819124943618	high
415601499	China, Zhongshan City	99	1	11	35.02	11.085	3.15922417681552	high
525001899	France, Lille-Métropole	99	1	11	34.39	11.085	3.10239061795219	high
415609999	China, Yanshi City	99	1	11	2.2	11.085	0.198466396030672	low
221800199	Ecuador, Quito	99	1	11	2.18	11.085	0.196662156066757	low
217000399	Colombia, Manizales	99	1	11	2.12	11.085	0.191249436175011	low
215200299	Chile, Bío Bío Province	99	1	11	2.01	11.085	0.181326116373478	low
215200199	Chile, Valdivia	99	1	11	1.49	11.085	0.134415877311682	low
221800599	Ecuador, Manabí	99	1	11	1.32	11.085	0.119079837618403	low
217000499	Colombia, Pasto	99	1	11	1.14	11.085	0.102841677943166	low
221800499	Ecuador, Loja	99	1	11	0.42	11.085	0.0378890392422192	low
435601599	India, Kamrup Urban District	99	1	12	59.47	9.85	6.03756345177665	high
435602499	India, Meghalaya	99	1	12	52.27	9.85	5.30659898477157	high
435604199	India, Ahmedabad, Urban	99	1	12	38.87	9.85	3.94619289340101	high
435601499	India, Bhopal	99	1	12	34.7	9.85	3.52284263959391	high
603600862	Australia, Northern Territory: Indigenous	62	1	12	33.24	9.85	3.3746192893401	high
415620099	China, Nanhai District, Foshan City	99	1	12	30.58	9.85	3.10456852791878	high
415609099	China, Wu'an City	99	1	12	1.93	9.85	0.195939086294416	low
415613099	China, Dawukou District, Shizuishan City	99	1	12	1.61	9.85	0.163451776649746	low
217000499	Colombia, Pasto	99	1	12	1.51	9.85	0.153299492385787	low
156600199	Nigeria,  Ibadan	99	2	1	0.56	4.6	0.121739130434783	low
435600399	India, Mumbai	99	2	2	18.68	4.4	4.24545454545455	high
171600170	Zimbabwe, Bulawayo: African	70	2	2	0.87	4.4	0.197727272727273	low
470200040	Singapore: Indian	40	2	3	37.52	4.25	8.82823529411765	high
435600399	India, Mumbai	99	2	3	15.33	4.25	3.60705882352941	high
415603099	China, Hong Kong	99	2	4	20.98	4.595	4.5658324265506	high
470200040	Singapore: Indian	40	2	4	17.84	4.595	3.88248095756257	high
435600399	India, Mumbai	99	2	4	17.1	4.595	3.72143634385201	high
470200040	Singapore: Indian	40	2	5	20.13	3.605	5.58391123439667	high
435600299	India, Bangalore	99	2	5	19.63	3.605	5.44521497919556	high
415603099	China, Hong Kong	99	2	5	16.12	3.605	4.47156726768377	high
435600499	India, Chennai	99	2	5	14.98	3.605	4.15533980582524	high
435600399	India, Mumbai	99	2	5	13.55	3.605	3.75866851595007	high
435600699	India, Poona	99	2	5	11.97	3.605	3.32038834951456	high
460800399	Philippines, Rizal	99	2	5	11.11	3.605	3.08183079056865	high
384000321	USA, California, Los Angeles County: Japanese	21	2	5	0.68	3.605	0.188626907073509	low
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	5	0.47	3.605	0.130374479889043	low
415603099	China, Hong Kong	99	2	6	14.4	3.195	4.50704225352113	high
435600499	India, Chennai	99	2	6	13.66	3.195	4.2754303599374	high
435600299	India, Bangalore	99	2	6	13.37	3.195	4.18466353677621	high
460800299	Philippines, Manila	99	2	6	12.46	3.195	3.89984350547731	high
435600199	India, Ahmedabad	99	2	6	11.16	3.195	3.49295774647887	high
435600399	India, Mumbai	99	2	6	11	3.195	3.44287949921753	high
460800399	Philippines, Rizal	99	2	6	10.73	3.195	3.35837245696401	high
476400299	Thailand, Khon Kaen	99	2	6	10.4	3.195	3.25508607198748	high
470200040	Singapore: Indian	40	2	6	9.91	3.195	3.10172143974961	high
127000099	The Gambia	99	2	6	0.55	3.195	0.172143974960876	low
435600499	India, Chennai	99	2	7	14.62	3.405	4.29368575624082	high
435600299	India, Bangalore	99	2	7	12.82	3.405	3.76505139500734	high
415603099	China, Hong Kong	99	2	7	12.54	3.405	3.68281938325991	high
435600999	India, Karunagappally	99	2	7	12.44	3.405	3.65345080763583	high
460800299	Philippines, Manila	99	2	7	11.85	3.405	3.48017621145374	high
312400999	Canada, Yukon	99	2	7	11.08	3.405	3.25403817914831	high
435600399	India, Mumbai	99	2	7	11.02	3.405	3.23641703377386	high
384000322	USA, California, Los Angeles County: Korean	22	2	7	0.55	3.405	0.161527165932452	low
