country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	4	1	26.97	0.98	27.5204081632653	10	42	9
840	5	1	28.6	1.08	26.4814814814815	30	42	10
840	5	2	10	0.47	21.2765957446809	10	21	10
702	3	2	37.52	2.35	15.9659574468085	40	27	3
840	7	2	7.28	0.55	13.2363636363636	23	22	10
840	7	1	24.85	3.13	7.93929712460064	30	42	10
840	6	2	9.48	1.24	7.64516129032258	10	22	9
840	3	1	33.55	4.7	7.13829787234042	20	42	9
840	12	2	8.21	1.16	7.07758620689655	43	42	12
840	11	2	6.99	1	6.99	43	42	12
840	6	1	27.6	4.6	6	30	21	9
840	10	1	17.88	3.03	5.9009900990099	10	29	12
840	9	1	22.69	4.03	5.6302729528536	30	21	11
840	10	2	7.53	1.41	5.34042553191489	43	30	12
702	5	2	20.13	3.88	5.18814432989691	40	27	3
840	8	1	23.03	4.57	5.03938730853392	30	21	10
554	5	1	31.01	6.51	4.76344086021505	29	28	3
376	7	1	16.26	3.45	4.71304347826087	91	94	4
840	9	2	6.8	1.57	4.3312101910828	10	22	11
840	8	2	6.76	1.61	4.19875776397516	10	42	10
840	12	1	19.02	4.54	4.18942731277533	10	42	12
376	7	2	9.16	2.26	4.05309734513274	91	94	4
840	2	2	11.09	2.88	3.85069444444444	10	30	8
554	3	1	11.2	3.09	3.62459546925566	36	28	2
702	4	2	17.84	5.06	3.52569169960474	40	27	3
36	12	2	15.77	4.75	3.32	62	63	2
840	11	1	15.87	4.87	3.25872689938398	10	22	12
702	6	1	25.07	7.8	3.21410256410256	20	27	3
702	5	1	25.32	7.88	3.21319796954315	20	27	3
840	1	1	17.52	5.46	3.20879120879121	45	21	3
840	2	1	31.26	9.81	3.18654434250765	83	21	8
376	3	2	5.99	1.89	3.16931216931217	91	94	5
414	6	1	10.81	3.68	2.9375	26	25	2
840	1	2	4.86	1.7	2.85882352941177	10	21	3
414	7	2	4.51	1.58	2.85443037974684	25	26	2
376	6	2	4.45	1.58	2.81645569620253	91	94	5
36	10	2	15.69	5.69	2.75746924428822	62	63	2
554	5	2	9.72	3.54	2.74576271186441	29	36	3
702	7	2	9.5	3.48	2.72988505747126	20	27	3
376	8	2	5.14	1.94	2.64948453608247	96	94	5
702	4	1	32.66	12.35	2.64453441295547	20	27	3
554	2	1	9.89	3.79	2.60949868073879	36	28	2
702	7	1	24.84	9.66	2.57142857142857	20	27	3
702	8	1	22.74	9	2.52666666666667	20	27	3
376	4	2	6.08	2.43	2.50205761316872	91	94	5
702	8	2	7.69	3.5	2.19714285714286	40	27	3
702	3	1	32.46	14.88	2.18145161290323	40	27	3
376	5	2	4.25	1.96	2.16836734693878	91	94	5
414	5	1	12.67	5.98	2.11872909698997	26	25	2
702	10	1	18.58	8.79	2.11376564277588	20	27	3
414	11	1	5.21	2.5	2.084	25	26	2
702	9	1	18.96	9.12	2.07894736842105	20	27	3
702	6	2	9.91	4.87	2.03490759753593	40	27	3
554	10	2	5.27	2.6	2.02692307692308	29	28	2
376	3	1	12.02	5.95	2.02016806722689	91	96	5
376	6	1	10.45	5.18	2.01737451737452	91	94	5
