id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	1.8	6	5.71	0.77	3	5.71	6	217.222222222222	U	217.222222222222
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	0.63	12	1.71	0.58	6	2.11	7	171.428571428571	U	171.428571428571
582600499	UK, England, Oxford Region	99	1	9	2	5.16	10	9.39	3.51	6	9.39	10	81.9767441860465	U	81.9767441860465
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	7.88	12	1.52	1.24	11	7.88	4	-80.7106598984772	U	80.7106598984772
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	19.31	12	3.73	2.97	11	19.31	3	-80.6835836354221	U	80.6835836354221
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	17.46	12	4.13	3.45	11	17.46	4	-76.3459335624284	U	76.3459335624284
525000399	France, Doubs	99	1	9	4	18.21	12	4.51	4.49	11	18.21	4	-75.2333882482153	U	75.2333882482153
470200040	Singapore: Indian	40	1	9	3	7.17	12	2.34	1.98	10	8.62	5	-67.3640167364017	U	67.3640167364017
384000699	USA, Iowa	99	1	10	3	4.07	12	6.78	3.11	5	6.78	12	66.5847665847666	U	66.5847665847666
441400099	Kuwait	99	1	6	5	3.23	12	1.08	0.99	10	3.23	5	-66.5634674922601	U	66.5634674922601
437600090	Israel: Jews	90	1	11	2	4.56	12	1.56	1.44	6	4.56	2	-65.7894736842105	U	65.7894736842105
312400599	Canada, New Brunswick	99	1	10	1	2.66	12	4.4	2.21	2	5.22	11	65.4135338345865	U	65.4135338345865
435600899	India, Trivandrum	99	1	6	7	10.94	12	4.02	3.09	8	10.94	7	-63.254113345521	U	63.254113345521
575600699	Switzerland, Zurich	99	1	6	5	3.72	11	6.07	3.48	6	6.07	11	63.1720430107527	U	63.1720430107527
