country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	6	2	4.67	0.12	38.9166666666667	30	21	9
840	6	1	22.38	0.58	38.5862068965517	30	23	9
840	5	1	23.98	0.63	38.0634920634921	30	23	10
840	12	2	4.64	0.13	35.6923076923077	43	20	12
840	11	2	2.93	0.17	17.2352941176471	30	23	12
702	4	1	27.36	1.73	15.8150289017341	20	27	3
840	10	1	11.8	0.77	15.3246753246753	30	29	12
840	8	1	17.58	1.19	14.7731092436975	30	23	10
840	4	1	25.84	1.79	14.4357541899441	45	42	9
840	3	1	19.31	1.42	13.5985915492958	30	42	9
376	4	2	2.34	0.19	12.3157894736842	90	94	5
376	7	2	2.29	0.19	12.0526315789474	91	94	4
702	5	1	13.54	1.23	11.0081300813008	20	27	3
702	3	1	27.74	2.78	9.97841726618705	20	27	3
554	2	2	3.39	0.34	9.97058823529412	36	28	2
840	7	1	20.07	2.11	9.51184834123223	30	23	10
702	6	1	10.86	1.16	9.36206896551724	20	27	3
376	8	2	1.36	0.15	9.06666666666667	96	94	5
840	9	1	14.78	1.68	8.79761904761905	30	23	11
840	11	1	8.27	0.98	8.43877551020408	30	23	12
702	7	1	8.63	1.08	7.99074074074074	20	27	3
840	12	1	10.02	1.28	7.828125	43	22	12
376	7	1	3.51	0.46	7.63043478260869	91	94	4
376	5	1	6.69	0.98	6.8265306122449	96	94	5
840	2	1	20.13	3.3	6.1	45	23	8
376	2	1	5.1	0.85	6	97	94	5
702	8	1	7.04	1.18	5.96610169491525	20	27	3
554	12	2	2.8	0.47	5.95744680851064	28	29	2
702	7	2	3.91	0.69	5.66666666666667	40	27	3
376	4	1	6.17	1.24	4.9758064516129	91	94	5
554	3	1	5.38	1.16	4.63793103448276	36	28	2
376	8	1	2.83	0.66	4.28787878787879	97	94	5
702	9	2	2.48	0.58	4.27586206896552	40	27	3
414	12	1	1.97	0.48	4.10416666666667	25	26	2
414	7	2	2.49	0.61	4.08196721311476	25	26	2
702	10	2	0.85	0.21	4.04761904761905	40	27	3
702	6	2	3.35	0.87	3.85057471264368	40	27	3
414	11	2	1.15	0.3	3.83333333333333	25	26	2
702	10	1	4.06	1.06	3.83018867924528	20	27	3
554	11	2	2.92	0.77	3.79220779220779	28	29	2
414	5	1	7.7	2.05	3.75609756097561	26	25	2
702	5	2	3.88	1.04	3.73076923076923	40	27	3
702	9	1	5.77	1.66	3.47590361445783	20	27	3
414	9	2	1.62	0.5	3.24	25	26	2
554	3	2	2.65	0.89	2.97752808988764	36	28	2
376	6	1	1.68	0.57	2.94736842105263	97	91	5
376	11	2	0.83	0.32	2.59375	90	94	2
554	10	2	2.43	0.95	2.55789473684211	28	29	2
376	9	2	0.92	0.37	2.48648648648649	90	94	2
36	11	1	14.22	5.76	2.46875	62	63	2
554	6	2	2.36	0.98	2.40816326530612	36	28	2
36	12	1	14.92	6.27	2.37958532695375	62	63	2
702	12	2	0.53	0.23	2.30434782608696	20	27	3
36	10	2	3.25	1.42	2.2887323943662	63	62	2
702	8	2	1.93	0.9	2.14444444444444	40	27	3
554	4	2	3.35	1.57	2.13375796178344	36	28	2
702	12	1	3.38	1.59	2.12578616352201	20	27	3
376	3	1	3.93	1.85	2.12432432432432	97	94	5
414	8	1	3.5	1.66	2.10843373493976	26	25	2
414	5	2	4.21	2.02	2.08415841584158	26	25	2
840	1	1	14.86	7.31	2.0328317373461	45	10	3
