id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
520800099	Denmark	99	1	12	1	40.57	12	7.07	6.95	11	40.57	1	-82.5733300468326	U	82.5733300468326
527600299	Germany, Hamburg	99	1	7	3	42.94	12	10.12	9.96	11	42.94	3	-76.432231020028	U	76.432231020028
435600899	India, Trivandrum	99	1	6	7	19.33	12	5.06	3.62	8	19.33	7	-73.823072943611	U	73.823072943611
312400599	Canada, New Brunswick	99	1	10	1	29.59	12	7.85	6.88	11	29.59	1	-73.4707671510646	U	73.4707671510646
525000399	France, Doubs	99	1	9	4	28.34	12	7.57	6.7	11	28.34	4	-73.2886379675371	U	73.2886379675371
384001299	USA, Utah	99	1	10	3	13.21	12	3.85	3.42	11	13.21	3	-70.8554125662377	U	70.8554125662377
575600299	Switzerland, Geneva	99	1	10	3	26.54	12	7.82	6.86	10	29.54	4	-70.5350414468727	U	70.5350414468727
312401099	Canada, Ontario	99	1	9	3	23.66	12	7.25	6.42	11	23.66	3	-69.3575655114117	U	69.3575655114117
435600699	India, Poona	99	1	7	4	10.88	12	3.41	3.02	11	10.88	4	-68.6580882352941	U	68.6580882352941
575600399	Switzerland, Neuchâtel	99	1	8	4	25.59	11	8.19	6.72	10	25.59	4	-67.9953106682298	U	67.9953106682298
525000199	France, Bas-Rhin	99	1	9	4	23.66	12	7.69	7.09	11	23.66	4	-67.497886728656	U	67.497886728656
217000199	Colombia, Cali	99	1	12	1	60.93	12	20.45	20.27	11	78.06	2	-66.4368947973084	U	66.4368947973084
435600399	India, Mumbai	99	1	11	2	13.48	12	4.58	4.36	11	13.48	2	-66.0237388724036	U	66.0237388724036
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	8.68	12	2.96	2.12	11	14.37	6	-65.8986175115208	U	65.8986175115208
603600299	Australia, NSW/ACT	99	1	9	4	20.19	12	7.2	7.16	11	20.19	4	-64.3387815750372	U	64.3387815750372
575600199	Switzerland, Basel	99	1	6	5	19.56	12	8.18	5.55	10	19.56	5	-58.1799591002045	U	58.1799591002045
437600094	Israel: Arabs	94	1	11	2	17.67	12	7.43	6.69	9	17.67	2	-57.9513299377476	U	57.9513299377476
439200499	Japan, Osaka Prefecture	99	1	10	3	127.57	12	56.23	45.25	10	127.57	3	-55.9222387708709	U	55.9222387708709
470200027	Singapore: Malay	27	1	9	3	12.69	12	5.87	4.58	10	14.52	4	-53.7431048069346	U	53.7431048069346
575600899	Switzerland, Valais	99	1	6	7	17.6	12	8.34	8.31	11	17.6	7	-52.6136363636364	U	52.6136363636364
384010030	Usa, California, Alameda County: Black	30	1	5	2	35.3	6	16.77	16.72	5	35.3	2	-52.4929178470255	U	52.4929178470255
225009199	France, Martinique	99	1	7	5	25.29	12	13.13	12.23	11	25.29	5	-48.0822459470146	U	48.0822459470146
525000699	France, Somme	99	1	7	6	14.55	12	7.6	7.54	11	14.55	6	-47.766323024055	U	47.766323024055
476400199	Thailand, Chiang Mai	99	1	7	6	11.62	12	6.1	5.9	9	11.62	6	-47.5043029259897	U	47.5043029259897
684009920	USA, Hawaii: Chinese	20	1	11	2	12.58	12	6.72	4.55	9	15.43	4	-46.5818759936407	U	46.5818759936407
476400299	Thailand, Khon Kaen	99	1	6	6	5.02	12	2.69	2.53	10	5.02	6	-46.4143426294821	U	46.4143426294821
603600399	Australia, Queensland	99	1	6	5	13.03	12	7.21	6.54	11	13.03	5	-44.6661550268611	U	44.6661550268611
542800099	Latvia	99	1	7	6	34.11	12	19.72	19.18	11	34.11	6	-42.1870419231897	U	42.1870419231897
312400799	Canada, Prince Edward Island	99	1	8	5	12.71	12	7.36	5.54	9	12.71	5	-42.0928402832416	U	42.0928402832416
575600499	Switzerland, East	99	1	7	6	12.6	12	7.3	6.37	10	12.6	6	-42.0634920634921	U	42.0634920634921
384000510	USA, Georgia, Atlanta: White	10	1	9	4	7.88	12	4.72	3.66	9	7.88	4	-40.1015228426396	U	40.1015228426396
603600599	Australia, Tasmania	99	1	8	5	12.6	12	7.55	7.02	11	13.15	6	-40.0793650793651	U	40.0793650793651
