id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
439200299	Japan, Miyagi Prefecture	99	1	1	127.59	37.92	3.36471518987342	high
180000299	Uganda, Kyadondo County	99	1	1	2.43	37.92	0.0640822784810127	low
150800399	Mozambique,  Lourenco Marques	99	1	1	1.56	37.92	0.0411392405063291	low
439200299	Japan, Miyagi Prefecture	99	1	2	126.19	34.07	3.70384502494864	high
439202299	Japan,  Okayama Prefecture	99	1	2	126.14	34.07	3.70237745817435	high
439200499	Japan, Osaka Prefecture	99	1	3	127.57	30.12	4.23539176626826	high
439202299	Japan,  Okayama Prefecture	99	1	3	117.78	30.12	3.91035856573705	high
439200299	Japan, Miyagi Prefecture	99	1	3	117.61	30.12	3.90471447543161	high
439200399	Japan, Nagasaki Prefecture	99	1	4	131.89	27.3	4.83113553113553	high
439200299	Japan, Miyagi Prefecture	99	1	4	117.55	27.3	4.30586080586081	high
439200499	Japan, Osaka Prefecture	99	1	4	105.05	27.3	3.84798534798535	high
439202199	Japan, Fukuoka Prefecture	99	1	4	102.37	27.3	3.74981684981685	high
168600199	Senegal, Dakar	99	1	4	5.15	27.3	0.188644688644689	low
439200399	Japan, Nagasaki Prefecture	99	1	5	82	16.035	5.11381353289679	high
439200199	Japan, Hiroshima Prefecture	99	1	5	79.93	16.035	4.98472092298098	high
439200299	Japan, Miyagi Prefecture	99	1	5	79.62	16.035	4.96538821328344	high
439200499	Japan, Osaka Prefecture	99	1	5	76.92	16.035	4.79700654817587	high
218800099	Costa Rica	99	1	5	58.83	16.035	3.6688493919551	high
415600399	China, Shanghai City	99	1	5	58.29	16.035	3.63517305893358	high
207600899	Brazil, Sao Paulo	99	1	5	53.56	16.035	3.34019332709698	high
217000199	Colombia, Cali	99	1	5	49.6	16.035	3.09323355160586	high
439200699	Japan, Yamagata Prefecture	99	1	6	93.28	15.82	5.89633375474084	high
439200199	Japan, Hiroshima Prefecture	99	1	6	85.81	15.82	5.42414664981037	high
439200299	Japan, Miyagi Prefecture	99	1	6	85.4	15.82	5.39823008849558	high
439200599	Japan, Saga Prefecture	99	1	6	81.65	15.82	5.16118836915297	high
439200399	Japan, Nagasaki Prefecture	99	1	6	79.04	15.82	4.99620733249052	high
439200499	Japan, Osaka Prefecture	99	1	6	73.63	15.82	4.65423514538559	high
564300199	Russian Federation, Saint Petersburg	99	1	6	52.8	15.82	3.33754740834387	high
415600399	China, Shanghai City	99	1	6	51.7	15.82	3.26801517067004	high
415600299	China, Qidong City	99	1	6	49.78	15.82	3.14664981036662	high
562000199	Portugal, Vila Nova de Gaia	99	1	6	47.77	15.82	3.01959544879899	high
435600199	India, Ahmedabad	99	1	6	2.13	15.82	0.134639696586599	low
439200699	Japan, Yamagata Prefecture	99	1	7	95.54	13.51	7.07179866765359	high
439200199	Japan, Hiroshima Prefecture	99	1	7	83.13	13.51	6.15321983715766	high
439200299	Japan, Miyagi Prefecture	99	1	7	82.66	13.51	6.11843079200592	high
439200399	Japan, Nagasaki Prefecture	99	1	7	70.97	13.51	5.25314581791266	high
439200599	Japan, Saga Prefecture	99	1	7	70.65	13.51	5.22945965951147	high
441000199	Korea, Kangwha County	99	1	7	65.9	13.51	4.87786824574389	high
439200499	Japan, Osaka Prefecture	99	1	7	64.99	13.51	4.81051073279053	high
218800099	Costa Rica	99	1	7	51.54	13.51	3.81495188749075	high
511200099	Belarus	99	1	7	46.79	13.51	3.46336047372317	high
415600399	China, Shanghai City	99	1	7	46.5	13.51	3.44189489267209	high
415600299	China, Qidong City	99	1	7	42.72	13.51	3.1621021465581	high
207600799	Brazil, Belem	99	1	7	41.95	13.51	3.10510732790526	high
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.78	13.51	0.0577350111028868	low
415601199	China, Changle	99	1	8	145	12.525	11.5768463073852	high
439200699	Japan, Yamagata Prefecture	99	1	8	91.63	12.525	7.31576846307385	high
439200199	Japan, Hiroshima Prefecture	99	1	8	85.53	12.525	6.82874251497006	high
415600699	China, Cixian County	99	1	8	78.15	12.525	6.23952095808383	high
441000299	Republic of Korea, Busan	99	1	8	72.47	12.525	5.78602794411178	high
441000499	Republic of Korea, Daegu	99	1	8	70.78	12.525	5.65109780439122	high
439200299	Japan, Miyagi Prefecture	99	1	8	69	12.525	5.50898203592814	high
441000399	Republic of Korea, Seoul	99	1	8	68.01	12.525	5.42994011976048	high
441000199	Korea, Kangwha County	99	1	8	66.5	12.525	5.30938123752495	high
439200399	Japan, Nagasaki Prefecture	99	1	8	65.38	12.525	5.21996007984032	high
439200599	Japan, Saga Prefecture	99	1	8	63.62	12.525	5.07944111776447	high
439200499	Japan, Osaka Prefecture	99	1	8	59.93	12.525	4.78483033932136	high
384000322	USA, California, Los Angeles County: Korean	22	1	8	43.44	12.525	3.46826347305389	high
511200099	Belarus	99	1	8	40.48	12.525	3.23193612774451	high
218800099	Costa Rica	99	1	8	40.06	12.525	3.19840319361277	high
415600799	China, Jiashan County	99	1	8	38.86	12.525	3.10259481037924	high
564300199	Russian Federation, Saint Petersburg	99	1	8	38.28	12.525	3.0562874251497	high
415600299	China, Qidong City	99	1	8	37.83	12.525	3.02035928143713	high
435600199	India, Ahmedabad	99	1	8	2.09	12.525	0.16686626746507	low
476400499	Thailand, Songkhla	99	1	8	1.87	12.525	0.149301397205589	low
127000099	The Gambia	99	1	8	1.41	12.525	0.112574850299401	low
439200199	Japan, Hiroshima Prefecture	99	1	9	80.33	10.32	7.78391472868217	high
439200699	Japan, Yamagata Prefecture	99	1	9	79.43	10.32	7.69670542635659	high
441000599	Republic of Korea, Daejeon	99	1	9	73.82	10.32	7.1531007751938	high
441000499	Republic of Korea, Daegu	99	1	9	69.15	10.32	6.70058139534884	high
441000899	Republic of Korea, Ulsan	99	1	9	67.42	10.32	6.53294573643411	high
441001099	Republic of Korea, Gwangju	99	1	9	66.58	10.32	6.4515503875969	high
441000099	Republic of Korea	99	1	9	65.93	10.32	6.38856589147287	high
439200299	Japan, Miyagi Prefecture	99	1	9	65.82	10.32	6.37790697674419	high
439200999	Japan, Fukui Prefecture	99	1	9	64.84	10.32	6.28294573643411	high
441000399	Republic of Korea, Seoul	99	1	9	63.69	10.32	6.17151162790698	high
441001199	Republic of Korea, Incheon	99	1	9	62.37	10.32	6.04360465116279	high
441000299	Republic of Korea, Busan	99	1	9	59.91	10.32	5.80523255813954	high
439200399	Japan, Nagasaki Prefecture	99	1	9	59.47	10.32	5.76259689922481	high
441000999	Republic of Korea, Jeju	99	1	9	54.34	10.32	5.26550387596899	high
439200499	Japan, Osaka Prefecture	99	1	9	51.3	10.32	4.97093023255814	high
439201099	Japan, Aichi Prefecture	99	1	9	50.2	10.32	4.86434108527132	high
215200199	Chile, Valdivia	99	1	9	43.13	10.32	4.17926356589147	high
511200099	Belarus	99	1	9	35.72	10.32	3.46124031007752	high
415600399	China, Shanghai City	99	1	9	34.06	10.32	3.30038759689923	high
562000499	Portugal, Porto	99	1	9	33.31	10.32	3.22771317829457	high
218800099	Costa Rica	99	1	9	33.21	10.32	3.21802325581395	high
384000322	USA, California, Los Angeles County: Korean	22	1	9	33.02	10.32	3.19961240310078	high
564300199	Russian Federation, Saint Petersburg	99	1	9	32.66	10.32	3.16472868217054	high
415600799	China, Jiashan County	99	1	9	32.08	10.32	3.10852713178295	high
415603999	China, Yangcheng County	99	1	10	168.91	9.02	18.7261640798226	high
415601899	China, Yanting County	99	1	10	138.37	9.02	15.340354767184	high
415600699	China, Cixian County	99	1	10	97.36	9.02	10.7937915742794	high
441000599	Republic of Korea, Daejeon	99	1	10	75.39	9.02	8.35809312638581	high
439200199	Japan, Hiroshima Prefecture	99	1	10	72.54	9.02	8.04212860310421	high
439200899	Japan, Niigata Prefecture	99	1	10	72.4	9.02	8.02660753880266	high
441000899	Republic of Korea, Ulsan	99	1	10	69.2	9.02	7.67184035476719	high
439200299	Japan, Miyagi Prefecture	99	1	10	66.68	9.02	7.39246119733925	high
441000099	Republic of Korea	99	1	10	64.61	9.02	7.1629711751663	high
441000499	Republic of Korea, Daegu	99	1	10	64.2	9.02	7.11751662971175	high
439200999	Japan, Fukui Prefecture	99	1	10	62.63	9.02	6.94345898004435	high
441000299	Republic of Korea, Busan	99	1	10	61.86	9.02	6.85809312638581	high
441001099	Republic of Korea, Gwangju	99	1	10	60.89	9.02	6.75055432372506	high
441001199	Republic of Korea, Incheon	99	1	10	58.64	9.02	6.50110864745011	high
441000999	Republic of Korea, Jeju	99	1	10	57.31	9.02	6.35365853658537	high
441000399	Republic of Korea, Seoul	99	1	10	57.26	9.02	6.34811529933481	high
439200399	Japan, Nagasaki Prefecture	99	1	10	55.18	9.02	6.11751662971175	high
439200599	Japan, Saga Prefecture	99	1	10	51.23	9.02	5.67960088691796	high
435601999	India, Mizoram	99	1	10	50.6	9.02	5.60975609756098	high
439201099	Japan, Aichi Prefecture	99	1	10	50.2	9.02	5.56541019955654	high
439200499	Japan, Osaka Prefecture	99	1	10	45.25	9.02	5.01662971175166	high
215200299	Chile, Bío Bío Province	99	1	10	41.17	9.02	4.56430155210643	high
384000322	USA, California, Los Angeles County: Korean	22	1	10	39.42	9.02	4.37028824833703	high
215200199	Chile, Valdivia	99	1	10	35.2	9.02	3.90243902439024	high
511200099	Belarus	99	1	10	33.31	9.02	3.69290465631929	high
217000499	Colombia, Pasto	99	1	10	32.5	9.02	3.60310421286031	high
415600799	China, Jiashan County	99	1	10	32.46	9.02	3.59866962305987	high
415600299	China, Qidong City	99	1	10	30.93	9.02	3.42904656319291	high
436400399	Iran (Islamic Republic of), Golestan Province	99	1	10	30.44	9.02	3.37472283813747	high
564300199	Russian Federation, Saint Petersburg	99	1	10	29.02	9.02	3.21729490022173	high
171000199	South Africa, Eastern Cape	99	1	10	0.96	9.02	0.106430155210643	low
415601699	China, Shexian County	99	1	11	151.9	8.69	17.4798619102417	high
415601899	China, Yanting County	99	1	11	144.55	8.69	16.6340621403913	high
415600699	China, Cixian County	99	1	11	117.97	8.69	13.5753739930955	high
415600899	China, Linzhou City	99	1	11	112.97	8.69	13	high
415609399	China, Xianju County	99	1	11	87.47	8.69	10.0655926352129	high
415603299	China, Jianhu County	99	1	11	85.75	8.69	9.86766398158803	high
439200699	Japan, Yamagata Prefecture	99	1	11	77.4	8.69	8.90678941311853	high
439200899	Japan, Niigata Prefecture	99	1	11	76.37	8.69	8.78826237054085	high
441000599	Republic of Korea, Daejeon	99	1	11	68.84	8.69	7.92174913693901	high
441000899	Republic of Korea, Ulsan	99	1	11	66.66	8.69	7.67088607594937	high
415608899	China, Tongling City	99	1	11	66.61	8.69	7.66513233601841	high
441000299	Republic of Korea, Busan	99	1	11	65.51	8.69	7.5385500575374	high
441000499	Republic of Korea, Daegu	99	1	11	64.21	8.69	7.38895281933257	high
441000099	Republic of Korea	99	1	11	63.18	8.69	7.27042577675489	high
439200999	Japan, Fukui Prefecture	99	1	11	62.98	8.69	7.24741081703107	high
439200299	Japan, Miyagi Prefecture	99	1	11	62.94	8.69	7.24280782508631	high
441001199	Republic of Korea, Incheon	99	1	11	61.5	8.69	7.0771001150748	high
439200199	Japan, Hiroshima Prefecture	99	1	11	61.1	8.69	7.03107019562716	high
441001099	Republic of Korea, Gwangju	99	1	11	60.2	8.69	6.92750287686997	high
441000399	Republic of Korea, Seoul	99	1	11	57.65	8.69	6.63406214039125	high
439200499	Japan, Osaka Prefecture	99	1	11	55.25	8.69	6.35788262370541	high
415607599	China, Ma'anshan City	99	1	11	54.77	8.69	6.30264672036824	high
439200399	Japan, Nagasaki Prefecture	99	1	11	54.13	8.69	6.22899884925201	high
439201199	Japan, Tochigi Prefecture	99	1	11	53.01	8.69	6.10011507479862	high
415608499	China, Sheyang County	99	1	11	49.85	8.69	5.73647871116226	high
441000999	Republic of Korea, Jeju	99	1	11	48.39	8.69	5.56846950517837	high
435601999	India, Mizoram	99	1	11	47.23	8.69	5.43498273878021	high
415609999	China, Yanshi City	99	1	11	47.05	8.69	5.41426927502877	high
439201099	Japan, Aichi Prefecture	99	1	11	46.81	8.69	5.38665132336018	high
415609299	China, Wuxi City	99	1	11	45.55	8.69	5.24165707710012	high
415605399	China, Hefei City	99	1	11	44.72	8.69	5.14614499424626	high
215200299	Chile, Bío Bío Province	99	1	11	41.44	8.69	4.7686996547756	high
