country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	2	2	35.7	1.8	19.8333333333333	21	23	8
840	10	2	17.55	1.43	12.2727272727273	22	42	12
840	11	1	24.42	2.01	12.1492537313433	22	42	12
840	10	1	39.42	3.34	11.8023952095808	22	42	12
840	9	2	18.31	1.65	11.0969696969697	22	60	11
840	5	1	44.77	4.06	11.0270935960591	22	23	10
840	11	2	13.46	1.24	10.8548387096774	22	42	12
840	6	1	41.51	4.03	10.3002481389578	22	23	9
840	8	1	43.44	4.41	9.85034013605442	22	60	10
840	3	2	32.81	3.49	9.40114613180516	45	83	9
840	6	2	22.9	2.48	9.23387096774193	22	10	9
840	8	2	18.17	2.01	9.03980099502488	22	10	10
840	9	1	33.02	3.66	9.02185792349727	22	10	11
840	4	2	33.72	4.09	8.24449877750611	21	10	9
840	5	2	18.58	2.47	7.52226720647773	22	23	10
840	7	2	16.16	2.23	7.24663677130045	22	10	10
840	4	1	54.74	7.88	6.94670050761421	45	10	9
840	7	1	35.47	5.21	6.80806142034549	22	10	10
840	2	1	66.08	11.04	5.98550724637681	21	83	8
840	12	1	19	3.42	5.55555555555556	43	60	12
702	6	1	34.75	6.37	5.4552590266876	20	27	3
376	4	2	16.91	3.17	5.33438485804417	97	94	5
840	12	2	8.84	1.66	5.32530120481928	22	60	12
840	3	1	52.48	9.99	5.25325325325325	21	83	9
702	3	1	58.96	12.69	4.6461780929866	20	27	3
376	2	2	26.33	5.94	4.43265993265993	97	94	5
702	4	1	61.34	14.52	4.22451790633609	20	27	3
36	12	2	4.47	1.09	4.10091743119266	62	63	2
702	5	1	37.35	9.36	3.99038461538462	20	27	3
554	6	2	20.4	5.17	3.9458413926499	28	36	2
702	8	1	25.56	6.64	3.84939759036145	20	27	3
840	1	1	65.41	17.56	3.7249430523918	45	10	3
376	7	2	12.01	3.23	3.71826625386997	91	94	4
702	10	1	15.91	4.58	3.47379912663755	20	27	3
414	6	1	14.37	4.15	3.46265060240964	26	25	2
702	7	1	29.33	8.75	3.352	20	27	3
702	9	1	21.49	6.48	3.31635802469136	20	27	3
554	5	2	19.73	6.02	3.27740863787375	28	36	3
554	2	2	45.48	13.96	3.25787965616046	28	36	2
702	8	2	12.39	3.99	3.10526315789474	20	27	3
376	2	1	44.24	14.63	3.02392344497608	97	91	5
702	10	2	7.81	2.6	3.00384615384615	20	27	3
702	6	2	15.63	5.39	2.89981447124304	20	27	3
414	6	2	5.88	2.03	2.89655172413793	26	25	2
554	7	2	13.75	4.84	2.84090909090909	28	36	2
702	9	2	10.79	3.81	2.83202099737533	20	27	3
376	4	1	28.84	10.39	2.77574590952839	97	94	5
554	4	2	28.38	10.52	2.69771863117871	28	36	2
376	6	2	8.11	3.02	2.68543046357616	97	94	5
554	3	2	24.01	9.01	2.66481687014428	28	36	2
376	7	1	17.9	6.81	2.62848751835536	91	94	4
376	3	2	21.14	8.17	2.5875152998776	97	94	5
414	8	2	5.56	2.17	2.56221198156682	26	25	2
376	3	1	31.63	12.42	2.54669887278583	97	94	5
554	7	1	27.95	11.05	2.52941176470588	28	36	2
702	3	2	29.88	11.88	2.51515151515151	40	27	3
36	11	2	4.15	1.67	2.48502994011976	62	63	2
702	7	2	13.62	5.54	2.45848375451264	20	27	3
554	5	1	33.6	13.67	2.457937088515	29	36	3
414	7	1	10.08	4.11	2.45255474452555	26	25	2
702	5	2	16.58	6.83	2.42752562225476	40	27	3
702	4	2	24.31	10.05	2.41890547263682	20	27	3
554	4	1	58.27	24.14	2.41383595691798	28	36	2
840	1	2	28.23	11.77	2.39847068819031	21	10	3
414	5	2	3.85	1.63	2.36196319018405	26	25	2
414	5	1	8.68	3.69	2.35230352303523	26	25	2
376	6	1	16.22	6.93	2.34054834054834	97	94	5
376	5	1	18.41	7.9	2.33037974683544	97	94	5
702	12	2	6.4	2.8	2.28571428571429	20	27	3
376	8	1	15.29	6.71	2.27868852459016	97	94	5
36	10	2	5.68	2.52	2.25396825396825	62	63	2
554	3	1	50.01	22.32	2.24059139784946	28	36	2
414	7	2	4.81	2.26	2.1283185840708	25	26	2
376	5	2	10.35	4.88	2.12090163934426	97	94	5
554	2	1	59.28	28.06	2.11261582323592	28	36	2
376	8	2	7.85	3.74	2.09893048128342	97	94	5
554	6	1	25.34	12.28	2.06351791530945	28	36	2
