CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
4	312401599	Canada, Northwest Territories and Yukon	13.95	2.4	5.8125	2.10295740070707	male_heavy
4	435600699	India, Poona	10.88	11.8	0.922033898305085	2.10295740070707	female_heavy
7	435600799	India, Barshi, Paranda, and Bhum	0.78	0.91	0.857142857142857	2.28629032258065	female_heavy
7	171600299	Zimbabwe, Harare	12.16	14.21	0.855735397607319	2.28629032258065	female_heavy
8	146600199	Mali, Bamako	17.65	20.84	0.846928982725528	2.26005025125628	female_heavy
8	127000099	The Gambia	1.41	1.78	0.792134831460674	2.26005025125628	female_heavy
9	435600899	India, Trivandrum	4.63	1.02	4.53921568627451	2.18366228070175	male_heavy
9	180000299	Uganda, Kyadondo County	6.16	6.87	0.89665211062591	2.18366228070175	female_heavy
10	435600899	India, Trivandrum	6.23	1.28	4.8671875	2.1159793814433	male_heavy
10	145400199	Malawi, Blantyre	1.99	2.54	0.783464566929134	2.1159793814433	female_heavy
10	312400499	Canada, Northwest Territories	6.38	8.63	0.73928157589803	2.1159793814433	female_heavy
11	140400299	Kenya, Nairobi	10.44	10.07	1.03674280039722	2.13015873015873	female_heavy
11	435602099	India, Wardha	1.1	1.59	0.691823899371069	2.13015873015873	female_heavy
12	415627599	China, Zhengding County	39.82	8.99	4.4293659621802	2.12481130493123	male_heavy
12	140400299	Kenya, Nairobi	9.49	9.57	0.991640543364681	2.12481130493123	female_heavy
12	171000199	South Africa, Eastern Cape	0.68	0.82	0.829268292682927	2.12481130493123	female_heavy
12	312400999	Canada, Yukon	1.52	2.4	0.633333333333333	2.12481130493123	female_heavy
