id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
470200020	Singapore: Chinese	20	1	10	1	0.06	12	1.1	0.06	1	1.1	12	1733.33333333333	erratic	1733.33333333333
171600270	Zimbabwe, Harare: African	70	1	6	7	0.1	12	1.01	0.08	9	1.01	12	910	U	910
384000430	USA, Connecticut: Black	30	1	8	5	0.38	12	3.63	0.38	5	3.63	12	855.263157894737	erratic	855.263157894737
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	0.32	12	2.98	0.32	4	4.09	11	831.25	inverted-U	831.25
439200299	Japan, Miyagi Prefecture	99	1	12	1	0.16	12	1.43	0.16	1	1.43	12	793.75	erratic	793.75
439200199	Japan, Hiroshima Prefecture	99	1	8	5	0.25	12	1.97	0.25	5	1.97	12	688	rising	688
538002299	Italy, Genova	99	1	6	6	0.17	12	1.3	0.17	6	1.3	12	664.705882352941	rising	664.705882352941
435601099	India, New Delhi	99	1	4	8	0.23	12	1.6	0.19	9	1.6	12	595.652173913044	U	595.652173913044
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	0.11	11	0.67	0.11	1	0.81	4	509.090909090909	inverted-U	509.090909090909
572400699	Spain, Basque Country	99	1	6	6	0.27	12	1.4	0.27	6	1.4	12	418.518518518518	erratic	418.518518518518
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	0.53	12	2.74	0.53	8	2.74	12	416.981132075472	rising	416.981132075472
415600799	China, Jiashan County	99	1	5	8	0.34	12	1.71	0.34	8	1.71	12	402.941176470588	rising	402.941176470588
557800099	Norway	99	1	12	1	0.48	12	2.32	0.48	1	2.32	12	383.333333333333	erratic	383.333333333333
572400499	Spain, Navarra	99	1	9	4	0.37	12	1.75	0.24	7	1.75	12	372.972972972973	U	372.972972972973
221800199	Ecuador, Quito	99	1	7	6	0.37	12	1.69	0.37	6	1.69	12	356.756756756757	erratic	356.756756756757
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	0.68	12	3.1	0.68	3	3.1	12	355.882352941176	erratic	355.882352941176
439200599	Japan, Saga Prefecture	99	1	4	6	0.22	10	1	0.22	6	1	10	354.545454545455	rising	354.545454545455
312400699	Canada, Nova Scotia	99	1	7	5	0.38	11	1.67	0.38	5	1.67	11	339.473684210526	erratic	339.473684210526
439200499	Japan, Osaka Prefecture	99	1	10	3	0.38	12	1.57	0.38	3	1.57	12	313.157894736842	erratic	313.157894736842
470200040	Singapore: Indian	40	1	9	3	0.4	12	1.48	0	5	1.48	12	270	U	270
384001399	USA, Washington, Seattle	99	1	9	4	0.5	12	1.79	0.5	4	1.86	11	258	inverted-U	258
415600399	China, Shanghai City	99	1	9	4	0.3	12	1.07	0.3	4	1.07	10	256.666666666667	erratic	256.666666666667
384000510	USA, Georgia, Atlanta: White	10	1	9	4	0.64	12	2.26	0.64	4	2.26	12	253.125	erratic	253.125
525000599	France, Isère	99	1	8	5	0.37	12	1.29	0.37	5	1.36	11	248.648648648649	inverted-U	248.648648648649
575600499	Switzerland, East	99	1	7	6	0.6	12	2.03	0.6	6	2.03	12	238.333333333333	erratic	238.333333333333
603600399	Australia, Queensland	99	1	6	5	0.68	12	2.3	0.68	5	2.3	12	238.235294117647	rising	238.235294117647
582600699	UK, England, South West	99	1	7	1	0.4	11	1.33	0.4	1	1.33	11	232.5	rising	232.5
476400299	Thailand, Khon Kaen	99	1	6	6	0.09	12	0.28	0.09	6	0.47	11	211.111111111111	inverted-U	211.111111111111
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	0.76	12	2.36	0.76	4	2.36	12	210.526315789474	erratic	210.526315789474
312400199	Canada, Alberta	99	1	12	1	0.54	12	1.67	0.54	1	1.67	12	209.259259259259	erratic	209.259259259259
439200699	Japan, Yamagata Prefecture	99	1	5	6	0.49	11	1.47	0.49	6	1.47	11	200	rising	200
312401299	Canada, Saskatchewan	99	1	12	1	0.41	12	1.22	0.41	1	1.66	11	197.560975609756	inverted-U	197.560975609756
527600299	Germany, Hamburg	99	1	7	3	0.49	12	1.45	0.36	5	1.45	12	195.918367346939	U	195.918367346939
572400299	Spain, Granada	99	1	7	6	0.38	12	1.11	0.38	6	1.11	12	192.105263157895	erratic	192.105263157895
544000099	Lithuania	99	1	5	8	0.24	12	0.7	0.24	8	0.7	12	191.666666666667	rising	191.666666666667
655400029	New Zealand: Pacific peoples	29	1	4	5	1.16	12	3.34	1.16	5	3.34	12	187.931034482759	rising	187.931034482759
538001499	Italy, Umbria	99	1	5	8	0.66	12	1.9	0.52	9	1.9	12	187.878787878788	U	187.878787878788
538000199	Italy, Tuscany	99	1	7	6	0.56	12	1.61	0.52	7	1.61	12	187.5	U	187.5
312400899	Canada, Newfoundland and Labrador	99	1	12	1	0.65	12	1.85	0.65	1	2.08	11	184.615384615385	inverted-U	184.615384615385
684009999	USA, Hawaii	99	1	7	1	0.54	12	1.53	0.54	1	1.53	12	183.333333333333	rising	183.333333333333
