country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
702	10	2	1.19	0.08	14.875	40	27	3
840	9	1	3.02	0.23	13.1304347826087	30	20	11
840	11	2	3.54	0.28	12.6428571428571	30	42	12
840	12	1	5.04	0.4	12.6	30	29	12
840	12	2	3.75	0.3	12.5	30	20	12
840	9	2	2.31	0.19	12.1578947368421	30	20	11
840	8	2	2.1	0.18	11.6666666666667	30	21	10
702	6	2	1.96	0.18	10.8888888888889	40	27	3
414	10	1	0.64	0.06	10.6666666666667	25	26	2
414	5	1	3.26	0.4	8.15	26	25	2
840	6	2	2.32	0.29	8	45	21	9
376	3	1	0.65	0.1	6.5	90	91	5
554	6	1	4.22	0.69	6.11594202898551	28	36	2
376	6	1	0.47	0.09	5.22222222222222	97	91	5
36	10	1	3.3	0.72	4.58333333333333	62	63	2
414	11	2	1.04	0.23	4.52173913043478	25	26	2
840	3	1	2.99	0.68	4.39705882352941	10	30	9
702	8	1	1.12	0.27	4.14814814814815	40	27	3
414	7	2	0.37	0.1	3.7	25	26	2
376	4	2	0.67	0.19	3.52631578947368	90	94	5
554	4	1	3.72	1.07	3.47663551401869	28	36	2
702	12	2	2.03	0.62	3.2741935483871	40	20	3
702	9	1	0.95	0.3	3.16666666666667	20	27	3
554	7	1	2.21	0.73	3.02739726027397	28	36	2
414	12	2	0.64	0.22	2.90909090909091	25	26	2
702	7	2	0.43	0.15	2.86666666666667	20	40	3
554	4	2	1.83	0.66	2.77272727272727	28	36	2
414	11	1	0.62	0.23	2.69565217391304	25	26	2
36	11	1	2.34	0.87	2.68965517241379	62	63	2
376	6	2	0.51	0.19	2.68421052631579	97	91	5
702	4	1	1	0.38	2.63157894736842	27	40	3
376	7	1	0.87	0.34	2.55882352941176	91	94	4
414	6	1	1.48	0.58	2.55172413793103	26	25	2
376	7	2	0.68	0.28	2.42857142857143	91	96	4
554	2	2	0.68	0.28	2.42857142857143	36	28	2
414	10	2	0.38	0.16	2.375	26	25	2
376	2	1	0.99	0.44	2.25	94	96	5
376	5	2	0.49	0.23	2.1304347826087	91	94	5
554	6	2	1.2	0.57	2.10526315789474	28	36	2
