CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	655400099	New Zealand	1.76	0.57	3.08771929824561	1.34375	male_heavy
1	312400899	Canada, Newfoundland and Labrador	0.65	1	0.65	1.34375	female_heavy
1	312401299	Canada, Saskatchewan	0.41	1.12	0.366071428571428	1.34375	female_heavy
1	439200299	Japan, Miyagi Prefecture	0.16	0.47	0.340425531914894	1.34375	female_heavy
2	561600199	Poland, Cracow	0.77	0.04	19.25	1.24242424242424	male_heavy
2	312400199	Canada, Alberta	0.68	0.2	3.4	1.24242424242424	male_heavy
2	564200399	Romania,  Banat Region	0.71	0.21	3.38095238095238	1.24242424242424	male_heavy
2	561600699	Poland, Warsaw Rural	0.18	0.3	0.6	1.24242424242424	female_heavy
2	534800399	Hungary, County Vas	0.62	1.11	0.558558558558559	1.24242424242424	female_heavy
2	439200299	Japan, Miyagi Prefecture	0.36	0.75	0.48	1.24242424242424	female_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	1.05	0.21	5	1.35561342592593	male_heavy
3	575600299	Switzerland, Geneva	1.08	0.3	3.6	1.35561342592593	male_heavy
3	561600699	Poland, Warsaw Rural	0.65	0.2	3.25	1.35561342592593	male_heavy
3	439200499	Japan, Osaka Prefecture	0.38	0.13	2.92307692307692	1.35561342592593	male_heavy
3	564200499	Romania,  County Timis	0.95	0.34	2.79411764705882	1.35561342592593	male_heavy
3	312400899	Canada, Newfoundland and Labrador	0.7	1.13	0.619469026548673	1.35561342592593	female_heavy
3	439202299	Japan,  Okayama Prefecture	0.42	0.78	0.538461538461538	1.35561342592593	female_heavy
3	561601699	Poland,  Cieszyn And Nowy Sacz	0.43	0.83	0.518072289156627	1.35561342592593	female_heavy
3	156600199	Nigeria,  Ibadan	0.14	0.4	0.35	1.35561342592593	female_heavy
4	561600199	Poland, Cracow	0.76	0.2	3.8	1.33980263157895	male_heavy
4	575600399	Switzerland, Neuchâtel	2.74	0.74	3.7027027027027	1.33980263157895	male_heavy
4	525000199	France, Bas-Rhin	1.3	0.42	3.0952380952381	1.33980263157895	male_heavy
4	538000499	Italy, Varese	0.83	0.29	2.86206896551724	1.33980263157895	male_heavy
4	312401499	Canada, Maritime Provinces	0.44	0.79	0.556962025316456	1.33980263157895	female_heavy
4	561601499	Poland, Katowice District	0.12	0.25	0.48	1.33980263157895	female_heavy
4	572400499	Spain, Navarra	0.37	1.01	0.366336633663366	1.33980263157895	female_heavy
4	217000199	Colombia, Cali	0.06	0.24	0.25	1.33980263157895	female_heavy
5	435600499	India, Chennai	0.33	0.08	4.125	1.31746031746032	male_heavy
5	312400899	Canada, Newfoundland and Labrador	0.84	0.22	3.81818181818182	1.31746031746032	male_heavy
5	538006699	Italy, Ragusa	0.83	0.26	3.19230769230769	1.31746031746032	male_heavy
5	534800399	Hungary, County Vas	0.69	0.23	3	1.31746031746032	male_heavy
5	582606599	United Kingdom, Scotland, East	0.31	0.52	0.596153846153846	1.31746031746032	female_heavy
5	217000199	Colombia, Cali	0.21	0.41	0.51219512195122	1.31746031746032	female_heavy
6	603600199	Australian Capital Territory	2.15	0.18	11.9444444444444	1.50196695515342	male_heavy
6	535200099	Iceland	1.15	0.11	10.4545454545455	1.50196695515342	male_heavy
6	561600199	Poland, Cracow	0.47	0.05	9.4	1.50196695515342	male_heavy
6	534800399	Hungary, County Vas	0.66	0.09	7.33333333333333	1.50196695515342	male_heavy
6	575600399	Switzerland, Neuchâtel	1.05	0.22	4.77272727272727	1.50196695515342	male_heavy
6	525000799	France, Tarn	0.9	0.19	4.73684210526316	1.50196695515342	male_heavy
6	439200399	Japan, Nagasaki Prefecture	0.85	0.22	3.86363636363636	1.50196695515342	male_heavy
6	572400299	Spain, Granada	0.38	0.1	3.8	1.50196695515342	male_heavy
6	575600199	Switzerland, Basel	2.34	0.65	3.6	1.50196695515342	male_heavy
6	582606599	United Kingdom, Scotland, East	0.72	0.22	3.27272727272727	1.50196695515342	male_heavy
6	572400199	Spain, Tarragona	0.84	0.27	3.11111111111111	1.50196695515342	male_heavy
6	561600399	Poland, Nowy Sacz	0.34	0.11	3.09090909090909	1.50196695515342	male_heavy
6	561600299	Poland, Lower Silesia	0.25	0.34	0.735294117647059	1.50196695515342	female_heavy
6	582606699	United Kingdom, Scotland, North	0.94	1.36	0.691176470588235	1.50196695515342	female_heavy
6	603600799	Australia, Western Australia	0.42	0.61	0.688524590163934	1.50196695515342	female_heavy
6	525000299	France, Calvados	0.33	0.48	0.6875	1.50196695515342	female_heavy
6	435600299	India, Bangalore	0.15	0.23	0.652173913043478	1.50196695515342	female_heavy
6	225009199	France, Martinique	0.48	0.74	0.648648648648649	1.50196695515342	female_heavy
6	538002299	Italy, Genova	0.17	0.3	0.566666666666667	1.50196695515342	female_heavy
6	564200199	Romania, County Cluj	0.06	0.11	0.545454545454545	1.50196695515342	female_heavy
6	221800199	Ecuador, Quito	0.37	0.74	0.5	1.50196695515342	female_heavy
6	439200599	Japan, Saga Prefecture	0.22	0.45	0.488888888888889	1.50196695515342	female_heavy
6	312400799	Canada, Prince Edward Island	0.36	0.93	0.387096774193548	1.50196695515342	female_heavy
7	572400999	Spain, Albacete	0.95	0.07	13.5714285714286	1.42142857142857	male_heavy
7	525000799	France, Tarn	0.46	0.04	11.5	1.42142857142857	male_heavy
7	575600799	Switzerland, Graubunden	1.22	0.22	5.54545454545455	1.42142857142857	male_heavy
7	572400399	Spain, Murcia	0.91	0.19	4.78947368421053	1.42142857142857	male_heavy
7	547000099	Malta	1.69	0.43	3.93023255813954	1.42142857142857	male_heavy
7	572400699	Spain, Basque Country	0.84	0.24	3.5	1.42142857142857	male_heavy
7	476400199	Thailand, Chiang Mai	0.4	0.12	3.33333333333333	1.42142857142857	male_heavy
