id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
101200199	Algeria, Sétif	99	1	5	6	0.73	11	5.48	0.13	7	5.48	11	650.684931506849	U	650.684931506849
437600094	Israel: Arabs	94	1	11	2	5.46	12	19.86	2.72	3	19.86	12	263.736263736264	U	263.736263736264
225009199	France, Martinique	99	1	7	5	6.1	12	19.44	6.07	6	19.44	12	218.688524590164	U	218.688524590164
435600499	India, Chennai	99	1	8	5	1.8	12	4.58	1.52	6	4.58	12	154.444444444444	U	154.444444444444
572400499	Spain, Navarra	99	1	9	4	15.28	12	38.1	11.19	5	38.1	12	149.34554973822	U	149.34554973822
572400299	Spain, Granada	99	1	7	6	10.94	12	26.15	10.31	7	26.15	12	139.031078610603	U	139.031078610603
312400499	Canada, Northwest Territories	99	1	7	5	14.3	11	33.48	8.15	7	41.33	10	134.125874125874	U	134.125874125874
476400199	Thailand, Chiang Mai	99	1	7	6	4.92	12	10.77	4.15	7	10.77	12	118.90243902439	U	118.90243902439
435600299	India, Bangalore	99	1	7	5	2.18	12	4.65	2.12	8	4.65	12	113.302752293578	U	113.302752293578
470200040	Singapore: Indian	40	1	9	3	5.7	12	11.8	4.49	8	13.35	4	107.017543859649	U	107.017543859649
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	4.8	6	9.9	3.93	3	9.9	6	106.25	U	106.25
415600399	China, Shanghai City	99	1	9	4	9.06	12	18.59	8.47	5	18.59	12	105.187637969095	U	105.187637969095
217000199	Colombia, Cali	99	1	12	1	6.08	12	12.29	4.38	3	12.29	12	102.138157894737	U	102.138157894737
221800199	Ecuador, Quito	99	1	7	6	4.93	12	9.79	3.89	7	9.79	12	98.580121703854	U	98.580121703854
435600899	India, Trivandrum	99	1	6	7	57.95	12	4.88	1.8	8	57.95	7	-91.5789473684211	U	91.5789473684211
207600299	Brazil, Goiânia	99	1	7	6	8.35	12	15.71	5.77	7	18.94	10	88.1437125748503	U	88.1437125748503
