id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
470200020	Singapore: Chinese	20	1	1	2.86	17.57	0.162777461582242	low
150800399	Mozambique,  Lourenco Marques	99	1	1	2.11	17.57	0.120091064314172	low
156600199	Nigeria,  Ibadan	99	1	1	1.11	17.57	0.0631758679567445	low
180000299	Uganda, Kyadondo County	99	1	1	0.5	17.57	0.0284575981787137	low
561600699	Poland, Warsaw Rural	99	1	2	3.08	17.63	0.174702212138401	low
156600199	Nigeria,  Ibadan	99	1	2	1.35	17.63	0.076574021554169	low
564200499	Romania,  County Timis	99	1	3	3.94	19.82	0.198789101917255	low
534800299	Hungary, County Szabolcs-Szatmar	99	1	3	3.93	19.82	0.198284561049445	low
207601599	Brazil, Recife	99	1	3	3.82	19.82	0.192734611503532	low
437600094	Israel: Arabs	94	1	3	2.72	19.82	0.1372351160444	low
384000942	USA, New Mexico: American Indian	42	1	3	1.7	19.82	0.0857719475277498	low
156600199	Nigeria,  Ibadan	99	1	3	1.59	19.82	0.0802219979818365	low
435600699	India, Poona	99	1	4	4.54	24.28	0.186985172981878	low
435600399	India, Mumbai	99	1	4	4.42	24.28	0.182042833607908	low
437600094	Israel: Arabs	94	1	4	4.21	24.28	0.17339373970346	low
168600199	Senegal, Dakar	99	1	4	0.59	24.28	0.0242998352553542	low
435600399	India, Mumbai	99	1	5	3.38	18.195	0.185765320142896	low
435600699	India, Poona	99	1	5	2.75	18.195	0.151140423193185	low
435600599	India, Nagpur	99	1	5	2.64	18.195	0.145094806265458	low
435600299	India, Bangalore	99	1	5	2.18	18.195	0.119813135476779	low
441400099	Kuwait	99	1	5	1.92	18.195	0.105523495465787	low
435600499	India, Chennai	99	1	5	1.8	18.195	0.0989282769991756	low
441400025	Kuwait: Kuwaitis	25	1	5	0.19	18.195	0.0104424292388019	low
260400199	Peru, Trujillo	99	1	6	3.58	19.625	0.182420382165605	low
435600399	India, Mumbai	99	1	6	3.2	19.625	0.163057324840764	low
146600199	Mali, Bamako	99	1	6	2.88	19.625	0.146751592356688	low
435600299	India, Bangalore	99	1	6	2.33	19.625	0.118726114649682	low
415600299	China, Qidong City	99	1	6	2	19.625	0.101910828025478	low
441400025	Kuwait: Kuwaitis	25	1	6	1.93	19.625	0.098343949044586	low
435600199	India, Ahmedabad	99	1	6	1.81	19.625	0.0922292993630573	low
435600499	India, Chennai	99	1	6	1.52	19.625	0.0774522292993631	low
101200199	Algeria, Sétif	99	1	6	0.73	19.625	0.0371974522292994	low
127000099	The Gambia	99	1	6	0.42	19.625	0.0214012738853503	low
221800199	Ecuador, Quito	99	1	7	3.89	20.655	0.188332122972646	low
435600399	India, Mumbai	99	1	7	3.71	20.655	0.179617526022755	low
441400025	Kuwait: Kuwaitis	25	1	7	3.46	20.655	0.167513919147906	low
180000299	Uganda, Kyadondo County	99	1	7	3.15	20.655	0.152505446623094	low
146600199	Mali, Bamako	99	1	7	2.81	20.655	0.136044541273299	low
435600299	India, Bangalore	99	1	7	2.43	20.655	0.117647058823529	low
415600299	China, Qidong City	99	1	7	2.1	20.655	0.101670297748729	low
435600499	India, Chennai	99	1	7	1.83	20.655	0.0885984023238925	low
435600999	India, Karunagappally	99	1	7	1.45	20.655	0.0702009198741225	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.69	20.655	0.0334059549745824	low
101200199	Algeria, Sétif	99	1	7	0.13	20.655	0.00629387557492133	low
441400026	Kuwait: Non-Kuwaitis	26	1	8	4.09	21.755	0.18800275798667	low
171600270	Zimbabwe, Harare: African	70	1	8	3.92	21.755	0.180188462422432	low
435600399	India, Mumbai	99	1	8	3.45	21.755	0.158584233509538	low
180000299	Uganda, Kyadondo County	99	1	8	3.42	21.755	0.157205240174672	low
435600699	India, Poona	99	1	8	3.3	21.755	0.15168926683521	low
101200299	Algeria, Algiers	99	1	8	3.25	21.755	0.149390944610434	low
476400499	Thailand, Songkhla	99	1	8	3.13	21.755	0.143874971270972	low
451200099	Oman: Omani	99	1	8	3.12	21.755	0.143415306826017	low
435600599	India, Nagpur	99	1	8	2.91	21.755	0.133762353481958	low
435601099	India, New Delhi	99	1	8	2.61	21.755	0.119972420133303	low
415600299	China, Qidong City	99	1	8	2.35	21.755	0.108021144564468	low
458600199	Pakistan, South Karachi	99	1	8	2.35	21.755	0.108021144564468	low
146600199	Mali, Bamako	99	1	8	2.14	21.755	0.0983681912204091	low
435600299	India, Bangalore	99	1	8	2.12	21.755	0.0974488623304987	low
435600199	India, Ahmedabad	99	1	8	1.95	21.755	0.0896345667662606	low
435600499	India, Chennai	99	1	8	1.86	21.755	0.085497586761664	low
435600899	India, Trivandrum	99	1	8	1.8	21.755	0.0827396000919329	low
435600999	India, Karunagappally	99	1	8	0.78	21.755	0.0358538267065043	low
127000099	The Gambia	99	1	8	0.31	21.755	0.0142495977936107	low
181800299	Egypt, Gharbiah	99	1	9	4.23	23.63	0.179009733389759	low
171600270	Zimbabwe, Harare: African	70	1	9	3.81	23.63	0.161235717308506	low
458600199	Pakistan, South Karachi	99	1	9	3.59	23.63	0.151925518408802	low
435600399	India, Mumbai	99	1	9	3.02	23.63	0.127803639441388	low
101200199	Algeria, Sétif	99	1	9	3	23.63	0.126957257723233	low
180000299	Uganda, Kyadondo County	99	1	9	2.86	23.63	0.121032585696149	low
435600599	India, Nagpur	99	1	9	2.73	23.63	0.115531104528142	low
435601099	India, New Delhi	99	1	9	2.58	23.63	0.109183241641981	low
451200099	Oman: Omani	99	1	9	2.5	23.63	0.105797714769361	low
435600699	India, Poona	99	1	9	2.35	23.63	0.0994498518831993	low
435600899	India, Trivandrum	99	1	9	2.23	23.63	0.09437156157427	low
435600999	India, Karunagappally	99	1	9	1.98	23.63	0.0837917900973339	low
435600499	India, Chennai	99	1	9	1.89	23.63	0.0799830723656369	low
415600699	China, Cixian County	99	1	10	4.1	22.56	0.181737588652482	low
180000299	Uganda, Kyadondo County	99	1	10	4.09	22.56	0.181294326241135	low
435600299	India, Bangalore	99	1	10	4.08	22.56	0.180851063829787	low
217000499	Colombia, Pasto	99	1	10	4.07	22.56	0.18040780141844	low
435600899	India, Trivandrum	99	1	10	3.84	22.56	0.170212765957447	low
181800299	Egypt, Gharbiah	99	1	10	3.58	22.56	0.158687943262411	low
221800299	Ecuador, Cuenca	99	1	10	3.58	22.56	0.158687943262411	low
435600399	India, Mumbai	99	1	10	3.39	22.56	0.150265957446809	low
435600699	India, Poona	99	1	10	3.05	22.56	0.135195035460993	low
435601999	India, Mizoram	99	1	10	2.81	22.56	0.124556737588653	low
435600499	India, Chennai	99	1	10	2.71	22.56	0.120124113475177	low
435601099	India, New Delhi	99	1	10	2.71	22.56	0.120124113475177	low
435600999	India, Karunagappally	99	1	10	2.43	22.56	0.107712765957447	low
435601499	India, Bhopal	99	1	10	2.34	22.56	0.103723404255319	low
415601899	China, Yanting County	99	1	10	1.7	22.56	0.075354609929078	low
435601899	India, Sikkim State	99	1	10	1.09	22.56	0.0483156028368794	low
435600799	India, Barshi, Paranda, and Bhum	99	1	10	1.08	22.56	0.0478723404255319	low
145400199	Malawi, Blantyre	99	1	10	1.05	22.56	0.0465425531914894	low
171000199	South Africa, Eastern Cape	99	1	10	0.94	22.56	0.0416666666666667	low
435601199	India, Dindigul, Ambilikkai	99	1	10	0.58	22.56	0.025709219858156	low
180000299	Uganda, Kyadondo County	99	1	11	4.04	20.215	0.199851595349988	low
435600499	India, Chennai	99	1	11	3.97	20.215	0.196388820183032	low
435600299	India, Bangalore	99	1	11	3.89	20.215	0.192431362849369	low
415605199	China, Guanyun County	99	1	11	3.78	20.215	0.186989859015583	low
435600399	India, Mumbai	99	1	11	3.64	20.215	0.180064308681672	low
435601599	India, Kamrup Urban District	99	1	11	3.55	20.215	0.175612169181301	low
435602199	India, Kollam	99	1	11	3.24	20.215	0.160277022013356	low
415603299	China, Jianhu County	99	1	11	3.04	20.215	0.150383378679199	low
435601999	India, Mizoram	99	1	11	3.01	20.215	0.148899332179075	low
435600699	India, Poona	99	1	11	2.84	20.215	0.140489735345041	low
415605799	China, Huaiyin District, Huai'an City	99	1	11	2.74	20.215	0.135542913677962	low
435601499	India, Bhopal	99	1	11	2.2	20.215	0.108830076675736	low
435601899	India, Sikkim State	99	1	11	1.9	20.215	0.0939896116744991	low
415601899	China, Yanting County	99	1	11	1.86	20.215	0.0920108830076676	low
435602599	India, Cachar	99	1	11	1.42	20.215	0.0702448676725204	low
171000199	South Africa, Eastern Cape	99	1	11	1.37	20.215	0.067771456838981	low
435600199	India, Ahmedabad	99	1	11	1.32	20.215	0.0652980460054415	low
435602099	India, Wardha	99	1	11	1.28	20.215	0.0633193173386099	low
435602299	India, Tripura	99	1	11	1.18	20.215	0.058372495671531	low
435600799	India, Barshi, Paranda, and Bhum	99	1	11	1.08	20.215	0.0534256740044522	low
435601199	India, Dindigul, Ambilikkai	99	1	11	1.05	20.215	0.0519416275043285	low
415617899	China, Langzhong City	99	1	12	3.38	16.925	0.199704579025111	low
435601699	India, Dibrugarh	99	1	12	3.33	16.925	0.196750369276219	low
415613799	China, Fangcheng County	99	1	12	3.23	16.925	0.190841949778434	low
140400199	Kenya, Eldoret	99	1	12	3.14	16.925	0.185524372230428	low
435603499	India, Chandigarh	99	1	12	3.14	16.925	0.185524372230428	low
415606799	China, Lianshui County	99	1	12	3.12	16.925	0.184342688330872	low
435601499	India, Bhopal	99	1	12	2.66	16.925	0.157163958641064	low
435604199	India, Ahmedabad, Urban	99	1	12	2.46	16.925	0.145347119645495	low
415601899	China, Yanting County	99	1	12	1.93	16.925	0.114032496307238	low
435601799	India, Manipur	99	1	12	1.93	16.925	0.114032496307238	low
435604099	India, Tamil Nadu	99	1	12	1.9	16.925	0.112259970457903	low
435603699	India, SAS Nagar	99	1	12	1.89	16.925	0.111669128508124	low
415616599	China, Jiange County	99	1	12	1.78	16.925	0.105169867060561	low
435601399	India, Aurangabad	99	1	12	1.66	16.925	0.0980797636632201	low
435601199	India, Dindigul, Ambilikkai	99	1	12	1.54	16.925	0.0909896602658789	low
435602299	India, Tripura	99	1	12	1.54	16.925	0.0909896602658789	low
435602099	India, Wardha	99	1	12	1.49	16.925	0.0880354505169867	low
435602499	India, Meghalaya	99	1	12	1.45	16.925	0.085672082717873	low
171000199	South Africa, Eastern Cape	99	1	12	1.4	16.925	0.0827178729689808	low
435603099	India, West Arunachal	99	1	12	1.2	16.925	0.0709010339734121	low
180000399	Uganda, Gulu	99	1	12	1.16	16.925	0.0685376661742984	low
435603799	India, Sangrur District	99	1	12	1.01	16.925	0.0596750369276219	low
435600799	India, Barshi, Paranda, and Bhum	99	1	12	0.97	16.925	0.0573116691285081	low
217000199	Colombia, Cali	99	2	1	3.16	17.1	0.184795321637427	low
