country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
414	5	1	5.1	0.19	26.8421052631579	26	25	2
840	3	1	41.06	1.7	24.1529411764706	10	42	9
376	3	2	18.69	1.84	10.1576086956522	97	94	5
376	4	2	20.35	2.3	8.84782608695652	97	94	5
840	5	2	29.02	3.64	7.97252747252747	30	22	10
376	7	1	47.88	6.2	7.72258064516129	91	94	4
840	5	1	34.14	4.54	7.51982378854626	21	22	10
840	10	2	48.22	6.72	7.17559523809524	43	42	12
840	10	1	45.27	6.49	6.97534668721109	43	29	12
376	3	1	18.4	2.72	6.76470588235294	97	94	5
414	5	2	5.14	0.76	6.76315789473684	26	25	2
840	6	1	37.15	5.59	6.64579606440072	21	22	9
376	2	2	19.99	3.02	6.61920529801324	97	94	5
376	7	2	40.35	6.14	6.57166123778502	91	94	4
840	11	2	38.68	5.94	6.51178451178451	43	42	12
840	3	2	34.08	5.76	5.91666666666667	10	42	9
702	8	1	24.91	4.49	5.54788418708241	20	40	3
840	4	1	46.59	8.4	5.54642857142857	20	42	9
840	12	1	37.98	7.22	5.26038781163435	43	29	12
376	4	1	21.52	4.21	5.11163895486936	97	94	5
840	11	1	38.7	7.67	5.04563233376793	43	42	12
376	6	1	22.51	4.56	4.93640350877193	97	94	5
554	5	2	28.41	6.01	4.72712146422629	36	29	3
840	12	2	38.94	8.3	4.69156626506024	43	29	12
840	6	2	30.31	6.64	4.56475903614458	30	22	9
702	7	2	20.95	4.67	4.48608137044968	20	40	3
376	6	2	20.49	4.63	4.42548596112311	91	94	5
36	12	1	28.23	6.43	4.39035769828927	63	62	2
702	4	2	17.07	3.94	4.33248730964467	20	27	3
376	5	1	18.82	4.7	4.00425531914894	97	94	5
376	5	2	17.73	4.46	3.97533632286996	97	94	5
840	7	2	27.94	7.13	3.91865357643759	30	42	10
840	4	2	36.11	9.22	3.91648590021692	30	42	9
702	9	1	26.49	7.37	3.59430122116689	20	40	3
376	8	1	34.5	9.6	3.59375	97	94	5
840	7	1	34.96	9.74	3.58932238193019	30	42	10
702	3	1	16.52	4.76	3.47058823529412	20	27	3
376	8	2	27.8	8.24	3.37378640776699	97	94	5
702	10	1	25.62	7.77	3.2972972972973	20	40	3
702	6	2	18.07	5.53	3.26763110307414	20	27	3
702	3	2	17.95	5.5	3.26363636363636	40	27	3
702	4	1	21.24	6.53	3.25267993874426	20	27	3
554	3	1	31.25	9.65	3.23834196891192	36	28	2
376	2	1	17.63	5.46	3.22893772893773	97	94	5
840	9	2	30.98	9.66	3.20703933747412	30	42	11
702	7	1	24.22	7.61	3.1826544021025	20	40	3
702	5	1	16.39	5.23	3.13384321223709	20	27	3
414	6	1	6.04	1.93	3.12953367875648	26	25	2
840	9	1	37.22	12.07	3.08367854183927	30	42	11
702	10	2	20.66	6.81	3.03377386196769	20	40	3
554	4	1	35.06	11.87	2.95366470092671	36	28	2
702	6	1	20.21	6.85	2.95036496350365	20	27	3
840	2	1	47.66	17.13	2.78225335668418	20	23	8
376	9	1	29.22	10.59	2.75920679886686	90	94	2
554	6	1	30.91	11.44	2.70192307692308	36	28	2
414	7	1	9.33	3.46	2.69653179190751	26	25	2
554	2	1	34.85	13.05	2.67049808429119	36	28	2
840	8	1	37.64	14.26	2.63955119214586	30	42	10
702	5	2	20.05	7.73	2.59379042690815	40	27	3
36	12	2	23.62	9.24	2.55627705627706	63	62	2
702	9	2	20.77	8.17	2.5422276621787	20	40	3
840	8	2	27.74	10.98	2.5264116575592	30	22	10
554	5	1	26.51	10.51	2.52235965746908	36	28	3
840	2	2	37.85	15.63	2.42162507997441	10	85	8
36	10	2	19.9	8.48	2.34669811320755	63	62	2
376	9	2	24.63	10.83	2.27423822714681	90	94	2
554	6	2	30.46	13.68	2.2266081871345	36	28	2
414	7	2	4.79	2.23	2.14798206278027	25	26	2
554	4	2	36.42	17.06	2.1348182883939	36	28	2
702	8	2	19.25	9.03	2.13178294573643	20	27	3
414	10	1	11.23	5.31	2.11487758945386	25	26	2
702	12	2	19.11	9.08	2.10462555066079	20	40	3
702	12	1	24.28	11.8	2.05762711864407	20	40	3
