id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
476400299	Thailand, Khon Kaen	99	1	6	6	2.75	12	6.72	2.65	8	6.72	12	144.363636363636	U	144.363636363636
470200027	Singapore: Malay	27	1	9	3	6.02	12	14.7	4.92	5	14.7	12	144.186046511628	U	144.186046511628
384000942	USA, New Mexico: American Indian	42	1	7	3	5.3	12	12.42	3.36	5	12.42	12	134.339622641509	U	134.339622641509
441400025	Kuwait: Kuwaitis	25	1	8	5	2.98	12	6.61	2.41	6	7.49	11	121.812080536913	U	121.812080536913
207600299	Brazil, Goiânia	99	1	7	6	5.08	12	10.97	4.64	7	12.51	10	115.944881889764	U	115.944881889764
171600270	Zimbabwe, Harare: African	70	1	6	7	3.7	12	7.35	3.4	8	7.35	12	98.6486486486486	U	98.6486486486486
476400199	Thailand, Chiang Mai	99	1	7	6	4.94	12	8.97	3.07	7	8.97	12	81.5789473684211	U	81.5789473684211
435600899	India, Trivandrum	99	1	6	7	32.63	12	6.33	2.25	8	32.63	7	-80.6006742261723	U	80.6006742261723
435600499	India, Chennai	99	1	8	5	3.04	12	5.04	2.42	6	5.04	12	65.7894736842105	U	65.7894736842105
207600899	Brazil, Sao Paulo	99	1	5	3	9.41	10	15.21	9	5	15.21	10	61.6365568544102	U	61.6365568544102
570300099	Slovakia	99	1	8	4	17.49	11	27.57	15.17	5	27.57	11	57.6329331046312	U	57.6329331046312
384001399	USA, Washington, Seattle	99	1	9	4	21.21	12	11.14	10.11	11	21.21	4	-47.4776049033475	U	47.4776049033475
572400499	Spain, Navarra	99	1	9	4	13.35	12	19.17	11.18	5	19.2	11	43.5955056179775	U	43.5955056179775
684009920	USA, Hawaii: Chinese	20	1	11	2	20.09	12	11.4	9.3	11	26.11	3	-43.2553509208562	U	43.2553509208562
575600299	Switzerland, Geneva	99	1	10	3	19.88	12	11.49	10.94	6	23.21	4	-42.2032193158954	U	42.2032193158954
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	22.06	12	12.92	12.43	8	22.06	4	-41.4324569356301	U	41.4324569356301
435600699	India, Poona	99	1	7	4	6.23	12	3.81	2.88	11	6.23	4	-38.8443017656501	U	38.8443017656501
575600599	Switzerland, Vaud	99	1	9	4	21.62	12	13.31	12.34	7	21.62	4	-38.4366327474561	U	38.4366327474561
435600299	India, Bangalore	99	1	7	5	3.44	12	4.68	2.77	8	4.68	12	36.046511627907	U	36.046511627907
435600399	India, Mumbai	99	1	11	2	5.66	12	3.62	2.91	9	6.5	3	-36.0424028268551	U	36.0424028268551
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	29.58	10	19.12	15.2	5	29.58	4	-35.3617308992563	U	35.3617308992563
218800099	Costa Rica	99	1	8	5	4.99	12	6.73	4.05	6	6.73	12	34.8697394789579	U	34.8697394789579
221800199	Ecuador, Quito	99	1	7	6	3.81	12	5.03	2.85	9	5.39	11	32.0209973753281	U	32.0209973753281
384000530	USA, Georgia, Atlanta: Black	30	1	9	4	18.52	12	13.46	8.21	5	18.52	4	-27.3218142548596	U	27.3218142548596
572400699	Spain, Basque Country	99	1	6	6	14.65	12	18.52	13.5	7	20.51	11	26.4163822525597	U	26.4163822525597
