country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	3	2	15.19	1.43	10.6223776223776	97	94	5
376	4	2	18.08	1.87	9.66844919786096	97	94	5
376	7	1	21.48	3.08	6.97402597402597	91	94	4
376	5	1	20.6	3.05	6.75409836065574	97	94	5
376	7	2	21.73	3.23	6.72755417956656	91	94	4
376	5	2	16.04	2.43	6.60082304526749	97	94	5
376	2	2	11.84	1.8	6.57777777777778	97	94	5
840	12	2	23.24	3.71	6.26415094339623	43	29	12
840	10	1	22.78	3.68	6.19021739130435	23	29	12
554	3	2	13.5	2.28	5.92105263157895	36	28	2
840	11	1	21.7	3.68	5.89673913043478	43	42	12
376	2	1	13.69	2.35	5.82553191489362	97	94	5
376	6	2	16.09	2.91	5.52920962199313	97	94	5
840	2	2	20.6	3.85	5.35064935064935	23	85	8
840	5	1	17.96	3.36	5.3452380952381	10	42	10
376	6	1	18.99	3.64	5.21703296703297	97	94	5
840	3	1	27.51	5.3	5.19056603773585	20	42	9
840	10	2	14.85	2.92	5.08561643835617	42	29	12
840	2	1	20.93	4.26	4.9131455399061	10	85	8
376	4	1	19.78	4.14	4.77777777777778	97	94	5
702	8	1	19.16	4.18	4.58373205741627	20	40	3
840	4	1	30.23	6.78	4.45870206489676	21	42	9
840	1	2	11.82	2.85	4.14736842105263	10	45	3
840	7	1	19.29	4.77	4.0440251572327	21	42	10
554	5	1	17.12	4.55	3.76263736263736	36	29	3
376	8	1	14.01	3.82	3.66753926701571	97	94	5
376	8	2	9.72	2.68	3.62686567164179	97	94	5
702	3	2	9.27	2.61	3.55172413793103	20	27	3
554	2	1	21.22	6	3.53666666666667	36	28	2
414	8	1	4	1.15	3.47826086956522	25	26	2
414	6	2	3.84	1.11	3.45945945945946	26	25	2
376	3	1	16.94	4.94	3.42914979757085	97	94	5
554	3	1	21.07	6.2	3.39838709677419	36	28	2
840	9	2	12.19	3.6	3.38611111111111	21	42	11
414	5	2	4.21	1.28	3.2890625	26	25	2
840	11	2	12.92	3.93	3.28753180661578	43	42	12
840	1	1	15.49	4.86	3.18724279835391	21	45	3
840	6	1	21.41	6.74	3.17655786350148	21	22	9
840	12	1	20.57	6.56	3.13567073170732	43	29	12
702	7	1	18.01	5.98	3.01170568561873	20	40	3
702	5	1	14.58	4.92	2.96341463414634	20	27	3
840	8	1	20.31	7.12	2.85252808988764	21	30	10
414	11	1	7.49	2.66	2.81578947368421	25	26	2
36	12	2	11.84	4.24	2.79245283018868	63	62	2
554	5	2	11.69	4.37	2.67505720823799	36	29	3
702	10	2	10.75	4.06	2.64778325123153	20	40	3
36	11	1	32.08	12.6	2.54603174603175	62	63	2
840	4	2	15.18	5.99	2.53422370617696	21	21	9
702	4	2	11.44	4.52	2.53097345132743	20	40	3
840	8	2	11	4.5	2.44444444444444	21	42	10
702	4	1	19.99	8.46	2.3628841607565	20	40	3
840	9	1	21.93	9.34	2.34796573875803	21	42	11
702	9	1	19.55	8.38	2.33293556085919	20	40	3
840	7	2	10.63	4.61	2.3058568329718	21	30	10
554	2	2	12.8	5.71	2.24168126094571	36	28	2
414	12	1	6.61	2.95	2.2406779661017	25	26	2
840	6	2	11.75	5.27	2.22960151802657	20	45	9
554	4	2	14.89	6.77	2.19940915805022	36	28	2
702	3	1	13.24	6.02	2.19933554817276	20	27	3
36	10	2	12.68	5.86	2.16382252559727	63	62	2
702	8	2	12.47	5.82	2.1426116838488	20	40	3
702	5	2	10.59	4.95	2.13939393939394	20	27	3
554	6	2	12.31	5.81	2.11876075731497	36	28	2
376	9	2	10.07	4.95	2.03434343434343	90	94	2
