CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	180000299	Uganda, Kyadondo County	1.21	3.07	0.39413680781759	1.44588564152427	female_heavy
2	156600199	Nigeria,  Ibadan	0.56	1.64	0.341463414634146	1.47329071949038	female_heavy
3	156600199	Nigeria,  Ibadan	1.31	2.28	0.574561403508772	1.54725274725275	female_heavy
3	207601599	Brazil, Recife	3.53	10.17	0.347099311701082	1.54725274725275	female_heavy
4	168600199	Senegal, Dakar	3.46	1.04	3.32692307692308	1.60744226477545	male_heavy
5	225009199	France, Martinique	1.54	3.79	0.406332453825858	1.57078651685393	female_heavy
6	260400199	Peru, Trujillo	2.46	3.41	0.721407624633431	1.58681625584312	female_heavy
6	260000199	Paraguay, Asuncion	2.5	4.3	0.581395348837209	1.58681625584312	female_heavy
7	435600999	India, Karunagappally	1.63	0.31	5.25806451612903	1.6875	male_heavy
7	207600799	Brazil, Belem	2.8	4.69	0.597014925373134	1.6875	female_heavy
8	441400099	Kuwait	2.62	3.52	0.744318181818182	1.65131578947368	female_heavy
9	221800199	Ecuador, Quito	2.85	3.43	0.830903790087464	1.67864171122995	female_heavy
9	225009199	France, Martinique	5.29	6.68	0.791916167664671	1.67864171122995	female_heavy
9	260400199	Peru, Trujillo	3.35	4.65	0.720430107526882	1.67864171122995	female_heavy
10	203200899	Argentina, Tierra del Fuego	11.61	3.02	3.84437086092715	1.64512338425382	male_heavy
10	180000299	Uganda, Kyadondo County	4.11	5.12	0.802734375	1.64512338425382	female_heavy
10	217000499	Colombia, Pasto	3.53	4.41	0.800453514739229	1.64512338425382	female_heavy
10	145400199	Malawi, Blantyre	2.27	2.84	0.799295774647887	1.64512338425382	female_heavy
10	221800299	Ecuador, Cuenca	1.61	2.6	0.619230769230769	1.64512338425382	female_heavy
11	221800499	Ecuador, Loja	5.15	6.58	0.782674772036474	1.59591041869523	female_heavy
11	221800599	Ecuador, Manabí	1.85	2.46	0.752032520325203	1.59591041869523	female_heavy
11	221800399	Ecuador, Guayaquil	3.08	4.1	0.751219512195122	1.59591041869523	female_heavy
11	312401399	Canada, Nunavut	11.32	18.36	0.616557734204793	1.59591041869523	female_heavy
11	221800299	Ecuador, Cuenca	2.88	4.84	0.59504132231405	1.59591041869523	female_heavy
12	312400999	Canada, Yukon	17.21	4.61	3.73318872017354	1.5784557614001	male_heavy
