id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
561600199	Poland, Cracow	99	2	9	2	0.08	10	2.36	0.08	2	6.17	4	2850	inverted-U	2850
435600399	India, Mumbai	99	2	11	2	0.15	12	3.32	0.15	2	3.32	12	2113.33333333333	erratic	2113.33333333333
312400199	Canada, Alberta	99	2	12	1	0.15	12	2.8	0.15	1	2.8	12	1766.66666666667	erratic	1766.66666666667
439200499	Japan, Osaka Prefecture	99	2	10	3	0.56	12	6.68	0.56	3	11.91	8	1092.85714285714	inverted-U	1092.85714285714
582600899	UK, England, Merseyside and Cheshire	99	2	9	1	0.47	9	4.43	0.47	1	4.43	9	842.553191489362	erratic	842.553191489362
684009921	USA, Hawaii: Japanese	21	2	12	1	0.64	12	4.9	0.64	1	4.9	12	665.625	erratic	665.625
525000299	France, Calvados	99	2	8	5	0.45	12	2.75	0.45	5	2.75	12	511.111111111111	erratic	511.111111111111
582600299	UK, England, West Midlands	99	2	11	1	0.36	11	2.07	0.36	1	2.07	11	475	erratic	475
312400599	Canada, New Brunswick	99	2	10	1	0.4	12	2.2	0.4	1	2.2	12	450	erratic	450
603600299	Australia, NSW/ACT	99	2	9	4	0.48	12	2.58	0.36	5	2.58	12	437.5	U	437.5
470200020	Singapore: Chinese	20	2	10	1	1.05	12	5.52	1.05	1	10.7	3	425.714285714286	inverted-U	425.714285714286
582600399	UK, England, North West	99	2	8	4	0.51	11	2.64	0.51	4	2.64	11	417.647058823529	rising	417.647058823529
312400999	Canada, Yukon	99	2	6	6	0.54	12	2.76	0	10	2.76	12	411.111111111111	U	411.111111111111
582602099	UK, Scotland	99	2	10	2	0.63	12	2.91	0.63	2	2.91	12	361.904761904762	erratic	361.904761904762
582601599	UK, England, London	99	2	6	1	0.55	11	2.54	0.55	1	2.54	11	361.818181818182	rising	361.818181818182
603600199	Australian Capital Territory	99	2	6	5	0.47	11	2.1	0.47	5	2.1	11	346.808510638298	erratic	346.808510638298
582601199	UK, England, East	99	2	5	7	0.43	11	1.78	0.43	7	1.78	11	313.953488372093	rising	313.953488372093
384000830	USA, Michigan, Detroit: Black	30	2	10	3	1.18	12	4.88	1.18	3	4.88	12	313.559322033898	erratic	313.559322033898
561600599	Poland, Warsaw City	99	2	8	2	0.42	9	1.68	0.42	2	8.63	3	300	inverted-U	300
582600799	UK, England, East Midlands	99	2	9	2	0.62	11	2.46	0.6	3	2.46	11	296.774193548387	U	296.774193548387
384000430	USA, Connecticut: Black	30	2	8	5	1.03	12	4.04	1.03	5	4.04	12	292.233009708738	erratic	292.233009708738
603600799	Australia, Western Australia	99	2	8	5	0.68	12	2.6	0.47	6	2.6	12	282.352941176471	U	282.352941176471
441400026	Kuwait: Non-Kuwaitis	26	2	8	5	0.57	12	2.17	0.57	5	6.6	9	280.701754385965	inverted-U	280.701754385965
525000899	France, Hérault	99	2	6	7	0.73	12	2.72	0.73	7	2.72	12	272.602739726027	rising	272.602739726027
312400899	Canada, Newfoundland and Labrador	99	2	11	1	0.65	12	2.37	0.47	6	2.37	12	264.615384615385	U	264.615384615385
384000950	USA, New Mexico: Hispanic White	50	2	7	5	1.35	12	4.79	1.35	5	4.79	12	254.814814814815	erratic	254.814814814815
476400499	Thailand, Songkhla	99	2	5	8	1.47	12	5.2	1.47	8	5.2	12	253.74149659864	rising	253.74149659864
384000221	USA, California, San Francisco Bay Area: Japanese	21	2	5	4	0.88	11	2.97	0.88	4	3.7	9	237.5	inverted-U	237.5
603600399	Australia, Queensland	99	2	6	5	0.66	12	2.22	0.66	5	2.22	12	236.363636363636	rising	236.363636363636
603600499	Australia, South Australia	99	2	9	4	0.61	12	2.05	0.61	4	2.05	12	236.065573770492	erratic	236.065573770492
384000330	USA, California, Los Angeles County: Black	30	2	9	4	1.24	12	4.12	1.24	4	4.12	12	232.258064516129	erratic	232.258064516129
312400699	Canada, Nova Scotia	99	2	7	5	0.36	11	1.16	0.36	5	1.28	10	222.222222222222	inverted-U	222.222222222222
525000799	France, Tarn	99	2	7	6	0.55	12	1.77	0.55	6	1.8	11	221.818181818182	inverted-U	221.818181818182
655400099	New Zealand	99	2	10	1	0.74	12	2.38	0.74	1	2.38	12	221.621621621622	rising	221.621621621622
525000199	France, Bas-Rhin	99	2	9	4	0.98	12	3.12	0.98	4	3.12	12	218.367346938776	erratic	218.367346938776
441400099	Kuwait	99	2	6	5	0.71	12	2.26	0.71	5	3.17	7	218.30985915493	inverted-U	218.30985915493
441400025	Kuwait: Kuwaitis	25	2	8	5	0.73	12	2.32	0.73	5	3.58	9	217.808219178082	inverted-U	217.808219178082
384000999	USA, New Mexico	99	2	7	6	1.16	12	3.67	1.11	8	3.67	12	216.379310344828	U	216.379310344828
384001299	USA, Utah	99	2	10	3	0.82	12	2.58	0.82	3	2.58	12	214.634146341463	erratic	214.634146341463
557800099	Norway	99	2	12	1	0.62	12	1.88	0.51	2	1.88	12	203.225806451613	U	203.225806451613
