id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
150800399	Mozambique,  Lourenco Marques	99	1	1	101.26	2.93	34.5597269624573	high
684009945	USA, Hawaii: Hawaiian	45	1	1	12.39	2.93	4.22866894197952	high
684009921	USA, Hawaii: Japanese	21	1	1	10.3	2.93	3.51535836177474	high
156600199	Nigeria,  Ibadan	99	1	1	9.94	2.93	3.39249146757679	high
684009999	USA, Hawaii	99	1	1	9.57	2.93	3.26621160409556	high
470200020	Singapore: Chinese	20	1	1	8.93	2.93	3.04778156996587	high
312400899	Canada, Newfoundland and Labrador	99	1	1	0.47	2.93	0.160409556313993	low
171600170	Zimbabwe, Bulawayo: African	70	1	2	42.78	2.32	18.4396551724138	high
684009945	USA, Hawaii: Hawaiian	45	1	2	19.06	2.32	8.21551724137931	high
156600199	Nigeria,  Ibadan	99	1	2	13.2	2.32	5.68965517241379	high
384010030	Usa, California, Alameda County: Black	30	1	2	11.81	2.32	5.09051724137931	high
655400028	New Zealand: Maori	28	1	2	9.14	2.32	3.93965517241379	high
684009921	USA, Hawaii: Japanese	21	1	2	8.99	2.32	3.875	high
684009920	USA, Hawaii: Chinese	20	1	2	7.96	2.32	3.43103448275862	high
684009923	USA, Hawaii: Filipino	23	1	2	7.91	2.32	3.40948275862069	high
564200399	Romania,  Banat Region	99	1	2	7.47	2.32	3.2198275862069	high
439202299	Japan,  Okayama Prefecture	99	1	2	0.4	2.32	0.172413793103448	low
561600699	Poland, Warsaw Rural	99	1	2	0.38	2.32	0.163793103448276	low
561600199	Poland, Cracow	99	1	2	0.06	2.32	0.0258620689655172	low
437600091	Israel: Jews born in Israel	91	1	2	0.05	2.32	0.021551724137931	low
171600170	Zimbabwe, Bulawayo: African	70	1	3	68.71	3.695	18.595399188092	high
470200020	Singapore: Chinese	20	1	3	44.48	3.695	12.0378890392422	high
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	3	26.73	3.695	7.234100135318	high
684009945	USA, Hawaii: Hawaiian	45	1	3	21.17	3.695	5.72936400541272	high
470200027	Singapore: Malay	27	1	3	17.69	3.695	4.78755074424899	high
207601599	Brazil, Recife	99	1	3	15.37	3.695	4.1596752368065	high
575600299	Switzerland, Geneva	99	1	3	13.39	3.695	3.62381596752368	high
470200040	Singapore: Indian	40	1	3	13.38	3.695	3.62110960757781	high
561600599	Poland, Warsaw City	99	1	3	12.68	3.695	3.43166441136671	high
156600199	Nigeria,  Ibadan	99	1	3	12.63	3.695	3.41813261163735	high
684009923	USA, Hawaii: Filipino	23	1	3	12	3.695	3.24763193504736	high
572400799	Spain, Zaragoza	99	1	3	11.41	3.695	3.08795669824087	high
312400899	Canada, Newfoundland and Labrador	99	1	3	0.7	3.695	0.189445196211096	low
547000099	Malta	99	1	3	0.63	3.695	0.170500676589986	low
415603099	China, Hong Kong	99	1	4	44.54	3.8	11.7210526315789	high
470200020	Singapore: Chinese	20	1	4	43.06	3.8	11.3315789473684	high
415600399	China, Shanghai City	99	1	4	40.74	3.8	10.7210526315789	high
168600199	Senegal, Dakar	99	1	4	37.11	3.8	9.76578947368421	high
470200040	Singapore: Indian	40	1	4	22.96	3.8	6.0421052631579	high
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	4	22.85	3.8	6.01315789473684	high
470200027	Singapore: Malay	27	1	4	21.99	3.8	5.78684210526316	high
564200199	Romania, County Cluj	99	1	4	16.41	3.8	4.31842105263158	high
384000320	USA, California, Los Angeles County: Chinese	20	1	4	15.62	3.8	4.11052631578947	high
684009923	USA, Hawaii: Filipino	23	1	4	14.74	3.8	3.87894736842105	high
439200399	Japan, Nagasaki Prefecture	99	1	4	14.43	3.8	3.79736842105263	high
575600299	Switzerland, Geneva	99	1	4	13.65	3.8	3.5921052631579	high
684009945	USA, Hawaii: Hawaiian	45	1	4	13.49	3.8	3.55	high
561600599	Poland, Warsaw City	99	1	4	11.44	3.8	3.01052631578947	high
572400499	Spain, Navarra	99	1	4	0.72	3.8	0.189473684210526	low
415600399	China, Shanghai City	99	1	5	34.39	3.5	9.82571428571429	high
415603099	China, Hong Kong	99	1	5	32.26	3.5	9.21714285714286	high
439200499	Japan, Osaka Prefecture	99	1	5	31.95	3.5	9.12857142857143	high
470200020	Singapore: Chinese	20	1	5	31.63	3.5	9.03714285714286	high
655400029	New Zealand: Pacific peoples	29	1	5	26.56	3.5	7.58857142857143	high
439200399	Japan, Nagasaki Prefecture	99	1	5	25.81	3.5	7.37428571428571	high
415600499	China, Tianjin	99	1	5	23.1	3.5	6.6	high
439200199	Japan, Hiroshima Prefecture	99	1	5	20.66	3.5	5.90285714285714	high
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	5	18.79	3.5	5.36857142857143	high
460800399	Philippines, Rizal	99	1	5	17.53	3.5	5.00857142857143	high
384000320	USA, California, Los Angeles County: Chinese	20	1	5	16.5	3.5	4.71428571428571	high
384000322	USA, California, Los Angeles County: Korean	22	1	5	15.76	3.5	4.50285714285714	high
470200027	Singapore: Malay	27	1	5	15.64	3.5	4.46857142857143	high
