country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
376	2	1	4.46	0.05	89.2	94	91	5
840	4	2	10.29	0.88	11.6931818181818	45	21	9
840	7	1	23.88	2.11	11.3175355450237	22	10	10
554	5	1	26.56	2.44	10.8852459016393	29	36	3
840	5	1	18.79	1.76	10.6761363636364	20	10	10
840	6	1	20.06	1.92	10.4479166666667	22	10	9
840	1	2	6.38	0.64	9.96875	45	21	3
840	9	2	10.22	1.03	9.92233009708738	22	10	11
840	8	2	10.35	1.08	9.58333333333333	22	10	10
840	4	1	22.85	2.47	9.25101214574899	20	83	9
36	12	2	16.88	2	8.44	62	63	2
840	7	2	6.03	0.75	8.04	20	30	10
840	9	1	27.47	3.47	7.9164265129683	22	10	11
840	8	1	20.71	2.66	7.78571428571429	22	30	10
376	5	1	8.21	1.14	7.20175438596491	96	91	5
840	5	2	5.66	0.8	7.075	22	10	10
840	10	1	26.32	3.91	6.73145780051151	22	10	12
840	10	2	8.4	1.27	6.61417322834646	42	10	12
840	6	2	4.64	0.72	6.44444444444445	20	10	9
840	12	1	28.44	5.1	5.5764705882353	30	10	12
840	2	1	19.06	3.42	5.57309941520468	45	10	8
840	3	2	6.37	1.18	5.39830508474576	20	30	8
376	3	1	4.64	0.87	5.33333333333333	94	91	5
36	12	1	48.98	9.41	5.20510095642933	62	63	2
554	6	1	11.14	2.24	4.97321428571429	28	36	2
840	12	2	9.12	1.84	4.95652173913043	30	10	12
554	2	1	9.14	2	4.57	28	36	2
554	7	1	12.76	2.91	4.38487972508591	28	36	2
840	11	1	20.4	5.01	4.07185628742515	30	60	12
36	10	2	4.79	1.18	4.05932203389831	62	63	2
840	11	2	6.89	1.72	4.00581395348837	42	60	12
36	10	1	13.75	3.46	3.97398843930636	62	63	2
376	6	2	1.43	0.36	3.97222222222222	94	91	5
554	3	2	4.16	1.05	3.96190476190476	28	36	2
554	4	1	9.98	2.59	3.85328185328185	28	36	2
554	5	2	4.23	1.1	3.84545454545455	28	36	3
376	5	2	1.9	0.54	3.51851851851852	97	91	5
702	7	1	22.08	6.28	3.51592356687898	20	40	3
554	3	1	8.96	2.55	3.51372549019608	28	36	2
702	3	1	44.48	13.38	3.32436472346786	20	40	3
376	8	2	1.95	0.61	3.19672131147541	97	94	5
554	6	2	2.95	0.94	3.13829787234043	28	36	2
554	2	2	2.33	0.75	3.10666666666667	28	36	2
554	4	2	3.6	1.23	2.92682926829268	28	36	2
702	8	2	5.13	1.77	2.89830508474576	20	40	3
702	6	1	26.79	9.43	2.84093319194062	20	40	3
376	8	1	3.84	1.37	2.8029197080292	96	91	5
702	8	1	21.21	7.86	2.69847328244275	20	40	3
554	7	2	3.6	1.35	2.66666666666667	28	36	2
702	9	1	21.28	8.08	2.63366336633663	20	40	3
702	5	2	7.22	2.78	2.59712230215827	20	40	3
702	4	2	9.48	4.07	2.32923832923833	20	27	3
702	5	1	31.63	14.08	2.24644886363636	20	40	3
376	2	2	2.26	1.03	2.19417475728155	91	96	5
414	6	2	5.19	2.38	2.18067226890756	26	25	2
376	9	2	1.4	0.66	2.12121212121212	90	94	2
702	10	1	18.97	8.99	2.11012235817575	20	40	3
702	7	2	5.81	2.83	2.0530035335689	20	40	3
414	11	1	7.44	3.63	2.0495867768595	25	26	2
414	6	1	14.66	7.16	2.04748603351955	26	25	2
414	5	1	8.77	4.36	2.01146788990826	26	25	2
