CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	582600699	UK, England, South West	2.69	2.86	0.940559440559441	2.15652173913043	female_heavy
1	535200099	Iceland	3.43	3.84	0.893229166666667	2.15652173913043	female_heavy
1	312400899	Canada, Newfoundland and Labrador	0.47	0.65	0.723076923076923	2.15652173913043	female_heavy
1	217000199	Colombia, Cali	4.17	5.99	0.696160267111853	2.15652173913043	female_heavy
1	215200099	Chile	5.07	9.88	0.513157894736842	2.15652173913043	female_heavy
2	384004999	USA, Nevada	2.11	0.49	4.30612244897959	1.66831683168317	male_heavy
2	561600599	Poland, Warsaw City	1.78	0.42	4.23809523809524	1.66831683168317	male_heavy
2	435600399	India, Mumbai	0.55	0.15	3.66666666666667	1.66831683168317	male_heavy
2	582600899	UK, England, Merseyside and Cheshire	2.06	0.61	3.37704918032787	1.66831683168317	male_heavy
2	439202299	Japan,  Okayama Prefecture	0.4	0.52	0.769230769230769	1.66831683168317	female_heavy
2	561600199	Poland, Cracow	0.06	0.08	0.75	1.66831683168317	female_heavy
2	561601499	Poland, Katowice District	0.88	1.22	0.721311475409836	1.66831683168317	female_heavy
2	534800299	Hungary, County Szabolcs-Szatmar	1	1.43	0.699300699300699	1.66831683168317	female_heavy
2	561600699	Poland, Warsaw Rural	0.38	1.47	0.258503401360544	1.66831683168317	female_heavy
3	575600299	Switzerland, Geneva	13.39	1.87	7.16042780748663	1.86330935251799	male_heavy
3	238800199	Jamaica, Kingston and St Andrew	6.99	1.4	4.99285714285714	1.86330935251799	male_heavy
3	535200099	Iceland	5.32	6.28	0.847133757961784	1.86330935251799	female_heavy
3	561600699	Poland, Warsaw Rural	5.84	7.78	0.750642673521851	1.86330935251799	female_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	1.21	1.7	0.711764705882353	1.86330935251799	female_heavy
3	547000099	Malta	0.63	0.96	0.65625	1.86330935251799	female_heavy
3	312400899	Canada, Newfoundland and Labrador	0.7	1.27	0.551181102362205	1.86330935251799	female_heavy
4	575600299	Switzerland, Geneva	13.65	1.97	6.92893401015228	2.25626353232292	male_heavy
4	525000199	France, Bas-Rhin	6.46	0.98	6.59183673469388	2.25626353232292	male_heavy
4	252809999	Netherlands, Antilles	3.98	0.64	6.21875	2.25626353232292	male_heavy
4	207600899	Brazil, Sao Paulo	1.57	0.33	4.75757575757576	2.25626353232292	male_heavy
4	572400499	Spain, Navarra	0.72	0.82	0.878048780487805	2.25626353232292	female_heavy
4	561600699	Poland, Warsaw Rural	4.17	4.84	0.861570247933884	2.25626353232292	female_heavy
4	312401599	Canada, Northwest Territories and Yukon	2	4.47	0.447427293064877	2.25626353232292	female_heavy
5	525000299	France, Calvados	6.27	0.45	13.9333333333333	2.04580152671756	male_heavy
5	441400099	Kuwait	5.1	0.71	7.1830985915493	2.04580152671756	male_heavy
5	575600299	Switzerland, Geneva	10.18	1.46	6.97260273972603	2.04580152671756	male_heavy
5	575600199	Switzerland, Basel	8.33	1.37	6.08029197080292	2.04580152671756	male_heavy
5	525000199	France, Bas-Rhin	6.91	1.18	5.85593220338983	2.04580152671756	male_heavy
5	603600199	Australian Capital Territory	2.41	0.47	5.12765957446809	2.04580152671756	male_heavy
5	525000599	France, Isère	4.57	1	4.57	2.04580152671756	male_heavy
5	415603099	China, Hong Kong	32.26	7.45	4.33020134228188	2.04580152671756	male_heavy
5	582606699	United Kingdom, Scotland, North	2.14	0.5	4.28	2.04580152671756	male_heavy
5	575600599	Switzerland, Vaud	5.79	1.39	4.16546762589928	2.04580152671756	male_heavy
5	207600199	Brazil, Fortaleza	3.51	3.71	0.946091644204852	2.04580152671756	female_heavy
5	603600599	Australia, Tasmania	0.75	0.8	0.9375	2.04580152671756	female_heavy
5	252809999	Netherlands, Antilles	0.75	1.2	0.625	2.04580152671756	female_heavy
5	537200199	Ireland, Southern	0.12	0.27	0.444444444444444	2.04580152671756	female_heavy
6	312400799	Canada, Prince Edward Island	1.53	0.08	19.125	2.3955223880597	male_heavy
6	525000599	France, Isère	4.89	0.44	11.1136363636364	2.3955223880597	male_heavy
6	575600599	Switzerland, Vaud	6.43	0.94	6.84042553191489	2.3955223880597	male_heavy
6	525000199	France, Bas-Rhin	8.9	1.37	6.4963503649635	2.3955223880597	male_heavy
6	538006799	Italy, Trieste	14.49	2.45	5.91428571428571	2.3955223880597	male_heavy
6	575600299	Switzerland, Geneva	9.82	1.8	5.45555555555556	2.3955223880597	male_heavy
6	525000299	France, Calvados	6.96	1.28	5.4375	2.3955223880597	male_heavy
6	603600799	Australia, Western Australia	2.37	0.47	5.04255319148936	2.3955223880597	male_heavy
6	207600499	Brazil, Porto Alegre	3.79	3.25	1.16615384615385	2.3955223880597	female_heavy
6	561600299	Poland, Lower Silesia	4.8	4.13	1.16222760290557	2.3955223880597	female_heavy
6	537200199	Ireland, Southern	1.07	0.95	1.12631578947368	2.3955223880597	female_heavy
6	552800299	The Netherlands, Maastricht	0.8	0.75	1.06666666666667	2.3955223880597	female_heavy
6	219200099	Cuba	3.61	3.63	0.994490358126722	2.3955223880597	female_heavy
6	207600299	Brazil, Goiânia	2.03	2.63	0.771863117870722	2.3955223880597	female_heavy
6	221800199	Ecuador, Quito	3.13	4.1	0.763414634146342	2.3955223880597	female_heavy
6	260000199	Paraguay, Asuncion	1.08	1.5	0.72	2.3955223880597	female_heavy
6	101200199	Algeria, Sétif	1.72	2.92	0.589041095890411	2.3955223880597	female_heavy
7	525000599	France, Isère	9.09	0.91	9.98901098901099	2.49685534591195	male_heavy
7	525000499	France, Haut-Rhin	11.37	1.21	9.39669421487603	2.49685534591195	male_heavy
7	575600399	Switzerland, Neuchâtel	6.95	0.75	9.26666666666667	2.49685534591195	male_heavy
7	525000299	France, Calvados	13.27	1.5	8.84666666666667	2.49685534591195	male_heavy
7	603600599	Australia, Tasmania	2.28	0.32	7.125	2.49685534591195	male_heavy
7	575600299	Switzerland, Geneva	11.17	1.65	6.76969696969697	2.49685534591195	male_heavy
7	575600599	Switzerland, Vaud	6.99	1.09	6.41284403669725	2.49685534591195	male_heavy
7	525000199	France, Bas-Rhin	13.12	2.14	6.13084112149533	2.49685534591195	male_heavy
7	525000699	France, Somme	7.38	1.22	6.04918032786885	2.49685534591195	male_heavy
7	525000899	France, Hérault	3.99	0.73	5.46575342465753	2.49685534591195	male_heavy
7	575600899	Switzerland, Valais	10.91	2.03	5.3743842364532	2.49685534591195	male_heavy
7	575600199	Switzerland, Basel	5.14	0.97	5.29896907216495	2.49685534591195	male_heavy
7	435600499	India, Chennai	2.5	0.49	5.10204081632653	2.49685534591195	male_heavy
7	260400199	Peru, Trujillo	7.24	5.93	1.22091062394604	2.49685534591195	female_heavy
7	217000199	Colombia, Cali	2.59	2.25	1.15111111111111	2.49685534591195	female_heavy
7	221800199	Ecuador, Quito	2.91	2.8	1.03928571428571	2.49685534591195	female_heavy
7	260400299	Peru, Lima	3.36	3.42	0.982456140350877	2.49685534591195	female_heavy
8	435600999	India, Karunagappally	3.62	0.33	10.969696969697	2.65862068965517	male_heavy
8	525000399	France, Doubs	9.26	1.07	8.65420560747664	2.65862068965517	male_heavy
8	575601099	Switzerland, Ticino	12.45	1.45	8.58620689655172	2.65862068965517	male_heavy
8	575600899	Switzerland, Valais	14.74	1.76	8.375	2.65862068965517	male_heavy
8	525001699	France, Manche	5.88	0.84	7	2.65862068965517	male_heavy
8	525000199	France, Bas-Rhin	11.99	1.88	6.37765957446809	2.65862068965517	male_heavy
8	525000699	France, Somme	8.22	1.33	6.18045112781955	2.65862068965517	male_heavy
8	525000599	France, Isère	11.95	2.08	5.74519230769231	2.65862068965517	male_heavy
8	525000899	France, Hérault	4.53	0.82	5.52439024390244	2.65862068965517	male_heavy
8	561600199	Poland, Cracow	3.8	2.95	1.28813559322034	2.65862068965517	female_heavy
8	217000199	Colombia, Cali	2.99	2.47	1.21052631578947	2.65862068965517	female_heavy
8	219200199	Cuba, Villa Clara	3.52	3.21	1.09657320872274	2.65862068965517	female_heavy
8	180000299	Uganda, Kyadondo County	6.48	5.96	1.08724832214765	2.65862068965517	female_heavy
8	221800199	Ecuador, Quito	3.61	3.52	1.02556818181818	2.65862068965517	female_heavy
8	101200299	Algeria, Algiers	0.88	0.88	1	2.65862068965517	female_heavy
8	203200299	Argentina, Concordia	2.63	2.72	0.966911764705882	2.65862068965517	female_heavy
8	312400999	Canada, Yukon	1.45	1.6	0.90625	2.65862068965517	female_heavy
8	312400799	Canada, Prince Edward Island	1	1.21	0.826446280991736	2.65862068965517	female_heavy
9	525001499	France, Loire-Atlantique	14.63	1.42	10.3028169014085	2.88770053475936	male_heavy
9	538002899	Italy, Sondrio	26.03	4.08	6.37990196078431	2.88770053475936	male_heavy
9	525000199	France, Bas-Rhin	13.61	2.16	6.30092592592593	2.88770053475936	male_heavy
9	525000299	France, Calvados	15.25	2.44	6.25	2.88770053475936	male_heavy
9	215200199	Chile, Valdivia	5.41	3.8	1.42368421052632	2.88770053475936	female_heavy
9	101200199	Algeria, Sétif	1.06	0.79	1.34177215189873	2.88770053475936	female_heavy
9	582600899	UK, England, Merseyside and Cheshire	5.11	4.43	1.15349887133183	2.88770053475936	female_heavy
9	217000199	Colombia, Cali	3.11	2.74	1.13503649635036	2.88770053475936	female_heavy
9	207600999	Brazil, Brasilia	6.26	5.75	1.08869565217391	2.88770053475936	female_heavy
9	221800199	Ecuador, Quito	3.44	3.94	0.873096446700508	2.88770053475936	female_heavy
10	203200899	Argentina, Tierra del Fuego	7.25	0.59	12.2881355932203	2.88919413919414	male_heavy
10	538002899	Italy, Sondrio	23.7	2.68	8.84328358208955	2.88919413919414	male_heavy
10	525001799	France, Vendée	12.7	1.48	8.58108108108108	2.88919413919414	male_heavy
10	525001499	France, Loire-Atlantique	19.93	2.36	8.44491525423729	2.88919413919414	male_heavy
10	525001699	France, Manche	9	1.25	7.2	2.88919413919414	male_heavy
10	575600199	Switzerland, Basel	5.32	0.79	6.73417721518987	2.88919413919414	male_heavy
10	575600899	Switzerland, Valais	13.99	2.13	6.56807511737089	2.88919413919414	male_heavy
10	525000399	France, Doubs	10.16	1.55	6.55483870967742	2.88919413919414	male_heavy
10	435600899	India, Trivandrum	5.35	0.86	6.22093023255814	2.88919413919414	male_heavy
10	575600399	Switzerland, Neuchâtel	10.93	1.76	6.21022727272727	2.88919413919414	male_heavy
10	561600299	Poland, Lower Silesia	2.92	2.03	1.4384236453202	2.88919413919414	female_heavy
