id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
435600499	India, Chennai	99	1	8	5	0.15	12	1.82	0.15	5	1.83	11	1113.33333333333	inverted-U	1113.33333333333
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	0.12	12	0.82	0.12	7	1.16	11	583.333333333333	inverted-U	583.333333333333
171600270	Zimbabwe, Harare: African	70	1	6	7	0.53	12	2.93	0.53	7	2.93	12	452.830188679245	rising	452.830188679245
435600299	India, Bangalore	99	1	6	6	0.44	12	2	0.44	6	2	12	354.545454545455	rising	354.545454545455
470200027	Singapore: Malay	27	1	9	3	0.6	12	2.31	0.6	3	2.31	12	285	erratic	285
470200020	Singapore: Chinese	20	1	10	1	0.69	12	2.38	0.69	1	2.38	12	244.927536231884	erratic	244.927536231884
655400029	New Zealand: Pacific peoples	29	1	4	5	1.89	12	6.07	1.89	5	6.07	12	221.164021164021	rising	221.164021164021
476400299	Thailand, Khon Kaen	99	1	6	6	2.78	12	8.17	1.82	7	8.17	12	193.884892086331	U	193.884892086331
435600399	India, Mumbai	99	1	11	2	0.77	12	2.2	0.56	4	2.2	12	185.714285714286	U	185.714285714286
415600299	China, Qidong City	99	1	6	6	0.87	12	2.46	0.55	8	2.46	12	182.758620689655	U	182.758620689655
312400499	Canada, Northwest Territories	99	1	7	5	1.23	11	3.28	1.23	5	3.83	10	166.666666666667	inverted-U	166.666666666667
525000299	France, Calvados	99	1	8	5	1.08	12	2.79	1.08	5	2.83	11	158.333333333333	inverted-U	158.333333333333
435600699	India, Poona	99	1	7	4	0.44	12	1.11	0.44	4	1.14	10	152.272727272727	inverted-U	152.272727272727
525001799	France, Vendée	99	1	4	9	0.57	12	1.4	0.57	9	1.5	11	145.614035087719	inverted-U	145.614035087719
312400799	Canada, Prince Edward Island	99	1	8	5	1.18	12	2.77	0.58	9	2.77	12	134.745762711864	U	134.745762711864
384005630	USA, Georgia: Black	30	1	4	9	0.95	12	2.16	0.95	9	2.16	12	127.368421052632	rising	127.368421052632
404800046	Bahrain: Bahrainis	46	1	4	9	0.79	12	1.74	0.79	9	1.74	12	120.253164556962	rising	120.253164556962
561600199	Poland, Cracow	99	1	9	2	1.28	10	2.79	1.28	2	5.29	4	117.96875	inverted-U	117.96875
470200040	Singapore: Indian	40	1	9	3	0.98	12	2.08	0.98	3	2.42	5	112.244897959184	inverted-U	112.244897959184
655400028	New Zealand: Maori	28	1	9	2	1.33	12	2.8	1.28	4	3.84	3	110.526315789474	U	110.526315789474
524600099	Finland	99	1	11	1	1	12	2.03	1	1	2.51	4	103	inverted-U	103
384006330	USA, Missouri: Black	30	1	4	9	0.98	12	1.96	0.98	9	2.32	10	100	inverted-U	100
384002230	USA, Louisiana: Black	30	1	4	9	1.1	12	2.19	1.1	9	2.19	12	99.0909090909091	erratic	99.0909090909091
101200199	Algeria, Sétif	99	1	5	6	0.74	11	1.42	0.74	6	2.66	10	91.8918918918919	inverted-U	91.8918918918919
384006530	USA, Ohio: Black	30	1	4	9	1.07	12	2.03	1.07	9	2.03	12	89.7196261682243	rising	89.7196261682243
572401399	Spain, Cuenca	99	1	4	8	1.25	11	2.32	1.25	8	2.32	11	85.6	rising	85.6
534800399	Hungary, County Vas	99	1	5	2	1.85	6	3.37	1.66	3	3.57	4	82.1621621621622	U	82.1621621621622
384000430	USA, Connecticut: Black	30	1	8	5	1.07	12	1.93	0.95	6	2.6	7	80.3738317757009	U	80.3738317757009
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	3.18	11	0.64	0.64	11	3.18	1	-79.874213836478	erratic	79.874213836478
437600091	Israel: Jews born in Israel	91	1	7	2	6.24	8	1.26	1.26	8	6.24	2	-79.8076923076923	erratic	79.8076923076923
384001630	USA, New York State: Black	30	1	5	8	1.41	12	2.5	1.41	8	2.5	12	77.3049645390071	rising	77.3049645390071
312400699	Canada, Nova Scotia	99	1	7	5	1.25	11	2.19	1.03	9	2.19	10	75.2	U	75.2
415600499	China, Tianjin	99	1	4	5	1.57	8	2.74	1.57	5	2.74	8	74.5222929936306	rising	74.5222929936306
525001499	France, Loire-Atlantique	99	1	4	9	1.15	12	1.95	1.15	9	1.95	12	69.5652173913044	rising	69.5652173913044
561600699	Poland, Warsaw Rural	99	1	4	2	1.69	6	2.85	1.69	2	3.05	3	68.6390532544379	inverted-U	68.6390532544379
439200499	Japan, Osaka Prefecture	99	1	10	3	3.44	12	5.71	3.44	3	6.23	7	65.9883720930233	inverted-U	65.9883720930233
384005130	USA, Alabama: Black	30	1	4	9	0.97	12	1.61	0.97	9	1.61	12	65.979381443299	rising	65.979381443299
437600097	Israel: Jews born in Europe or America	97	1	6	2	4.3	8	1.52	1.52	8	9.96	3	-64.6511627906977	inverted-U	64.6511627906977
582600499	UK, England, Oxford Region	99	1	9	2	2.17	10	0.77	0.77	10	2.28	3	-64.5161290322581	inverted-U	64.5161290322581
557800099	Norway	99	1	12	1	1.37	12	2.25	1.11	5	2.25	12	64.2335766423358	U	64.2335766423358
