id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
156600199	Nigeria,  Ibadan	99	1	2	0.22	2.77	0.0794223826714802	low
437600090	Israel: Jews	90	1	3	10.66	2.59	4.11583011583012	high
437600099	Israel	99	1	3	10.32	2.59	3.98455598455599	high
437600096	Israel: Jews born in Africa or Asia	96	1	3	10.26	2.59	3.96138996138996	high
384000942	USA, New Mexico: American Indian	42	1	3	10.1	2.59	3.8996138996139	high
437600097	Israel: Jews born in Europe or America	97	1	3	9.96	2.59	3.84555984555985	high
437600094	Israel: Arabs	94	1	3	7.91	2.59	3.05405405405405	high
171600170	Zimbabwe, Bulawayo: African	70	1	3	0.46	2.59	0.177606177606178	low
156600199	Nigeria,  Ibadan	99	1	3	0.17	2.59	0.0656370656370657	low
384000942	USA, New Mexico: American Indian	42	1	4	10.55	2.53	4.1699604743083	high
439200399	Japan, Nagasaki Prefecture	99	1	4	9.03	2.53	3.56916996047431	high
439200299	Japan, Miyagi Prefecture	99	1	4	8.1	2.53	3.20158102766798	high
561600599	Poland, Warsaw City	99	1	4	8.02	2.53	3.1699604743083	high
435600699	India, Poona	99	1	4	0.44	2.53	0.173913043478261	low
384000942	USA, New Mexico: American Indian	42	1	5	10.75	1.8	5.97222222222222	high
384000322	USA, California, Los Angeles County: Korean	22	1	5	7.16	1.8	3.97777777777778	high
439200399	Japan, Nagasaki Prefecture	99	1	5	6.75	1.8	3.75	high
439200299	Japan, Miyagi Prefecture	99	1	5	5.86	1.8	3.25555555555556	high
435600599	India, Nagpur	99	1	5	0.28	1.8	0.155555555555556	low
252809999	Netherlands, Antilles	99	1	5	0.26	1.8	0.144444444444444	low
435600499	India, Chennai	99	1	5	0.15	1.8	0.0833333333333333	low
439200399	Japan, Nagasaki Prefecture	99	1	6	7.98	1.765	4.52124645892351	high
439200699	Japan, Yamagata Prefecture	99	1	6	7.35	1.765	4.1643059490085	high
439200299	Japan, Miyagi Prefecture	99	1	6	7.17	1.765	4.06232294617564	high
439200599	Japan, Saga Prefecture	99	1	6	6.51	1.765	3.68838526912181	high
439200499	Japan, Osaka Prefecture	99	1	6	5.99	1.765	3.39376770538244	high
435600199	India, Ahmedabad	99	1	6	0.35	1.765	0.198300283286119	low
439200299	Japan, Miyagi Prefecture	99	1	7	7.86	1.77	4.44067796610169	high
439200599	Japan, Saga Prefecture	99	1	7	7.72	1.77	4.36158192090396	high
439200399	Japan, Nagasaki Prefecture	99	1	7	7.69	1.77	4.34463276836158	high
439200699	Japan, Yamagata Prefecture	99	1	7	6.72	1.77	3.79661016949153	high
439200499	Japan, Osaka Prefecture	99	1	7	6.23	1.77	3.51977401129944	high
439200199	Japan, Hiroshima Prefecture	99	1	7	6.1	1.77	3.44632768361582	high
221800199	Ecuador, Quito	99	1	7	5.46	1.77	3.08474576271186	high
470400199	Viet Nam, Hanoi	99	1	7	0.33	1.77	0.186440677966102	low
146600199	Mali, Bamako	99	1	7	0.17	1.77	0.096045197740113	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.12	1.77	0.0677966101694915	low
441000299	Republic of Korea, Busan	99	1	8	9.74	1.745	5.58166189111748	high
441000499	Republic of Korea, Daegu	99	1	8	8.89	1.745	5.0945558739255	high
441000399	Republic of Korea, Seoul	99	1	8	8.41	1.745	4.81948424068768	high
439200699	Japan, Yamagata Prefecture	99	1	8	8.31	1.745	4.7621776504298	high
439200299	Japan, Miyagi Prefecture	99	1	8	8.08	1.745	4.63037249283668	high
439200399	Japan, Nagasaki Prefecture	99	1	8	8.07	1.745	4.62464183381089	high
441000199	Korea, Kangwha County	99	1	8	7.83	1.745	4.48710601719198	high
384000942	USA, New Mexico: American Indian	42	1	8	7.51	1.745	4.30372492836676	high
384000322	USA, California, Los Angeles County: Korean	22	1	8	7.31	1.745	4.189111747851	high
439200199	Japan, Hiroshima Prefecture	99	1	8	7.12	1.745	4.08022922636103	high
439200599	Japan, Saga Prefecture	99	1	8	7.11	1.745	4.07449856733524	high
439200499	Japan, Osaka Prefecture	99	1	8	6.16	1.745	3.53008595988539	high
435600899	India, Trivandrum	99	1	8	0.23	1.745	0.131805157593123	low
215200199	Chile, Valdivia	99	1	9	12.31	1.59	7.74213836477987	high
441000499	Republic of Korea, Daegu	99	1	9	10.35	1.59	6.50943396226415	high
441000899	Republic of Korea, Ulsan	99	1	9	10.08	1.59	6.33962264150943	high
441001099	Republic of Korea, Gwangju	99	1	9	10.05	1.59	6.32075471698113	high
441000299	Republic of Korea, Busan	99	1	9	9.31	1.59	5.85534591194969	high
441000999	Republic of Korea, Jeju	99	1	9	8.46	1.59	5.32075471698113	high
439200699	Japan, Yamagata Prefecture	99	1	9	8.43	1.59	5.30188679245283	high
441000099	Republic of Korea	99	1	9	8.1	1.59	5.09433962264151	high
439200999	Japan, Fukui Prefecture	99	1	9	8.04	1.59	5.05660377358491	high
441000399	Republic of Korea, Seoul	99	1	9	7.96	1.59	5.0062893081761	high
