country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
702	4	2	5.74	0.31	18.5161290322581	40	27	3
840	5	1	10.75	0.72	14.9305555555556	42	30	10
840	7	2	12.48	0.96	13	42	30	10
840	9	1	5.95	0.48	12.3958333333333	22	30	11
36	10	1	5.77	0.53	10.8867924528302	62	63	2
840	3	1	10.1	0.96	10.5208333333333	42	30	9
840	10	1	5.69	0.55	10.3454545454545	22	42	12
840	10	2	5.09	0.5	10.18	42	29	12
840	11	2	5.15	0.52	9.90384615384616	30	20	12
840	11	1	4.9	0.51	9.6078431372549	22	42	12
840	8	2	5.15	0.54	9.53703703703704	50	30	10
840	4	1	10.55	1.2	8.79166666666667	42	30	9
840	8	1	7.51	0.87	8.63218390804598	42	30	10
840	9	2	7.14	0.88	8.11363636363636	42	10	11
840	6	1	5.02	0.64	7.84375	22	10	9
840	12	1	5.02	0.67	7.49253731343284	22	42	12
840	2	2	11.35	1.98	5.73232323232323	85	23	8
840	6	2	4.68	0.95	4.92631578947368	50	10	9
36	10	2	6.42	1.31	4.90076335877863	62	63	2
840	7	1	4.88	1.03	4.7378640776699	42	30	10
840	12	2	5.23	1.13	4.6283185840708	29	10	12
36	12	2	12.16	2.66	4.57142857142857	62	63	2
414	8	1	1.92	0.46	4.17391304347826	25	26	2
554	2	2	3.78	0.94	4.02127659574468	36	28	2
414	6	2	5.23	1.47	3.5578231292517	26	25	2
376	3	2	22.84	6.66	3.42942942942943	97	91	5
376	2	2	14.24	4.19	3.39856801909308	97	94	5
414	5	2	1.68	0.51	3.29411764705882	26	25	2
376	4	2	8.36	2.65	3.15471698113208	97	94	5
376	4	1	3.95	1.3	3.03846153846154	97	91	5
702	3	1	1.74	0.6	2.9	20	27	3
702	5	1	2.42	0.97	2.49484536082474	40	27	3
414	10	1	2.06	0.85	2.42352941176471	25	26	2
840	1	2	7.74	3.26	2.37423312883436	45	10	3
414	7	2	3.27	1.41	2.31914893617021	26	25	2
376	2	1	6.24	2.74	2.27737226277372	91	94	5
554	2	1	3.02	1.33	2.27067669172932	36	28	2
702	4	1	1.98	0.9	2.2	20	27	3
554	12	1	6.07	2.8	2.16785714285714	29	28	2
414	6	1	2.67	1.24	2.15322580645161	26	25	2
554	4	1	2.75	1.28	2.1484375	36	28	2
702	8	1	2.29	1.09	2.10091743119266	20	40	3
36	12	1	4.35	2.09	2.08133971291866	62	63	2
554	5	2	2.44	1.18	2.06779661016949	28	29	3
702	6	2	1.81	0.88	2.05681818181818	20	27	3
36	11	2	2.51	1.23	2.04065040650407	63	62	2
