id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
525000599	France, Isère	99	1	8	5	3.87	12	10.28	3.23	6	10.28	12	165.633074935401	U	165.633074935401
525000799	France, Tarn	99	1	7	6	3.7	12	8.48	3.36	7	9.35	11	129.189189189189	U	129.189189189189
470200027	Singapore: Malay	27	1	9	3	2.27	12	4.62	1.92	5	4.7	10	103.52422907489	U	103.52422907489
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	3.13	6	6.11	2.04	3	6.11	6	95.2076677316294	U	95.2076677316294
470200040	Singapore: Indian	40	1	9	3	2.24	12	4.2	1.68	7	4.2	12	87.5	U	87.5
435600899	India, Trivandrum	99	1	6	7	12.89	12	2.81	1.69	8	12.89	7	-78.200155159038	U	78.200155159038
180000299	Uganda, Kyadondo County	99	1	7	1	1.5	12	2.55	1.04	8	2.73	10	70	U	70
525000299	France, Calvados	99	1	8	5	5.35	12	9.02	4.91	6	9.64	10	68.5981308411215	U	68.5981308411215
225009199	France, Martinique	99	1	7	5	4.4	12	7.32	2.34	6	7.81	11	66.3636363636364	U	66.3636363636364
655400028	New Zealand: Maori	28	1	9	2	28.69	12	11.32	9.39	10	28.69	2	-60.5437434646218	U	60.5437434646218
439200199	Japan, Hiroshima Prefecture	99	1	8	5	7.53	12	12	6.84	6	12	12	59.3625498007968	U	59.3625498007968
384000323	USA, California, Los Angeles County: Filipino	23	1	8	5	4.21	12	6.57	3.6	9	6.57	12	56.0570071258908	U	56.0570071258908
312400999	Canada, Yukon	99	1	6	6	8.53	12	3.93	1.76	11	8.53	6	-53.9273153575616	U	53.9273153575616
439200499	Japan, Osaka Prefecture	99	1	10	3	7.64	12	11.55	7.57	4	11.55	12	51.1780104712042	U	51.1780104712042
684009920	USA, Hawaii: Chinese	20	1	11	2	17.41	12	8.68	5.79	7	17.41	2	-50.1435956346927	U	50.1435956346927
312401099	Canada, Ontario	99	1	9	3	15.56	12	8	6.37	10	15.56	3	-48.586118251928	U	48.586118251928
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	16.4	12	8.51	3.68	6	16.4	5	-48.109756097561	U	48.109756097561
655400099	New Zealand	99	1	10	1	13.22	12	7.09	6.14	9	13.83	2	-46.3691376701967	U	46.3691376701967
384000510	USA, Georgia, Atlanta: White	10	1	9	4	15.87	12	8.52	6.51	8	15.87	4	-46.3137996219282	U	46.3137996219282
312400399	Canada, Manitoba	99	1	12	1	14.45	12	7.82	7.1	9	14.45	1	-45.8823529411765	U	45.8823529411765
655400036	New Zealand: Non-Maori	36	1	6	2	13.44	7	7.29	7.16	6	13.44	2	-45.7589285714286	U	45.7589285714286
572400499	Spain, Navarra	99	1	9	4	6.02	12	8.74	5.15	5	8.74	12	45.1827242524917	U	45.1827242524917
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	21.62	12	11.9	9.11	9	25.71	4	-44.9583718778908	U	44.9583718778908
312400299	Canada, British Columbia	99	1	10	3	13.58	12	7.61	6.68	8	13.58	3	-43.9617083946981	U	43.9617083946981
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	6.16	10	8.86	5.48	9	10.87	6	43.8311688311688	U	43.8311688311688
575600199	Switzerland, Basel	99	1	6	5	6.11	12	8.76	5.8	10	8.76	12	43.3715220949263	U	43.3715220949263
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	19.57	12	11.3	7.9	11	19.57	4	-42.2585590189065	U	42.2585590189065
312400099	Canada	99	1	8	3	12.34	10	7.14	6.71	9	12.34	3	-42.1393841166937	U	42.1393841166937
582600399	UK, England, North West	99	1	8	4	12.04	11	7.08	6.45	9	12.04	4	-41.1960132890366	U	41.1960132890366
476400599	Thailand, Lampang	99	1	5	8	2.25	12	3.14	1.87	10	3.14	12	39.5555555555556	U	39.5555555555556
384000210	USA, California, San Francisco Bay Area: White	10	1	7	3	14.14	12	8.55	8.21	10	14.14	3	-39.5332390381895	U	39.5332390381895
603600499	Australia, South Australia	99	1	9	4	12.84	12	8.15	6.41	9	12.84	4	-36.5264797507788	U	36.5264797507788
684009945	USA, Hawaii: Hawaiian	45	1	12	1	17.55	12	11.14	8.69	8	20.37	3	-36.5242165242165	U	36.5242165242165
582606999	UK, Scotland, West	99	1	4	4	12.66	7	8.2	7.98	5	12.66	4	-35.2290679304897	U	35.2290679304897
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	13.95	12	9.19	7.14	8	13.95	4	-34.1218637992832	U	34.1218637992832
