id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
156600199	Nigeria,  Ibadan	99	1	1	1.63	8.93	0.182530795072788	low
180000299	Uganda, Kyadondo County	99	1	1	1.5	8.93	0.167973124300112	low
150800399	Mozambique,  Lourenco Marques	99	1	1	0.74	8.93	0.0828667413213886	low
470200020	Singapore: Chinese	20	1	1	0.68	8.93	0.0761478163493841	low
156600199	Nigeria,  Ibadan	99	1	2	1.49	9.72	0.153292181069959	low
534800299	Hungary, County Szabolcs-Szatmar	99	1	3	2.04	10.7	0.190654205607477	low
156600199	Nigeria,  Ibadan	99	1	3	1.98	10.7	0.185046728971963	low
470200027	Singapore: Malay	27	1	4	2.2	11.02	0.199637023593466	low
435600699	India, Poona	99	1	4	2.17	11.02	0.196914700544465	low
168600199	Senegal, Dakar	99	1	4	1.14	11.02	0.103448275862069	low
435600699	India, Poona	99	1	5	1.48	7.66	0.193211488250653	low
441400099	Kuwait	99	1	5	1.46	7.66	0.190600522193211	low
441400025	Kuwait: Kuwaitis	25	1	5	1.15	7.66	0.150130548302872	low
435600499	India, Chennai	99	1	5	0.92	7.66	0.120104438642298	low
435600599	India, Nagpur	99	1	5	0.88	7.66	0.114882506527415	low
435600299	India, Bangalore	99	1	5	0.73	7.66	0.0953002610966057	low
476400299	Thailand, Khon Kaen	99	1	6	1.44	7.455	0.193158953722334	low
101200199	Algeria, Sétif	99	1	6	1.41	7.455	0.189134808853119	low
435600499	India, Chennai	99	1	6	1.15	7.455	0.154258886653253	low
435600299	India, Bangalore	99	1	6	1	7.455	0.134138162307176	low
435600199	India, Ahmedabad	99	1	6	0.69	7.455	0.0925553319919517	low
127000099	The Gambia	99	1	6	0.41	7.455	0.0549966465459423	low
435600499	India, Chennai	99	1	7	1.39	7.29	0.190672153635117	low
180000299	Uganda, Kyadondo County	99	1	7	1.35	7.29	0.185185185185185	low
476400299	Thailand, Khon Kaen	99	1	7	0.94	7.29	0.128943758573388	low
435600799	India, Barshi, Paranda, and Bhum	99	1	7	0.48	7.29	0.065843621399177	low
101200199	Algeria, Sétif	99	1	7	0.45	7.29	0.0617283950617284	low
101200299	Algeria, Algiers	99	1	8	1.2	6.795	0.176600441501104	low
435600299	India, Bangalore	99	1	8	1.17	6.795	0.172185430463576	low
435600199	India, Ahmedabad	99	1	8	1.06	6.795	0.155997056659308	low
180000299	Uganda, Kyadondo County	99	1	8	1.04	6.795	0.153053715967623	low
435600599	India, Nagpur	99	1	8	1.01	6.795	0.148638704930096	low
476400299	Thailand, Khon Kaen	99	1	8	0.96	6.795	0.141280353200883	low
458600199	Pakistan, South Karachi	99	1	8	0.94	6.795	0.138337012509198	low
476400499	Thailand, Songkhla	99	1	8	0.77	6.795	0.113318616629875	low
435600499	India, Chennai	99	1	9	1.44	7.425	0.193939393939394	low
476400199	Thailand, Chiang Mai	99	1	9	1.38	7.425	0.185858585858586	low
435600599	India, Nagpur	99	1	9	1.27	7.425	0.171043771043771	low
180000299	Uganda, Kyadondo County	99	1	9	1.19	7.425	0.16026936026936	low
458600199	Pakistan, South Karachi	99	1	9	0.87	7.425	0.117171717171717	low
101200199	Algeria, Sétif	99	1	9	0.49	7.425	0.065993265993266	low
435601899	India, Sikkim State	99	1	10	1.43	7.7	0.185714285714286	low
435601499	India, Bhopal	99	1	10	1.22	7.7	0.158441558441558	low
435600799	India, Barshi, Paranda, and Bhum	99	1	10	0.95	7.7	0.123376623376623	low
476400299	Thailand, Khon Kaen	99	1	10	0.89	7.7	0.115584415584416	low
101200199	Algeria, Sétif	99	1	10	0.8	7.7	0.103896103896104	low
435601199	India, Dindigul, Ambilikkai	99	1	10	0.71	7.7	0.0922077922077922	low
171000199	South Africa, Eastern Cape	99	1	10	0.36	7.7	0.0467532467532468	low
145400199	Malawi, Blantyre	99	1	10	0.07	7.7	0.00909090909090909	low
221800599	Ecuador, Manabí	99	1	11	1.55	8.12	0.190886699507389	low
470400299	Viet Nam, Ho Chi Minh City	99	1	11	1.46	8.12	0.179802955665025	low
441400026	Kuwait: Non-Kuwaitis	26	1	11	1.42	8.12	0.17487684729064	low
435601499	India, Bhopal	99	1	11	1	8.12	0.123152709359606	low
476400299	Thailand, Khon Kaen	99	1	11	0.96	8.12	0.118226600985222	low
435601899	India, Sikkim State	99	1	11	0.78	8.12	0.0960591133004926	low
171000199	South Africa, Eastern Cape	99	1	11	0.7	8.12	0.0862068965517241	low
435600799	India, Barshi, Paranda, and Bhum	99	1	11	0.66	8.12	0.0812807881773399	low
435602599	India, Cachar	99	1	11	0.65	8.12	0.0800492610837438	low
435600199	India, Ahmedabad	99	1	11	0.59	8.12	0.0726600985221675	low
435602299	India, Tripura	99	1	11	0.59	8.12	0.0726600985221675	low
435601199	India, Dindigul, Ambilikkai	99	1	11	0.53	8.12	0.0652709359605911	low
435602099	India, Wardha	99	1	11	0.39	8.12	0.0480295566502463	low
435603499	India, Chandigarh	99	1	12	1.51	7.805	0.193465727098014	low
435603099	India, West Arunachal	99	1	12	1.46	7.805	0.187059577194106	low
415619399	China, Luoding City	99	1	12	1.3	7.805	0.166559897501602	low
415626799	China, Yunyang District, Shiyan City	99	1	12	1.3	7.805	0.166559897501602	low
476400299	Thailand, Khon Kaen	99	1	12	1.27	7.805	0.162716207559257	low
435601499	India, Bhopal	99	1	12	1.12	7.805	0.143497757847534	low
180000399	Uganda, Gulu	99	1	12	1.11	7.805	0.142216527866752	low
435604199	India, Ahmedabad, Urban	99	1	12	1.07	7.805	0.137091607943626	low
435600799	India, Barshi, Paranda, and Bhum	99	1	12	0.96	7.805	0.122998078155029	low
435604099	India, Tamil Nadu	99	1	12	0.94	7.805	0.120435618193466	low
435602499	India, Meghalaya	99	1	12	0.91	7.805	0.116591928251121	low
435602299	India, Tripura	99	1	12	0.88	7.805	0.112748238308776	low
435601699	India, Dibrugarh	99	1	12	0.79	7.805	0.101217168481742	low
435601199	India, Dindigul, Ambilikkai	99	1	12	0.76	7.805	0.0973734785393978	low
435602099	India, Wardha	99	1	12	0.65	7.805	0.0832799487508008	low
171000199	South Africa, Eastern Cape	99	1	12	0.62	7.805	0.0794362588084561	low
435601799	India, Manipur	99	1	12	0.62	7.805	0.0794362588084561	low
435601399	India, Aurangabad	99	1	12	0.49	7.805	0.062780269058296	low
470200020	Singapore: Chinese	20	2	1	0.27	5.51	0.0490018148820327	low
684009945	USA, Hawaii: Hawaiian	45	2	2	18.71	5.52	3.38949275362319	high
