country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	4	1	25.71	2.52	10.202380952381	30	20	9
840	2	1	19.7	2	9.85	45	23	8
840	4	2	14.86	1.69	8.79289940828402	42	23	9
840	10	2	12.97	1.67	7.76646706586826	30	29	12
840	3	1	21.62	3.38	6.39644970414201	30	42	9
376	3	2	9.83	1.55	6.34193548387097	97	94	5
840	10	1	14.68	2.4	6.11666666666667	30	29	12
840	6	2	11.86	1.95	6.08205128205128	30	23	9
840	11	1	14.75	2.54	5.80708661417323	30	42	12
840	7	1	20.84	3.95	5.27594936708861	30	20	10
840	11	2	11.53	2.3	5.01304347826087	30	42	12
376	2	2	10.01	2.05	4.88292682926829	97	94	5
702	3	2	3.18	0.66	4.81818181818182	27	40	3
840	2	2	18.71	4.05	4.61975308641975	45	83	8
840	7	2	11.05	2.48	4.45564516129032	30	20	10
840	5	1	16.4	3.69	4.44444444444444	22	20	10
840	5	2	9.36	2.36	3.96610169491525	30	22	10
840	12	1	15.87	4.04	3.92821782178218	30	29	12
840	6	1	13.72	3.68	3.72826086956522	30	22	9
376	7	2	10.6	2.93	3.61774744027304	91	94	4
840	9	2	11.5	3.21	3.58255451713396	45	22	11
376	7	1	14.03	3.96	3.54292929292929	91	94	4
840	9	1	12.62	3.6	3.50555555555556	30	23	11
414	11	1	4.82	1.42	3.3943661971831	25	26	2
376	3	1	14.08	4.21	3.34441805225653	97	94	5
840	8	1	14.66	4.48	3.27232142857143	30	42	10
414	6	1	8.85	2.76	3.20652173913044	26	25	2
376	5	1	9.87	3.12	3.16346153846154	97	94	5
376	6	2	5.9	1.87	3.15508021390374	97	94	5
376	5	2	6.39	2.07	3.08695652173913	97	94	5
840	12	2	10.85	3.56	3.04775280898876	30	29	12
840	8	2	9.55	3.14	3.04140127388535	30	20	10
702	7	1	4.94	1.68	2.94047619047619	20	40	3
840	3	2	14.44	4.95	2.91717171717172	85	23	9
376	4	1	14.43	4.95	2.91515151515152	97	94	5
702	4	2	3.76	1.31	2.87022900763359	40	27	3
36	11	1	13.91	4.96	2.80443548387097	62	63	2
376	2	1	13.59	4.88	2.78483606557377	97	94	5
414	5	2	3.54	1.28	2.765625	26	25	2
702	7	2	3.31	1.2	2.75833333333333	20	27	3
702	4	1	5.46	2.2	2.48181818181818	20	27	3
414	12	1	5.24	2.14	2.44859813084112	25	26	2
376	9	2	5.85	2.39	2.44769874476987	90	94	2
702	6	2	3.4	1.39	2.44604316546763	20	40	3
702	5	1	4.54	1.92	2.36458333333333	20	27	3
376	8	2	5.4	2.29	2.35807860262009	97	94	5
376	6	1	9.27	3.97	2.33501259445844	97	94	5
840	1	2	12.73	5.71	2.22942206654991	45	10	3
702	8	1	5.21	2.34	2.22649572649573	20	40	3
554	10	2	9.87	4.58	2.15502183406114	28	29	2
414	5	1	2.46	1.15	2.13913043478261	26	25	2
554	2	1	28.69	13.44	2.13467261904762	28	36	2
702	3	1	4.78	2.24	2.13392857142857	20	40	3
376	4	2	10.05	4.79	2.09812108559499	97	94	5
554	4	2	14.65	6.99	2.09585121602289	28	36	2
554	6	2	9.77	4.76	2.05252100840336	28	36	2
702	10	2	4.18	2.08	2.00961538461538	20	40	3
