CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	150800399	Mozambique,  Lourenco Marques	0.74	1.38	0.536231884057971	1.57478991596639	female_heavy
4	252809999	Netherlands, Antilles	12.45	3.65	3.41095890410959	1.59797399838122	male_heavy
4	238800199	Jamaica, Kingston and St Andrew	3.01	4.08	0.737745098039216	1.59797399838122	female_heavy
4	312401599	Canada, Northwest Territories and Yukon	5.71	15.4	0.370779220779221	1.59797399838122	female_heavy
5	441400099	Kuwait	1.46	1.87	0.780748663101604	1.59824101873474	female_heavy
6	146600199	Mali, Bamako	2.21	0.38	5.81578947368421	1.53846153846154	male_heavy
6	312400499	Canada, Northwest Territories	2.88	3.96	0.727272727272727	1.53846153846154	female_heavy
7	435600999	India, Karunagappally	2.14	0.2	10.7	1.49468085106383	male_heavy
8	146600199	Mali, Bamako	1.97	0.6	3.28333333333333	1.4295154185022	male_heavy
9	180000299	Uganda, Kyadondo County	1.19	0.35	3.4	1.44151846785226	male_heavy
10	436400399	Iran (Islamic Republic of), Golestan Province	2.82	1.01	2.79207920792079	1.39236111111111	male_heavy
10	207601199	Brazil, Aracaju	3.27	5.53	0.591320072332731	1.39236111111111	female_heavy
10	145400199	Malawi, Blantyre	0.07	0.44	0.159090909090909	1.39236111111111	female_heavy
11	169000099	Seychelles	3.15	0.42	7.5	1.37364130434783	male_heavy
11	435602099	India, Wardha	0.39	0.1	3.9	1.37364130434783	male_heavy
11	435602599	India, Cachar	0.65	0.18	3.61111111111111	1.37364130434783	male_heavy
11	435600199	India, Ahmedabad	0.59	0.18	3.27777777777778	1.37364130434783	male_heavy
11	312400499	Canada, Northwest Territories	9.06	13.52	0.670118343195266	1.37364130434783	female_heavy
12	169000099	Seychelles	4.49	1.53	2.93464052287582	1.3738000839192	male_heavy
12	435600799	India, Barshi, Paranda, and Bhum	0.96	0.33	2.90909090909091	1.3738000839192	male_heavy
12	415620599	China, Qianxi County	4.76	1.7	2.8	1.3738000839192	male_heavy
12	409600099	Brunei Darussalam	2.57	3.88	0.662371134020619	1.3738000839192	female_heavy
12	180000399	Uganda, Gulu	1.11	1.7	0.652941176470588	1.3738000839192	female_heavy
