id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
504000799	Austria, Tyrol	99	1	6	7	0.21	12	1.36	0.21	7	1.36	12	547.619047619048	erratic	547.619047619048
603600799	Australia, Western Australia	99	1	8	5	0.15	12	0.72	0.15	5	0.78	8	380	inverted-U	380
575600499	Switzerland, East	99	1	7	6	0.21	12	0.96	0.21	6	0.96	12	357.142857142857	erratic	357.142857142857
538001099	Italy, Modena	99	1	5	7	0.14	11	0.49	0.14	7	0.52	9	250	inverted-U	250
572401399	Spain, Cuenca	99	1	4	8	0.21	11	0.72	0.21	8	0.72	11	242.857142857143	rising	242.857142857143
460800399	Philippines, Rizal	99	1	5	5	0.26	11	0.8	0.26	5	1.16	8	207.692307692308	inverted-U	207.692307692308
101200199	Algeria, Sétif	99	1	5	6	0.2	11	0.59	0.17	7	0.59	11	195	U	195
538000399	Italy, Latina	99	1	4	6	0.15	11	0.39	0.15	6	0.46	7	160	inverted-U	160
575600199	Switzerland, Basel	99	1	6	5	0.37	12	0.93	0.18	8	0.96	6	151.351351351351	U	151.351351351351
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	0.22	12	0.53	0.22	8	1.46	9	140.909090909091	inverted-U	140.909090909091
470200027	Singapore: Malay	27	1	9	3	0.15	12	0.35	0.15	3	1.13	5	133.333333333333	inverted-U	133.333333333333
217000199	Colombia, Cali	99	1	12	1	0.28	12	0.62	0.28	1	2.09	4	121.428571428571	inverted-U	121.428571428571
441000899	Republic of Korea, Ulsan	99	1	4	9	0.4	12	0.88	0.4	9	0.88	12	120	rising	120
572400199	Spain, Tarragona	99	1	8	5	0.31	12	0.66	0.31	5	1.01	6	112.903225806452	inverted-U	112.903225806452
538000799	Italy, Romagna	99	1	6	6	0.34	11	0.67	0.34	6	0.67	11	97.0588235294118	erratic	97.0588235294118
575600899	Switzerland, Valais	99	1	6	7	0.4	12	0.78	0.4	7	0.92	9	95	inverted-U	95
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	3.37	12	0.19	0.08	8	3.37	5	-94.3620178041543	U	94.3620178041543
215200199	Chile, Valdivia	99	1	4	9	1.22	12	0.07	0.07	12	1.22	9	-94.2622950819672	erratic	94.2622950819672
603600199	Australian Capital Territory	99	1	6	5	0.28	11	0.54	0.28	5	0.87	9	92.8571428571428	inverted-U	92.8571428571428
238800199	Jamaica, Kingston and St Andrew	99	1	6	1	1.08	11	0.08	0.08	11	3.01	3	-92.5925925925926	inverted-U	92.5925925925926
415600399	China, Shanghai City	99	1	9	4	2.94	12	0.35	0.35	12	2.94	4	-88.0952380952381	falling	88.0952380952381
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	1.94	12	0.26	0.26	12	1.94	4	-86.5979381443299	erratic	86.5979381443299
435600699	India, Poona	99	1	7	4	2.65	12	0.37	0.37	12	2.65	4	-86.0377358490566	falling	86.0377358490566
415603099	China, Hong Kong	99	1	8	4	4.19	11	0.63	0.63	11	4.19	4	-84.964200477327	erratic	84.964200477327
441400099	Kuwait	99	1	6	5	0.95	12	0.15	0.14	8	0.95	5	-84.2105263157895	U	84.2105263157895
552800199	The Netherlands, Eindhoven	99	1	6	5	0.55	10	1.01	0.41	6	1.01	10	83.6363636363636	U	83.6363636363636
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	0.34	12	0.06	0.06	12	0.34	7	-82.3529411764706	erratic	82.3529411764706
225009199	France, Martinique	99	1	7	5	3.3	12	0.65	0.49	11	3.3	5	-80.3030303030303	U	80.3030303030303
435600899	India, Trivandrum	99	1	6	7	2.23	12	0.49	0.38	8	2.23	7	-78.0269058295964	U	78.0269058295964
504000099	Austria	99	1	4	9	0.49	12	0.87	0.49	9	0.87	12	77.5510204081633	rising	77.5510204081633
547000099	Malta	99	1	7	3	1.5	12	0.35	0.34	11	1.5	3	-76.6666666666667	U	76.6666666666667
684009921	USA, Hawaii: Japanese	21	1	12	1	1.45	12	0.37	0.37	12	1.45	1	-74.4827586206897	erratic	74.4827586206897
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	1.56	12	0.41	0	6	1.56	4	-73.7179487179487	U	73.7179487179487
312400899	Canada, Newfoundland and Labrador	99	1	12	1	2.25	12	0.6	0.42	6	2.25	1	-73.3333333333333	U	73.3333333333333
572400799	Spain, Zaragoza	99	1	7	3	0.56	9	0.97	0.4	5	0.97	9	73.2142857142857	U	73.2142857142857
439200499	Japan, Osaka Prefecture	99	1	10	3	3.35	12	0.9	0.64	10	3.35	3	-73.134328358209	U	73.134328358209
538002299	Italy, Genova	99	1	6	6	0.26	12	0.45	0.26	6	1.05	7	73.0769230769231	inverted-U	73.0769230769231
439200399	Japan, Nagasaki Prefecture	99	1	8	4	2.65	11	0.72	0.72	11	2.65	4	-72.8301886792453	erratic	72.8301886792453
527601199	Germany, North Rhine-Westphalia	99	1	4	9	0.51	12	0.88	0.51	9	0.88	12	72.5490196078431	rising	72.5490196078431
524600099	Finland	99	1	11	1	1.87	12	0.52	0.47	9	1.87	1	-72.192513368984	U	72.192513368984
