id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
439200299	Japan, Miyagi Prefecture	99	1	1	3.53	1.1	3.20909090909091	high
439202299	Japan,  Okayama Prefecture	99	1	2	4.31	0.955	4.5130890052356	high
439200299	Japan, Miyagi Prefecture	99	1	2	4.28	0.955	4.48167539267016	high
684009920	USA, Hawaii: Chinese	20	1	2	3.12	0.955	3.26701570680628	high
171600170	Zimbabwe, Bulawayo: African	70	1	2	0.11	0.955	0.115183246073298	low
684009945	USA, Hawaii: Hawaiian	45	1	3	4.22	0.995	4.24120603015075	high
439202299	Japan,  Okayama Prefecture	99	1	3	3.55	0.995	3.5678391959799	high
439200299	Japan, Miyagi Prefecture	99	1	3	3.35	0.995	3.36683417085427	high
439200499	Japan, Osaka Prefecture	99	1	3	3.35	0.995	3.36683417085427	high
156600199	Nigeria,  Ibadan	99	1	3	3.05	0.995	3.06532663316583	high
238800199	Jamaica, Kingston and St Andrew	99	1	3	3.01	0.995	3.0251256281407	high
470200027	Singapore: Malay	27	1	3	0.15	0.995	0.150753768844221	low
564200499	Romania,  County Timis	99	1	3	0.13	0.995	0.130653266331658	low
415603099	China, Hong Kong	99	1	4	4.19	0.97	4.31958762886598	high
684009920	USA, Hawaii: Chinese	20	1	4	3.61	0.97	3.72164948453608	high
207600899	Brazil, Sao Paulo	99	1	4	3.05	0.97	3.14432989690722	high
415600399	China, Shanghai City	99	1	4	2.94	0.97	3.03092783505155	high
441400026	Kuwait: Non-Kuwaitis	26	1	5	3.37	0.675	4.99259259259259	high
225009199	France, Martinique	99	1	5	3.3	0.675	4.88888888888889	high
534800399	Hungary, County Vas	99	1	5	2.15	0.675	3.18518518518518	high
435600599	India, Nagpur	99	1	5	2.04	0.675	3.02222222222222	high
684009945	USA, Hawaii: Hawaiian	45	1	6	2.15	0.7	3.07142857142857	high
435600899	India, Trivandrum	99	1	7	2.23	0.65	3.43076923076923	high
603600599	Australia, Tasmania	99	1	7	2.02	0.65	3.10769230769231	high
625009899	French Polynesia	99	1	7	2	0.65	3.07692307692308	high
312400799	Canada, Prince Edward Island	99	1	8	0.1	0.63	0.158730158730159	low
441400026	Kuwait: Non-Kuwaitis	26	1	8	0.08	0.63	0.126984126984127	low
435600999	India, Karunagappally	99	1	9	0.12	0.615	0.195121951219512	low
603600862	Australia, Northern Territory: Indigenous	62	1	10	2.94	0.59	4.98305084745763	high
312400499	Canada, Northwest Territories	99	1	10	1.86	0.59	3.15254237288136	high
436400399	Iran (Islamic Republic of), Golestan Province	99	1	10	0.03	0.59	0.0508474576271187	low
603600599	Australia, Tasmania	99	1	11	1.74	0.58	3	high
