country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	3	2	4.36	0.21	20.7619047619048	42	83	9
414	11	2	0.27	0.02	13.5	25	26	2
36	10	1	2.94	0.24	12.25	62	63	2
376	6	2	0.42	0.04	10.5	97	91	5
702	3	1	1.56	0.15	10.4	20	27	3
36	12	1	1.43	0.15	9.53333333333333	62	63	2
414	7	2	0.55	0.06	9.16666666666667	25	26	2
414	8	2	0.55	0.06	9.16666666666667	26	25	2
840	8	1	1.18	0.13	9.07692307692308	30	21	10
376	10	2	0.25	0.03	8.33333333333333	90	94	2
414	9	2	0.22	0.03	7.33333333333333	25	26	2
840	9	2	0.57	0.08	7.125	22	30	11
554	5	2	1.78	0.25	7.12	29	36	3
840	2	1	3.12	0.47	6.63829787234043	20	85	8
702	4	2	1.06	0.2	5.3	20	27	3
376	7	2	0.89	0.19	4.68421052631579	91	94	4
702	12	2	0.49	0.11	4.45454545454545	20	27	3
414	11	1	0.5	0.12	4.16666666666667	25	26	2
702	9	1	0.94	0.25	3.76	20	40	3
376	9	2	0.22	0.06	3.66666666666667	90	94	2
414	8	1	0.28	0.08	3.5	25	26	2
554	7	1	0.57	0.17	3.35294117647059	36	28	2
414	6	2	0.94	0.29	3.24137931034483	26	25	2
702	4	1	1.82	0.58	3.13793103448276	20	40	3
376	7	1	0.98	0.32	3.0625	96	94	4
554	2	1	2.39	0.79	3.0253164556962	28	36	2
702	10	1	0.92	0.31	2.96774193548387	20	27	3
414	5	2	0.55	0.19	2.89473684210526	26	25	2
702	8	1	1.04	0.36	2.88888888888889	20	40	3
554	3	1	0.86	0.3	2.86666666666667	36	28	2
702	6	1	0.95	0.34	2.79411764705882	20	40	3
554	10	1	0.93	0.34	2.73529411764706	28	29	2
554	6	1	1.95	0.77	2.53246753246753	28	36	2
702	7	2	1.02	0.41	2.48780487804878	27	20	3
702	12	1	0.87	0.35	2.48571428571429	20	27	3
702	6	2	0.81	0.33	2.45454545454545	27	40	3
414	6	1	0.88	0.36	2.44444444444444	26	25	2
376	3	2	0.71	0.32	2.21875	94	91	5
376	5	2	0.31	0.14	2.21428571428571	97	94	5
376	11	2	0.31	0.14	2.21428571428571	90	94	2
554	4	2	1.12	0.51	2.19607843137255	28	36	2
414	9	1	0.58	0.27	2.14814814814815	26	25	2
36	11	1	1.05	0.51	2.05882352941177	63	62	2
376	2	1	1.12	0.56	2	91	97	5
