CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	552800499	The Netherlands,  Three Provinces	1.24	0.31	4	1.48608993902439	male_heavy
1	312401299	Canada, Saskatchewan	0.55	0.99	0.555555555555556	1.48608993902439	female_heavy
1	217000199	Colombia, Cali	0.28	1.02	0.274509803921569	1.48608993902439	female_heavy
2	312401299	Canada, Saskatchewan	0.83	0.12	6.91666666666667	1.88235294117647	male_heavy
2	217000199	Colombia, Cali	0.76	1.18	0.64406779661017	1.88235294117647	female_heavy
3	238800199	Jamaica, Kingston and St Andrew	3.01	0.39	7.71794871794872	1.84705882352941	male_heavy
3	561601699	Poland,  Cieszyn And Nowy Sacz	0.72	0.18	4	1.84705882352941	male_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	0.31	0.38	0.81578947368421	1.84705882352941	female_heavy
3	312400399	Canada, Manitoba	0.43	0.57	0.754385964912281	1.84705882352941	female_heavy
3	217000199	Colombia, Cali	0.38	0.59	0.64406779661017	1.84705882352941	female_heavy
3	575600299	Switzerland, Geneva	0.57	0.95	0.6	1.84705882352941	female_heavy
4	525000399	France, Doubs	2.91	0.44	6.61363636363636	1.77932393450616	male_heavy
4	572400799	Spain, Zaragoza	0.68	0.11	6.18181818181818	1.77932393450616	male_heavy
4	582606699	United Kingdom, Scotland, North	0.72	0.12	6	1.77932393450616	male_heavy
4	312401499	Canada, Maritime Provinces	0.44	0.5	0.88	1.77932393450616	female_heavy
4	575600399	Switzerland, Neuchâtel	1.3	1.7	0.764705882352941	1.77932393450616	female_heavy
4	168600199	Senegal, Dakar	0.29	0.41	0.707317073170732	1.77932393450616	female_heavy
4	534800299	Hungary, County Szabolcs-Szatmar	0.38	0.58	0.655172413793104	1.77932393450616	female_heavy
4	564200199	Romania, County Cluj	0.42	0.65	0.646153846153846	1.77932393450616	female_heavy
5	575600399	Switzerland, Neuchâtel	1.68	0.11	15.2727272727273	1.85714285714286	male_heavy
5	603600599	Australia, Tasmania	1.83	0.12	15.25	1.85714285714286	male_heavy
5	603600399	Australia, Queensland	1.06	0.16	6.625	1.85714285714286	male_heavy
5	603600699	Australia, Victoria	1.38	0.23	6	1.85714285714286	male_heavy
5	312400799	Canada, Prince Edward Island	1.13	0.2	5.65	1.85714285714286	male_heavy
5	527603099	Germany, Saarland	0.64	0.13	4.92307692307692	1.85714285714286	male_heavy
5	572400199	Spain, Tarragona	0.31	0.07	4.42857142857143	1.85714285714286	male_heavy
5	225009199	France, Martinique	3.3	0.75	4.4	1.85714285714286	male_heavy
5	575600299	Switzerland, Geneva	0.36	0.4	0.9	1.85714285714286	female_heavy
5	572400799	Spain, Zaragoza	0.4	0.47	0.851063829787234	1.85714285714286	female_heavy
5	439200399	Japan, Nagasaki Prefecture	1.12	1.33	0.842105263157895	1.85714285714286	female_heavy
5	564200199	Romania, County Cluj	0.25	0.3	0.833333333333333	1.85714285714286	female_heavy
5	435600299	India, Bangalore	0.25	0.82	0.304878048780488	1.85714285714286	female_heavy
5	603600799	Australia, Western Australia	0.15	0.68	0.220588235294118	1.85714285714286	female_heavy
6	525000799	France, Tarn	1.28	0.11	11.6363636363636	2.01818181818182	male_heavy
6	561600699	Poland, Warsaw Rural	1.09	0.11	9.90909090909091	2.01818181818182	male_heavy
6	575600399	Switzerland, Neuchâtel	1.18	0.17	6.94117647058824	2.01818181818182	male_heavy
6	572400299	Spain, Granada	0.97	0.14	6.92857142857143	2.01818181818182	male_heavy
6	572400799	Spain, Zaragoza	0.68	0.1	6.8	2.01818181818182	male_heavy
6	575600299	Switzerland, Geneva	0.46	0.08	5.75	2.01818181818182	male_heavy
6	572400199	Spain, Tarragona	1.01	0.18	5.61111111111111	2.01818181818182	male_heavy
6	525000699	France, Somme	1.66	0.32	5.1875	2.01818181818182	male_heavy
6	312400399	Canada, Manitoba	0.8	0.16	5	2.01818181818182	male_heavy
6	552800299	The Netherlands, Maastricht	0.79	0.16	4.9375	2.01818181818182	male_heavy
6	146600199	Mali, Bamako	0.78	0.16	4.875	2.01818181818182	male_heavy
6	603600599	Australia, Tasmania	1.3	0.27	4.81481481481482	2.01818181818182	male_heavy
6	603600199	Australian Capital Territory	0.46	0.1	4.6	2.01818181818182	male_heavy
6	525000199	France, Bas-Rhin	0.93	0.21	4.42857142857143	2.01818181818182	male_heavy
6	575600199	Switzerland, Basel	0.96	0.22	4.36363636363636	2.01818181818182	male_heavy
6	562000199	Portugal, Vila Nova de Gaia	0.99	0.23	4.30434782608696	2.01818181818182	male_heavy
6	260400199	Peru, Trujillo	1.31	1.3	1.00769230769231	2.01818181818182	female_heavy
6	384001299	USA, Utah	0.44	0.46	0.956521739130435	2.01818181818182	female_heavy
6	312400799	Canada, Prince Edward Island	0.63	0.72	0.875	2.01818181818182	female_heavy
6	582606599	United Kingdom, Scotland, East	0.19	0.22	0.863636363636364	2.01818181818182	female_heavy
6	312400699	Canada, Nova Scotia	0.25	0.29	0.862068965517242	2.01818181818182	female_heavy
6	538002299	Italy, Genova	0.26	0.45	0.577777777777778	2.01818181818182	female_heavy
6	538006799	Italy, Trieste	0.29	0.54	0.537037037037037	2.01818181818182	female_heavy
7	538001399	Italy, Veneto	1.02	0.08	12.75	2.06666666666667	male_heavy
7	525000499	France, Haut-Rhin	1.52	0.18	8.44444444444445	2.06666666666667	male_heavy
7	572400299	Spain, Granada	0.84	0.11	7.63636363636364	2.06666666666667	male_heavy
7	525000399	France, Doubs	1.01	0.15	6.73333333333333	2.06666666666667	male_heavy
7	572400199	Spain, Tarragona	0.4	0.06	6.66666666666667	2.06666666666667	male_heavy
7	435600899	India, Trivandrum	2.23	0.35	6.37142857142857	2.06666666666667	male_heavy
7	538001299	Italy, Ferrara	0.7	0.11	6.36363636363636	2.06666666666667	male_heavy
7	439200699	Japan, Yamagata Prefecture	1.33	0.21	6.33333333333333	2.06666666666667	male_heavy
7	538000199	Italy, Tuscany	0.93	0.15	6.2	2.06666666666667	male_heavy
7	538000399	Italy, Latina	0.46	0.08	5.75	2.06666666666667	male_heavy
7	525000299	France, Calvados	1.45	0.27	5.37037037037037	2.06666666666667	male_heavy
7	572400699	Spain, Basque Country	0.95	0.18	5.27777777777778	2.06666666666667	male_heavy
7	525000199	France, Bas-Rhin	0.94	0.2	4.7	2.06666666666667	male_heavy
7	603600599	Australia, Tasmania	2.02	0.43	4.69767441860465	2.06666666666667	male_heavy
7	180000299	Uganda, Kyadondo County	1.54	0.33	4.66666666666667	2.06666666666667	male_heavy
7	203200299	Argentina, Concordia	1.68	0.36	4.66666666666667	2.06666666666667	male_heavy
7	575600699	Switzerland, Zurich	0.63	0.14	4.5	2.06666666666667	male_heavy
7	575600199	Switzerland, Basel	0.94	0.21	4.47619047619048	2.06666666666667	male_heavy
7	538006699	Italy, Ragusa	0.35	0.08	4.375	2.06666666666667	male_heavy
7	525000799	France, Tarn	1.08	0.25	4.32	2.06666666666667	male_heavy
7	125009099	France, La Réunion	1	0.24	4.16666666666667	2.06666666666667	male_heavy
7	582600899	UK, England, Merseyside and Cheshire	0.47	0.47	1	2.06666666666667	female_heavy
7	575600599	Switzerland, Vaud	0.45	0.47	0.957446808510638	2.06666666666667	female_heavy
7	384000999	USA, New Mexico	0.56	0.59	0.949152542372881	2.06666666666667	female_heavy
7	260400199	Peru, Trujillo	0.52	0.55	0.945454545454546	2.06666666666667	female_heavy
7	207600499	Brazil, Porto Alegre	0.27	0.29	0.931034482758621	2.06666666666667	female_heavy
7	384010299	USA, Louisiana, Central Region	0.32	0.35	0.914285714285714	2.06666666666667	female_heavy
7	384001299	USA, Utah	0.36	0.4	0.9	2.06666666666667	female_heavy
7	537200199	Ireland, Southern	0.26	0.3	0.866666666666667	2.06666666666667	female_heavy
7	101200199	Algeria, Sétif	0.17	0.23	0.739130434782609	2.06666666666667	female_heavy
7	538001099	Italy, Modena	0.14	0.21	0.666666666666667	2.06666666666667	female_heavy
7	504000799	Austria, Tyrol	0.21	0.34	0.617647058823529	2.06666666666667	female_heavy
7	575600899	Switzerland, Valais	0.4	0.81	0.493827160493827	2.06666666666667	female_heavy
8	538000599	Italy, Parma	0.63	0.01	63	1.94051724137931	male_heavy
8	538001199	Italy, Macerata Province	0.76	0.03	25.3333333333333	1.94051724137931	male_heavy
8	415600299	China, Qidong City	0.55	0.04	13.75	1.94051724137931	male_heavy
8	219200199	Cuba, Villa Clara	0.79	0.07	11.2857142857143	1.94051724137931	male_heavy
8	525000599	France, Isère	0.95	0.11	8.63636363636364	1.94051724137931	male_heavy
8	451200099	Oman: Omani	0.51	0.06	8.5	1.94051724137931	male_heavy
8	572400999	Spain, Albacete	0.42	0.05	8.4	1.94051724137931	male_heavy
8	561600199	Poland, Cracow	0.31	0.04	7.75	1.94051724137931	male_heavy
8	572401099	Spain, Girona	0.69	0.09	7.66666666666667	1.94051724137931	male_heavy
8	525000699	France, Somme	1.21	0.17	7.11764705882353	1.94051724137931	male_heavy
8	525000199	France, Bas-Rhin	1.45	0.21	6.90476190476191	1.94051724137931	male_heavy
8	575600899	Switzerland, Valais	0.89	0.13	6.84615384615385	1.94051724137931	male_heavy
8	125009099	France, La Réunion	1.05	0.16	6.5625	1.94051724137931	male_heavy
8	562000199	Portugal, Vila Nova de Gaia	1.15	0.2	5.75	1.94051724137931	male_heavy
8	538000899	Italy, Turin	0.8	0.14	5.71428571428571	1.94051724137931	male_heavy
8	525000299	France, Calvados	0.84	0.15	5.6	1.94051724137931	male_heavy
8	575600399	Switzerland, Neuchâtel	1.33	0.3	4.43333333333333	1.94051724137931	male_heavy
8	603600599	Australia, Tasmania	1.24	0.3	4.13333333333333	1.94051724137931	male_heavy
8	552800299	The Netherlands, Maastricht	0.94	0.23	4.08695652173913	1.94051724137931	male_heavy
8	312400899	Canada, Newfoundland and Labrador	0.55	0.6	0.916666666666667	1.94051724137931	female_heavy
8	476400599	Thailand, Lampang	0.5	0.58	0.862068965517242	1.94051724137931	female_heavy
8	435600599	India, Nagpur	0.54	0.65	0.830769230769231	1.94051724137931	female_heavy
8	217000199	Colombia, Cali	0.5	0.63	0.793650793650794	1.94051724137931	female_heavy
8	207600699	Brazil, Campinas	0.33	0.44	0.75	1.94051724137931	female_heavy
8	415600799	China, Jiashan County	0.24	0.32	0.75	1.94051724137931	female_heavy
8	441400099	Kuwait	0.14	0.19	0.736842105263158	1.94051724137931	female_heavy
8	458600199	Pakistan, South Karachi	0.17	0.34	0.5	1.94051724137931	female_heavy
8	603600199	Australian Capital Territory	0.3	0.61	0.491803278688525	1.94051724137931	female_heavy
8	575601199	Switzerland, Graubünden and Glarus	0.22	0.46	0.478260869565217	1.94051724137931	female_heavy
8	221800199	Ecuador, Quito	0.31	0.66	0.46969696969697	1.94051724137931	female_heavy
8	572401399	Spain, Cuenca	0.21	0.48	0.4375	1.94051724137931	female_heavy
8	203200199	Argentina, Bahia Blanca	0.21	0.49	0.428571428571429	1.94051724137931	female_heavy
8	535200099	Iceland	0.36	0.99	0.363636363636364	1.94051724137931	female_heavy
8	312400799	Canada, Prince Edward Island	0.1	0.36	0.277777777777778	1.94051724137931	female_heavy
9	575601199	Switzerland, Graubünden and Glarus	1.46	0.1	14.6	2.03703703703704	male_heavy
9	525001799	France, Vendée	1.55	0.13	11.9230769230769	2.03703703703704	male_heavy
9	538000199	Italy, Tuscany	0.82	0.07	11.7142857142857	2.03703703703704	male_heavy
9	538002899	Italy, Sondrio	1.02	0.12	8.5	2.03703703703704	male_heavy
9	525001499	France, Loire-Atlantique	1.6	0.2	8	2.03703703703704	male_heavy
9	538000599	Italy, Parma	1.06	0.14	7.57142857142857	2.03703703703704	male_heavy
9	525000399	France, Doubs	0.94	0.13	7.23076923076923	2.03703703703704	male_heavy
9	538001799	Italy, Biella	1.36	0.19	7.15789473684211	2.03703703703704	male_heavy
9	215200199	Chile, Valdivia	1.22	0.18	6.77777777777778	2.03703703703704	male_heavy
9	525000499	France, Haut-Rhin	0.96	0.15	6.4	2.03703703703704	male_heavy
9	525000699	France, Somme	1.13	0.18	6.27777777777778	2.03703703703704	male_heavy
9	575601099	Switzerland, Ticino	0.87	0.14	6.21428571428571	2.03703703703704	male_heavy
9	505600499	Belgium, Antwerp	0.73	0.12	6.08333333333333	2.03703703703704	male_heavy
9	575600499	Switzerland, East	0.74	0.13	5.69230769230769	2.03703703703704	male_heavy
9	479200299	Turkey, Antalya	0.62	0.13	4.76923076923077	2.03703703703704	male_heavy
9	538001099	Italy, Modena	0.52	0.11	4.72727272727273	2.03703703703704	male_heavy
9	603600199	Australian Capital Territory	0.87	0.21	4.14285714285714	2.03703703703704	male_heavy
9	525000199	France, Bas-Rhin	1.24	0.3	4.13333333333333	2.03703703703704	male_heavy
9	415602499	China, Guangzhou City	0.73	0.72	1.01388888888889	2.03703703703704	female_heavy
9	476400599	Thailand, Lampang	0.39	0.42	0.928571428571429	2.03703703703704	female_heavy
9	582600899	UK, England, Merseyside and Cheshire	0.34	0.37	0.918918918918919	2.03703703703704	female_heavy
9	538001699	Italy, Naples South	0.4	0.46	0.869565217391304	2.03703703703704	female_heavy
9	445800299	Malaysia, Penang	0.42	0.5	0.84	2.03703703703704	female_heavy
9	312400599	Canada, New Brunswick	0.39	0.47	0.829787234042553	2.03703703703704	female_heavy
9	217000199	Colombia, Cali	0.51	0.69	0.739130434782609	2.03703703703704	female_heavy
9	221800199	Ecuador, Quito	0.53	0.77	0.688311688311688	2.03703703703704	female_heavy
9	218800099	Costa Rica	0.2	0.31	0.645161290322581	2.03703703703704	female_heavy
9	575600399	Switzerland, Neuchâtel	0.17	0.39	0.435897435897436	2.03703703703704	female_heavy
9	178800199	Tunisia, Centre, Sousse	0.16	0.37	0.432432432432432	2.03703703703704	female_heavy
9	435600999	India, Karunagappally	0.12	0.31	0.387096774193548	2.03703703703704	female_heavy
10	572401399	Spain, Cuenca	0.62	0.05	12.4	1.96824596774194	male_heavy
10	572401499	Spain, La Rioja	0.96	0.08	12	1.96824596774194	male_heavy
10	538001599	Italy, Sassari	0.6	0.05	12	1.96824596774194	male_heavy
10	238800199	Jamaica, Kingston and St Andrew	0.43	0.05	8.6	1.96824596774194	male_heavy
10	572400999	Spain, Albacete	0.66	0.09	7.33333333333333	1.96824596774194	male_heavy
10	504000899	Austria, Vorarlberg	1.26	0.18	7	1.96824596774194	male_heavy
10	525001499	France, Loire-Atlantique	1.46	0.22	6.63636363636364	1.96824596774194	male_heavy
10	538003499	Italy, South Tyrol	1.17	0.19	6.1578947368421	1.96824596774194	male_heavy
10	525000699	France, Somme	1.26	0.21	6	1.96824596774194	male_heavy
10	572400599	Spain, Asturias	1.45	0.25	5.8	1.96824596774194	male_heavy
10	538002999	Italy, Syracuse	0.37	0.07	5.28571428571429	1.96824596774194	male_heavy
10	538000499	Italy, Varese	0.91	0.18	5.05555555555556	1.96824596774194	male_heavy
10	143400199	Libya, Benghazi	0.4	0.08	5	1.96824596774194	male_heavy
10	207601199	Brazil, Aracaju	0.55	0.12	4.58333333333333	1.96824596774194	male_heavy
10	525000499	France, Haut-Rhin	0.86	0.19	4.52631578947368	1.96824596774194	male_heavy
10	523300099	Estonia	0.99	0.23	4.30434782608696	1.96824596774194	male_heavy
10	445800299	Malaysia, Penang	0.68	0.16	4.25	1.96824596774194	male_heavy
10	538006699	Italy, Ragusa	0.51	0.12	4.25	1.96824596774194	male_heavy
