id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
415600299	China, Qidong City	99	1	6	6	0.13	12	1.84	0.13	6	1.84	12	1315.38461538462	rising	1315.38461538462
101200199	Algeria, Sétif	99	1	5	6	1.08	11	5.28	1.08	6	6.29	10	388.888888888889	inverted-U	388.888888888889
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	0.38	11	1.59	0.38	3	4.17	4	318.421052631579	inverted-U	318.421052631579
180000299	Uganda, Kyadondo County	99	1	7	1	1.07	12	3.24	0.82	7	3.24	12	202.803738317757	U	202.803738317757
312401299	Canada, Saskatchewan	99	1	12	1	0.86	12	2.33	0.86	1	4.53	5	170.93023255814	inverted-U	170.93023255814
384010030	Usa, California, Alameda County: Black	30	1	5	2	4.9	6	12.78	4.9	2	16.14	3	160.816326530612	inverted-U	160.816326530612
534800399	Hungary, County Vas	99	1	5	2	5.26	6	13.12	5.26	2	13.12	6	149.429657794677	erratic	149.429657794677
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	4.77	6	11.06	4.77	2	11.06	6	131.865828092243	rising	131.865828092243
312400499	Canada, Northwest Territories	99	1	7	5	1.83	11	3.53	1.3	10	5.51	9	92.896174863388	U	92.896174863388
655400029	New Zealand: Pacific peoples	29	1	4	5	9.72	12	0.97	0.97	12	9.72	5	-90.0205761316872	falling	90.0205761316872
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	5.38	12	0.88	0.88	12	5.38	4	-83.6431226765799	erratic	83.6431226765799
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	9.22	12	1.62	1.26	10	9.76	6	-82.4295010845987	U	82.4295010845987
415603099	China, Hong Kong	99	1	8	4	15.06	11	2.88	2.88	11	15.06	4	-80.8764940239044	falling	80.8764940239044
435600699	India, Poona	99	1	7	4	17.44	12	3.51	3.51	12	17.44	4	-79.8738532110092	falling	79.8738532110092
435600399	India, Mumbai	99	1	11	2	18.2	12	3.74	3.74	12	18.2	2	-79.4505494505495	falling	79.4505494505495
603600199	Australian Capital Territory	99	1	6	5	4.96	11	1.04	1.04	11	5.04	6	-79.0322580645161	inverted-U	79.0322580645161
538000499	Italy, Varese	99	1	9	4	20.32	12	4.53	4.53	12	20.32	4	-77.7066929133858	falling	77.7066929133858
384000210	USA, California, San Francisco Bay Area: White	10	1	7	3	9.64	12	2.22	2.22	12	9.64	3	-76.9709543568465	erratic	76.9709543568465
524600099	Finland	99	1	11	1	8.49	12	1.97	1.97	12	8.85	3	-76.7962308598351	inverted-U	76.7962308598351
225009199	France, Martinique	99	1	7	5	9.05	12	2.11	2.11	12	9.05	5	-76.6850828729282	falling	76.6850828729282
525000399	France, Doubs	99	1	9	4	22.02	12	5.25	5.25	12	22.02	4	-76.158038147139	erratic	76.158038147139
476400199	Thailand, Chiang Mai	99	1	7	6	6.8	12	1.74	1.74	12	6.8	6	-74.4117647058824	falling	74.4117647058824
384000330	USA, California, Los Angeles County: Black	30	1	9	4	11.46	12	3.18	3.18	12	11.46	4	-72.2513089005236	erratic	72.2513089005236
525000699	France, Somme	99	1	7	6	17.53	12	4.99	4.99	12	17.53	6	-71.5345122646891	erratic	71.5345122646891
312400299	Canada, British Columbia	99	1	10	3	7.46	12	2.14	2.14	12	7.46	3	-71.313672922252	falling	71.313672922252
217000199	Colombia, Cali	99	1	12	1	9.6	12	2.78	2.78	12	9.6	1	-71.0416666666667	erratic	71.0416666666667
470200027	Singapore: Malay	27	1	9	3	1.34	12	2.28	1.14	5	3.62	4	70.1492537313433	U	70.1492537313433
575600299	Switzerland, Geneva	99	1	10	3	11.11	12	3.32	3.32	12	12.32	4	-70.1170117011701	inverted-U	70.1170117011701
384000230	USA, California, San Francisco Bay Area: Black	30	1	10	3	14.97	12	4.51	4.51	12	14.97	3	-69.873079492318	erratic	69.873079492318
384000510	USA, Georgia, Atlanta: White	10	1	9	4	9.14	12	2.86	2.86	12	9.14	4	-68.7089715536105	falling	68.7089715536105
684009920	USA, Hawaii: Chinese	20	1	11	2	1.19	12	0.38	0.38	12	5.96	3	-68.0672268907563	inverted-U	68.0672268907563
384001399	USA, Washington, Seattle	99	1	9	4	7.8	12	2.52	2.52	12	7.8	4	-67.6923076923077	falling	67.6923076923077
476400599	Thailand, Lampang	99	1	5	8	3.53	12	1.16	1.16	12	3.53	8	-67.1388101983003	falling	67.1388101983003
572400499	Spain, Navarra	99	1	9	4	20.43	12	6.76	6.76	12	20.43	4	-66.9114047968674	falling	66.9114047968674
384001299	USA, Utah	99	1	10	3	5.45	12	1.82	1.8	10	5.45	3	-66.605504587156	U	66.605504587156
525000199	France, Bas-Rhin	99	1	9	4	13.88	12	4.64	4.64	12	13.88	4	-66.5706051873199	falling	66.5706051873199
684009921	USA, Hawaii: Japanese	21	1	12	1	4.06	12	1.36	1.36	12	6.21	2	-66.5024630541872	inverted-U	66.5024630541872
437600099	Israel	99	1	11	1	10.6	12	3.67	3.67	12	10.6	1	-65.377358490566	erratic	65.377358490566
561600699	Poland, Warsaw Rural	99	1	4	2	6.68	6	11.04	6.68	2	12.86	4	65.2694610778443	inverted-U	65.2694610778443
538001399	Italy, Veneto	99	1	6	7	16.44	12	5.71	5.71	12	16.44	7	-65.2676399026764	falling	65.2676399026764
