id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
180000299	Uganda, Kyadondo County	99	1	7	1	1.07	12	3.24	0.82	7	3.24	12	202.803738317757	U	202.803738317757
312400499	Canada, Northwest Territories	99	1	7	5	1.83	11	3.53	1.3	10	5.51	9	92.896174863388	U	92.896174863388
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	9.22	12	1.62	1.26	10	9.76	6	-82.4295010845987	U	82.4295010845987
470200027	Singapore: Malay	27	1	9	3	1.34	12	2.28	1.14	5	3.62	4	70.1492537313433	U	70.1492537313433
384001299	USA, Utah	99	1	10	3	5.45	12	1.82	1.8	10	5.45	3	-66.605504587156	U	66.605504587156
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	3.74	10	1.32	0.46	5	3.74	4	-64.7058823529412	U	64.7058823529412
684009923	USA, Hawaii: Filipino	23	1	11	2	4.3	12	1.52	1.18	3	4.3	2	-64.6511627906977	U	64.6511627906977
441400099	Kuwait	99	1	6	5	5.05	12	1.87	1.75	10	5.05	5	-62.970297029703	U	62.970297029703
603600499	Australia, South Australia	99	1	9	4	6.57	12	2.45	2.31	11	6.57	4	-62.7092846270929	U	62.7092846270929
415600399	China, Shanghai City	99	1	9	4	5.27	12	2.3	2.29	11	5.27	4	-56.3567362428843	U	56.3567362428843
470200040	Singapore: Indian	40	1	9	3	6.8	12	3.15	2.37	9	11.4	4	-53.6764705882353	U	53.6764705882353
538000199	Italy, Tuscany	99	1	7	6	14.21	12	6.7	5.76	11	14.21	6	-52.8501055594652	U	52.8501055594652
439200499	Japan, Osaka Prefecture	99	1	10	3	6.86	12	3.35	2.42	9	6.86	3	-51.1661807580175	U	51.1661807580175
575600399	Switzerland, Neuchâtel	99	1	8	4	11.15	11	5.49	3.43	10	11.15	4	-50.762331838565	U	50.762331838565
384000530	USA, Georgia, Atlanta: Black	30	1	9	4	11.17	12	5.51	4.69	11	11.46	5	-50.6714413607878	U	50.6714413607878
575601199	Switzerland, Graubünden and Glarus	99	1	5	8	5.61	12	2.86	2.78	11	5.61	8	-49.0196078431373	U	49.0196078431373
263000099	USA, Puerto Rico	99	1	11	1	8.21	12	4.31	4.29	11	9.06	4	-47.5030450669915	U	47.5030450669915
404800046	Bahrain: Bahrainis	46	1	4	9	4.66	12	2.52	2.43	11	4.66	9	-45.9227467811159	U	45.9227467811159
525000799	France, Tarn	99	1	7	6	9.35	12	5.26	5	10	9.35	6	-43.7433155080214	U	43.7433155080214
575600199	Switzerland, Basel	99	1	6	5	4.46	12	2.61	2.44	10	5.08	6	-41.4798206278027	U	41.4798206278027
