id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
435600399	India, Mumbai	99	1	2	18.2	5.11	3.56164383561644	high
470200027	Singapore: Malay	27	1	3	1.34	6.89	0.194484760522496	low
684009923	USA, Hawaii: Filipino	23	1	3	1.18	6.89	0.171262699564586	low
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	3	0.38	6.89	0.0551523947750363	low
207600899	Brazil, Sao Paulo	99	1	5	17.79	5.555	3.2025202520252	high
572400499	Spain, Navarra	99	1	5	17.2	5.555	3.0963096309631	high
384000321	USA, California, Los Angeles County: Japanese	21	1	5	0.46	5.555	0.0828082808280828	low
572400699	Spain, Basque Country	99	1	6	20.36	5.78	3.52249134948097	high
572400499	Spain, Navarra	99	1	6	17.84	5.78	3.08650519031142	high
525000699	France, Somme	99	1	6	17.53	5.78	3.03287197231834	high
101200199	Algeria, Sétif	99	1	6	1.08	5.78	0.186851211072664	low
146600199	Mali, Bamako	99	1	6	0.93	5.78	0.160899653979239	low
384000321	USA, California, Los Angeles County: Japanese	21	1	6	0.93	5.78	0.160899653979239	low
127000099	The Gambia	99	1	6	0.73	5.78	0.126297577854671	low
415600299	China, Qidong City	99	1	6	0.13	5.78	0.0224913494809689	low
572400699	Spain, Basque Country	99	1	7	18.18	5.775	3.14805194805195	high
384000321	USA, California, Los Angeles County: Japanese	21	1	7	1.09	5.775	0.188744588744589	low
470400199	Viet Nam, Hanoi	99	1	7	0.83	5.775	0.143722943722944	low
180000299	Uganda, Kyadondo County	99	1	7	0.82	5.775	0.141991341991342	low
384000942	USA, New Mexico: American Indian	42	1	7	0.79	5.775	0.136796536796537	low
415600299	China, Qidong City	99	1	7	0.67	5.775	0.116017316017316	low
572400799	Spain, Zaragoza	99	1	8	17.96	5.53	3.24773960216998	high
384000730	USA, Louisiana, New Orleans: Black	30	1	8	17.27	5.53	3.12296564195298	high
415600799	China, Jiashan County	99	1	8	1.01	5.53	0.182640144665461	low
146600199	Mali, Bamako	99	1	8	0.91	5.53	0.164556962025316	low
415600299	China, Qidong City	99	1	8	0.78	5.53	0.141048824593128	low
384000942	USA, New Mexico: American Indian	42	1	8	0.58	5.53	0.104882459312839	low
127000099	The Gambia	99	1	8	0.18	5.53	0.0325497287522604	low
415600799	China, Jiashan County	99	1	9	1.06	5.41	0.195933456561922	low
384000321	USA, California, Los Angeles County: Japanese	21	1	9	1.05	5.41	0.194085027726433	low
562000599	Portugal, Azores	99	1	10	14.95	4.825	3.09844559585492	high
384005829	USA, Illinois: Asian and Pacific Islander	29	1	10	0.94	4.825	0.194818652849741	low
384005529	USA, Florida: Asian and Pacific Islander	29	1	10	0.9	4.825	0.186528497409326	low
415602099	China, Haining City	99	1	10	0.87	4.825	0.180310880829016	low
384006029	USA, Massachusetts: Asian and Pacific Islander	29	1	10	0.83	4.825	0.172020725388601	low
384007129	USA, Texas: Asian and Pacific Islander	29	1	10	0.61	4.825	0.126424870466321	low
384006229	USA, Michigan: Asian and Pacific Islander	29	1	10	0.58	4.825	0.12020725388601	low
145400199	Malawi, Blantyre	99	1	10	0.55	4.825	0.113989637305699	low
562000599	Portugal, Azores	99	1	11	17.31	4.29	4.03496503496504	high
415609399	China, Xianju County	99	1	11	0.83	4.29	0.193473193473193	low
384000221	USA, California, San Francisco Bay Area: Japanese	21	1	11	0.82	4.29	0.191142191142191	low
215200299	Chile, Bío Bío Province	99	1	11	0.71	4.29	0.165501165501166	low
221800499	Ecuador, Loja	99	1	11	0.59	4.29	0.137529137529138	low
415609999	China, Yanshi City	99	1	11	0.59	4.29	0.137529137529138	low
