CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	655400099	New Zealand	4.42	0.12	36.8333333333333	9.94496855345912	male_heavy
1	557800099	Norway	2.01	0.07	28.7142857142857	9.94496855345912	male_heavy
1	263000099	USA, Puerto Rico	8.21	1.75	4.69142857142857	9.94496855345912	female_heavy
1	439200299	Japan, Miyagi Prefecture	4.28	0.95	4.50526315789474	9.94496855345912	female_heavy
1	684009999	USA, Hawaii	4.65	1.47	3.16326530612245	9.94496855345912	female_heavy
1	312400599	Canada, New Brunswick	4.1	1.34	3.05970149253731	9.94496855345912	female_heavy
1	312400899	Canada, Newfoundland and Labrador	3.77	1.24	3.04032258064516	9.94496855345912	female_heavy
1	150800399	Mozambique,  Lourenco Marques	1.39	1.56	0.891025641025641	9.94496855345912	female_heavy
2	564200399	Romania,  Banat Region	13.62	0.22	61.9090909090909	8.8	male_heavy
2	534800399	Hungary, County Vas	5.26	0.13	40.4615384615385	8.8	male_heavy
2	534800199	Hungary,  Miskolc	8.44	0.27	31.2592592592593	8.8	male_heavy
2	561600699	Poland, Warsaw Rural	6.68	0.31	21.5483870967742	8.8	male_heavy
2	524600099	Finland	8.17	0.39	20.948717948718	8.8	male_heavy
2	527600199	Germany, Eastern States	5.03	0.25	20.12	8.8	male_heavy
2	655400099	New Zealand	4.54	0.23	19.7391304347826	8.8	male_heavy
2	156600199	Nigeria,  Ibadan	1.6	0.89	1.79775280898876	8.8	female_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	6.7	0.2	33.5	9.03333333333333	male_heavy
3	561601499	Poland, Katowice District	12.77	0.39	32.7435897435897	9.03333333333333	male_heavy
3	527600199	Germany, Eastern States	6.01	0.27	22.2592592592593	9.03333333333333	male_heavy
3	572400799	Spain, Zaragoza	15.17	0.73	20.7808219178082	9.03333333333333	male_heavy
3	570500099	Slovenia	9.29	0.45	20.6444444444444	9.03333333333333	male_heavy
3	564200499	Romania,  County Timis	10.12	0.53	19.0943396226415	9.03333333333333	male_heavy
3	524600099	Finland	8.85	0.48	18.4375	9.03333333333333	male_heavy
3	561600199	Poland, Cracow	9.94	0.54	18.4074074074074	9.03333333333333	male_heavy
3	217000199	Colombia, Cali	9	2.16	4.16666666666667	9.03333333333333	female_heavy
3	156600199	Nigeria,  Ibadan	1.55	0.53	2.92452830188679	9.03333333333333	female_heavy
4	534800299	Hungary, County Szabolcs-Szatmar	8.24	0.06	137.333333333333	8.98755186721992	male_heavy
4	525000199	France, Bas-Rhin	13.88	0.12	115.666666666667	8.98755186721992	male_heavy
4	534800399	Hungary, County Vas	11.87	0.15	79.1333333333333	8.98755186721992	male_heavy
4	572400799	Spain, Zaragoza	15.94	0.21	75.9047619047619	8.98755186721992	male_heavy
4	572400499	Spain, Navarra	20.43	0.28	72.9642857142857	8.98755186721992	male_heavy
4	561600699	Poland, Warsaw Rural	12.86	0.22	58.4545454545455	8.98755186721992	male_heavy
4	575600399	Switzerland, Neuchâtel	11.15	0.31	35.9677419354839	8.98755186721992	male_heavy
4	538000499	Italy, Varese	20.32	0.66	30.7878787878788	8.98755186721992	male_heavy
4	570300099	Slovakia	9.49	0.38	24.9736842105263	8.98755186721992	male_heavy
4	561600399	Poland, Nowy Sacz	8.94	0.39	22.9230769230769	8.98755186721992	male_heavy
4	561601399	Poland, Cieszyn	8.94	0.39	22.9230769230769	8.98755186721992	male_heavy
4	603600499	Australia, South Australia	6.57	0.33	19.9090909090909	8.98755186721992	male_heavy
4	527600199	Germany, Eastern States	6.48	0.33	19.6363636363636	8.98755186721992	male_heavy
4	524600099	Finland	6.85	0.36	19.0277777777778	8.98755186721992	male_heavy
4	570500099	Slovenia	9.28	0.49	18.9387755102041	8.98755186721992	male_heavy
4	582606599	United Kingdom, Scotland, East	5.42	1.45	3.73793103448276	8.98755186721992	female_heavy
5	572400499	Spain, Navarra	17.2	0.17	101.176470588235	8.03066378066378	male_heavy
5	572400199	Spain, Tarragona	10.56	0.15	70.4	8.03066378066378	male_heavy
5	225009199	France, Martinique	9.05	0.16	56.5625	8.03066378066378	male_heavy
5	572400799	Spain, Zaragoza	15.54	0.31	50.1290322580645	8.03066378066378	male_heavy
5	534800399	Hungary, County Vas	8.98	0.19	47.2631578947368	8.03066378066378	male_heavy
5	603600199	Australian Capital Territory	4.96	0.14	35.4285714285714	8.03066378066378	male_heavy
5	538000499	Italy, Varese	16.21	0.52	31.1730769230769	8.03066378066378	male_heavy
5	575600699	Switzerland, Zurich	3.68	0.12	30.6666666666667	8.03066378066378	male_heavy
5	525000599	France, Isère	11.73	0.39	30.0769230769231	8.03066378066378	male_heavy
5	525000399	France, Doubs	12.58	0.42	29.952380952381	8.03066378066378	male_heavy
5	525000299	France, Calvados	10.34	0.35	29.5428571428571	8.03066378066378	male_heavy
5	570300099	Slovakia	10.53	0.37	28.4594594594595	8.03066378066378	male_heavy
5	582606699	United Kingdom, Scotland, North	3.79	0.14	27.0714285714286	8.03066378066378	male_heavy
5	525000199	France, Bas-Rhin	12.36	0.5	24.72	8.03066378066378	male_heavy
5	252809999	Netherlands, Antilles	4.22	0.18	23.4444444444444	8.03066378066378	male_heavy
5	564200199	Romania, County Cluj	8.08	0.35	23.0857142857143	8.03066378066378	male_heavy
5	575600199	Switzerland, Basel	4.46	0.2	22.3	8.03066378066378	male_heavy
5	538006699	Italy, Ragusa	10.73	0.51	21.0392156862745	8.03066378066378	male_heavy
5	552800199	The Netherlands, Eindhoven	7.7	0.38	20.2631578947368	8.03066378066378	male_heavy
5	561600399	Poland, Nowy Sacz	12.29	0.65	18.9076923076923	8.03066378066378	male_heavy
5	527600199	Germany, Eastern States	5.2	0.28	18.5714285714286	8.03066378066378	male_heavy
5	603600799	Australia, Western Australia	4.71	0.29	16.2413793103448	8.03066378066378	male_heavy
5	312400599	Canada, New Brunswick	6.15	1.56	3.94230769230769	8.03066378066378	female_heavy
5	312400799	Canada, Prince Edward Island	4.56	1.25	3.648	8.03066378066378	female_heavy
5	582606799	United Kingdom, Scotland, N-E	3.54	0.98	3.61224489795918	8.03066378066378	female_heavy
5	582606599	United Kingdom, Scotland, East	4.05	1.2	3.375	8.03066378066378	female_heavy
5	435600299	India, Bangalore	5	1.52	3.28947368421053	8.03066378066378	female_heavy
5	535200099	Iceland	3.66	1.21	3.02479338842975	8.03066378066378	female_heavy
5	415600499	China, Tianjin	3.44	2.16	1.59259259259259	8.03066378066378	female_heavy
6	572400299	Spain, Granada	16.15	0.19	85	9.3030303030303	male_heavy
6	572400499	Spain, Navarra	17.84	0.25	71.36	9.3030303030303	male_heavy
6	572400699	Spain, Basque Country	20.36	0.32	63.625	9.3030303030303	male_heavy
6	562000199	Portugal, Vila Nova de Gaia	10.68	0.2	53.4	9.3030303030303	male_heavy
6	572400799	Spain, Zaragoza	16.06	0.33	48.6666666666667	9.3030303030303	male_heavy
6	511200099	Belarus	9.06	0.2	45.3	9.3030303030303	male_heavy
6	572400399	Spain, Murcia	15.25	0.36	42.3611111111111	9.3030303030303	male_heavy
6	572400199	Spain, Tarragona	10.16	0.26	39.0769230769231	9.3030303030303	male_heavy
6	525000699	France, Somme	17.53	0.52	33.7115384615385	9.3030303030303	male_heavy
6	534800399	Hungary, County Vas	13.12	0.4	32.8	9.3030303030303	male_heavy
6	525000299	France, Calvados	12.49	0.4	31.225	9.3030303030303	male_heavy
6	564300199	Russian Federation, Saint Petersburg	8.33	0.29	28.7241379310345	9.3030303030303	male_heavy
6	538000499	Italy, Varese	14.88	0.54	27.5555555555556	9.3030303030303	male_heavy
6	525000199	France, Bas-Rhin	12.8	0.51	25.0980392156863	9.3030303030303	male_heavy
6	439200199	Japan, Hiroshima Prefecture	4.94	0.2	24.7	9.3030303030303	male_heavy
6	603600199	Australian Capital Territory	5.04	0.21	24	9.3030303030303	male_heavy
6	525000599	France, Isère	11.55	0.49	23.5714285714286	9.3030303030303	male_heavy
6	538000899	Italy, Turin	14.71	0.64	22.984375	9.3030303030303	male_heavy
6	570300099	Slovakia	11.02	0.48	22.9583333333333	9.3030303030303	male_heavy
6	538000399	Italy, Latina	7.53	0.33	22.8181818181818	9.3030303030303	male_heavy
6	439200599	Japan, Saga Prefecture	2.76	0.13	21.2307692307692	9.3030303030303	male_heavy
6	561600499	Poland, Opole	14.85	0.71	20.9154929577465	9.3030303030303	male_heavy
