id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
180000299	Uganda, Kyadondo County	99	1	7	1	0.94	12	4.26	0.94	1	5.25	10	353.191489361702	inverted-U	353.191489361702
534800299	Hungary, County Szabolcs-Szatmar	99	1	5	2	17.92	6	69.57	17.92	2	69.57	6	288.225446428571	rising	288.225446428571
101200199	Algeria, Sétif	99	1	5	6	6.43	11	19.83	6.43	6	19.9	10	208.398133748056	inverted-U	208.398133748056
470200020	Singapore: Chinese	20	1	10	1	12.11	12	33.5	12.11	1	93.35	4	176.6308835673	inverted-U	176.6308835673
439200299	Japan, Miyagi Prefecture	99	1	12	1	18.3	12	44.41	18.3	1	44.41	12	142.677595628415	erratic	142.677595628415
561600699	Poland, Warsaw Rural	99	1	4	2	27.88	6	65.31	27.88	2	65.31	6	134.253945480631	rising	134.253945480631
435600299	India, Bangalore	99	1	7	5	5.94	12	13.5	5.94	5	13.5	12	127.272727272727	erratic	127.272727272727
534800399	Hungary, County Vas	99	1	5	2	30	6	65.45	30	2	65.45	6	118.166666666667	erratic	118.166666666667
435600499	India, Chennai	99	1	8	5	5.75	12	12.15	5.75	5	12.64	7	111.304347826087	inverted-U	111.304347826087
470200027	Singapore: Malay	27	1	9	3	17.83	12	37.25	17.83	3	37.25	12	108.917554683118	erratic	108.917554683118
557800099	Norway	99	1	12	1	16.86	12	33.19	16.86	1	36.66	10	96.8564650059312	inverted-U	96.8564650059312
312400599	Canada, New Brunswick	99	1	10	1	25.49	12	50.15	25.49	1	74.05	6	96.7438211063162	inverted-U	96.7438211063162
384010030	Usa, California, Alameda County: Black	30	1	5	2	55.27	6	106.8	55.27	2	106.8	6	93.2332187443459	rising	93.2332187443459
561600199	Poland, Cracow	99	1	9	2	30.54	10	58.67	30.54	2	100.63	4	92.1087098886706	inverted-U	92.1087098886706
535200099	Iceland	99	1	10	1	15.91	12	29.36	15.91	1	36.06	10	84.5380263984915	inverted-U	84.5380263984915
561600599	Poland, Warsaw City	99	1	8	2	26.61	9	48.2	26.61	2	93.57	4	81.1349116873356	inverted-U	81.1349116873356
435600899	India, Trivandrum	99	1	6	7	78.26	12	17.81	9.01	8	78.26	7	-77.2425249169435	U	77.2425249169435
435600799	India, Barshi, Paranda, and Bhum	99	1	4	7	1.26	12	2.23	1.26	7	2.35	11	76.984126984127	inverted-U	76.984126984127
415601499	China, Zhongshan City	99	1	4	9	33.96	12	59.63	33.96	9	59.63	12	75.5889281507656	rising	75.5889281507656
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	34.03	12	8.46	7.88	11	44.91	6	-75.1395827211284	U	75.1395827211284
384000210	USA, California, San Francisco Bay Area: White	10	1	7	3	80.97	12	22.54	22.54	12	86.82	4	-72.1625293318513	inverted-U	72.1625293318513
218800099	Costa Rica	99	1	8	5	17.78	12	5.63	5.63	12	17.78	5	-68.3352080989876	erratic	68.3352080989876
476400499	Thailand, Songkhla	99	1	5	8	15.05	12	24.93	15.05	8	25.25	10	65.6478405315615	inverted-U	65.6478405315615
524600099	Finland	99	1	11	1	83.25	12	28.9	28.9	12	100.83	3	-65.2852852852853	inverted-U	65.2852852852853
384000510	USA, Georgia, Atlanta: White	10	1	9	4	92.12	12	32.21	32.21	12	92.12	4	-65.034737299175	falling	65.034737299175
312400899	Canada, Newfoundland and Labrador	99	1	12	1	27.17	12	44.78	27.17	1	58.21	6	64.8141332351859	inverted-U	64.8141332351859
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	113.61	12	41.31	41.31	12	113.61	4	-63.6387641932928	erratic	63.6387641932928
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	81.39	11	29.86	29.86	11	81.39	3	-63.3124462464676	falling	63.3124462464676
684009923	USA, Hawaii: Filipino	23	1	11	2	25.05	12	40.86	25.05	2	67.26	10	63.1137724550898	inverted-U	63.1137724550898
470200040	Singapore: Indian	40	1	9	3	11.78	12	19.13	10.01	8	21.18	5	62.3938879456706	U	62.3938879456706
384000330	USA, California, Los Angeles County: Black	30	1	9	4	96.45	12	37.28	37.28	12	96.45	4	-61.3478486262312	erratic	61.3478486262312
603600499	Australia, South Australia	99	1	9	4	75.06	12	29.18	29.18	12	75.06	4	-61.1244337863043	falling	61.1244337863043
582600399	UK, England, North West	99	1	8	4	115.66	11	45.52	45.52	11	115.66	4	-60.6432647414837	falling	60.6432647414837
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	1	6	7	58.63	12	23.19	23.19	12	58.63	7	-60.4468702029678	falling	60.4468702029678
538000499	Italy, Varese	99	1	9	4	92.24	12	36.53	36.53	12	92.24	4	-60.396790980052	falling	60.396790980052
384001399	USA, Washington, Seattle	99	1	9	4	85.01	12	33.87	33.87	12	85.01	4	-60.1576285142924	falling	60.1576285142924
582600499	UK, England, Oxford Region	99	1	9	2	82.5	10	32.95	32.95	10	96.47	4	-60.0606060606061	inverted-U	60.0606060606061
582600299	UK, England, West Midlands	99	1	11	1	90.95	11	36.75	36.75	11	106.77	4	-59.5931830676196	inverted-U	59.5931830676196
603600199	Australian Capital Territory	99	1	6	5	49.25	11	19.93	19.93	11	49.25	5	-59.5329949238579	falling	59.5329949238579
384000221	USA, California, San Francisco Bay Area: Japanese	21	1	5	4	40.64	11	16.48	16.48	11	40.64	4	-59.4488188976378	erratic	59.4488188976378
