id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
435600899	India, Trivandrum	99	1	6	7	78.26	12	17.81	9.01	8	78.26	7	-77.2425249169435	U	77.2425249169435
441400026	Kuwait: Non-Kuwaitis	26	1	8	5	34.03	12	8.46	7.88	11	44.91	6	-75.1395827211284	U	75.1395827211284
470200040	Singapore: Indian	40	1	9	3	11.78	12	19.13	10.01	8	21.18	5	62.3938879456706	U	62.3938879456706
582601599	UK, England, London	99	1	6	1	90.3	11	37.48	36.8	10	103.72	2	-58.4939091915836	U	58.4939091915836
575600599	Switzerland, Vaud	99	1	9	4	87.73	12	37.93	37.08	11	87.73	4	-56.7650746608914	U	56.7650746608914
435600699	India, Poona	99	1	7	4	13.7	12	7.04	4.63	11	13.7	4	-48.6131386861314	U	48.6131386861314
441400099	Kuwait	99	1	6	5	19.15	12	10.58	9.43	11	23.82	7	-44.7519582245431	U	44.7519582245431
437600094	Israel: Arabs	94	1	11	2	33.68	12	47.93	23.4	5	47.93	12	42.3099762470309	U	42.3099762470309
384000999	USA, New Mexico	99	1	7	6	42.92	12	25.09	19.91	8	43.29	7	-41.542404473439	U	41.542404473439
435600399	India, Mumbai	99	1	11	2	17.79	12	10.54	9.26	10	18.12	3	-40.7532321528949	U	40.7532321528949
415600399	China, Shanghai City	99	1	9	4	74.45	12	44.7	38.61	11	74.45	4	-39.9597044996642	U	39.9597044996642
415600299	China, Qidong City	99	1	6	6	35.72	12	49.62	35.01	7	55.18	10	38.9137737961926	U	38.9137737961926
476400599	Thailand, Lampang	99	1	5	8	56.75	12	37.47	35.95	11	56.75	8	-33.9735682819383	U	33.9735682819383
171600270	Zimbabwe, Harare: African	70	1	6	7	24.07	12	16.02	9.47	9	24.07	7	-33.4441213128376	U	33.4441213128376
538000199	Italy, Tuscany	99	1	7	6	64.16	12	44.24	42.76	11	64.16	6	-31.0473815461347	U	31.0473815461347
384000322	USA, California, Los Angeles County: Korean	22	1	8	5	34.69	12	25.2	24.25	11	38.34	6	-27.3565869126549	U	27.3565869126549
384000321	USA, California, Los Angeles County: Japanese	21	1	7	4	41.97	10	30.99	27.3	8	41.97	4	-26.1615439599714	U	26.1615439599714
437600090	Israel: Jews	90	1	11	2	36.4	12	28.08	27.04	7	40.97	3	-22.8571428571429	U	22.8571428571429
437600097	Israel: Jews born in Europe or America	97	1	6	2	39.75	8	30.68	27.65	5	42.69	3	-22.8176100628931	U	22.8176100628931
217000199	Colombia, Cali	99	1	12	1	17.18	12	14.82	13.88	11	27.56	4	-13.7369033760186	U	13.7369033760186
439200399	Japan, Nagasaki Prefecture	99	1	8	4	52	11	46.84	32.79	5	52	4	-9.92307692307692	U	9.92307692307692
437600091	Israel: Jews born in Israel	91	1	7	2	22.14	8	20.18	18.88	6	45.17	7	-8.85275519421861	U	8.85275519421861
441400025	Kuwait: Kuwaitis	25	1	8	5	13.8	12	14.91	13.22	11	21.53	8	8.04347826086956	U	8.04347826086956
684009920	USA, Hawaii: Chinese	20	1	11	2	37.58	12	35.3	26.56	11	47	3	-6.06705694518361	U	6.06705694518361
439200299	Japan, Miyagi Prefecture	99	1	12	1	18.3	12	44.41	18.3	1	44.41	12	142.677595628415	erratic	142.677595628415
435600299	India, Bangalore	99	1	7	5	5.94	12	13.5	5.94	5	13.5	12	127.272727272727	erratic	127.272727272727
534800399	Hungary, County Vas	99	1	5	2	30	6	65.45	30	2	65.45	6	118.166666666667	erratic	118.166666666667
470200027	Singapore: Malay	27	1	9	3	17.83	12	37.25	17.83	3	37.25	12	108.917554683118	erratic	108.917554683118
218800099	Costa Rica	99	1	8	5	17.78	12	5.63	5.63	12	17.78	5	-68.3352080989876	erratic	68.3352080989876
384000710	USA, Louisiana, New Orleans: White	10	1	9	4	113.61	12	41.31	41.31	12	113.61	4	-63.6387641932928	erratic	63.6387641932928
384000330	USA, California, Los Angeles County: Black	30	1	9	4	96.45	12	37.28	37.28	12	96.45	4	-61.3478486262312	erratic	61.3478486262312
384000221	USA, California, San Francisco Bay Area: Japanese	21	1	5	4	40.64	11	16.48	16.48	11	40.64	4	-59.4488188976378	erratic	59.4488188976378
312400299	Canada, British Columbia	99	1	10	3	72.33	12	30.86	30.86	12	72.33	3	-57.3344393750864	erratic	57.3344393750864
384000730	USA, Louisiana, New Orleans: Black	30	1	9	4	136.13	12	58.15	58.15	12	136.13	4	-57.2834790274003	erratic	57.2834790274003
384000320	USA, California, Los Angeles County: Chinese	20	1	9	4	48.97	12	22.18	22.18	12	48.97	4	-54.7069634470084	erratic	54.7069634470084
312401099	Canada, Ontario	99	1	9	3	71.48	12	35.86	35.86	12	71.48	3	-49.8321208729715	erratic	49.8321208729715
439200499	Japan, Osaka Prefecture	99	1	10	3	32.86	12	47.82	32.86	3	47.82	12	45.5264759586123	erratic	45.5264759586123
384000942	USA, New Mexico: American Indian	42	1	7	3	15.38	12	9.27	9.27	12	15.38	3	-39.7269180754226	erratic	39.7269180754226
525000199	France, Bas-Rhin	99	1	9	4	70.84	12	48.86	48.86	12	70.84	4	-31.0276679841897	erratic	31.0276679841897
525000399	France, Doubs	99	1	9	4	72.4	12	50.85	49.75	6	72.4	4	-29.7651933701658	erratic	29.7651933701658
415601599	China, Nangang District, Harbin City	99	1	4	9	55.51	12	41.7	41.7	12	61.52	10	-24.8784002882364	erratic	24.8784002882364
476400299	Thailand, Khon Kaen	99	1	6	6	13.81	12	17.12	13.81	6	19.2	11	23.9681390296886	erratic	23.9681390296886
384000950	USA, New Mexico: Hispanic White	50	1	7	5	25.57	12	20.2	20.2	12	28.71	9	-21.0011732499022	erratic	21.0011732499022
312400099	Canada	99	1	8	3	60.42	10	47.96	47.94	9	68.54	6	-20.6223104932142	erratic	20.6223104932142
525000299	France, Calvados	99	1	8	5	43.37	12	51.75	43.37	5	57.11	10	19.322112059027	erratic	19.322112059027
523300099	Estonia	99	1	7	6	67	12	54.55	54.55	12	75.73	7	-18.5820895522388	erratic	18.5820895522388
538006699	Italy, Ragusa	99	1	6	5	32.86	10	36.95	32.86	5	45.13	9	12.4467437614121	erratic	12.4467437614121
684009999	USA, Hawaii	99	1	7	1	37.94	12	33.55	33.55	12	46.89	7	-11.5709014232999	erratic	11.5709014232999
437600099	Israel	99	1	11	1	34.42	12	31.4	27.29	7	40.66	4	-8.77396862289368	erratic	8.77396862289368
527600199	Germany, Eastern States	99	1	6	2	62.64	7	59.17	58.91	5	77.91	4	-5.53959131545338	erratic	5.53959131545338
570300099	Slovakia	99	1	8	4	57.04	11	54.06	54.06	11	79.11	6	-5.22440392706872	erratic	5.22440392706872
384000223	USA, California, San Francisco Bay Area: Filipino	23	1	4	5	32.71	11	31.79	31.79	11	46.78	7	-2.81259553653318	erratic	2.81259553653318
384010010	Usa, California, Alameda County: White	10	1	5	2	62.38	6	64.01	62.38	2	86.21	4	2.61301699262585	erratic	2.61301699262585
312400699	Canada, Nova Scotia	99	1	7	5	52.49	11	51.17	51.17	11	74.58	7	-2.51476471708897	erratic	2.51476471708897
225009199	France, Martinique	99	1	7	5	11.05	12	10.89	9.53	11	13.66	9	-1.44796380090498	erratic	1.44796380090498
538000399	Italy, Latina	99	1	4	6	46.38	11	46.89	46.38	6	65.77	7	1.09961190168175	erratic	1.09961190168175
221800199	Ecuador, Quito	99	1	7	6	8.3	12	8.24	7.89	9	10.13	7	-0.722891566265066	erratic	0.722891566265066
384000510	USA, Georgia, Atlanta: White	10	1	9	4	92.12	12	32.21	32.21	12	92.12	4	-65.034737299175	falling	65.034737299175
384000220	USA, California, San Francisco Bay Area: Chinese	20	1	6	3	81.39	11	29.86	29.86	11	81.39	3	-63.3124462464676	falling	63.3124462464676
603600499	Australia, South Australia	99	1	9	4	75.06	12	29.18	29.18	12	75.06	4	-61.1244337863043	falling	61.1244337863043
582600399	UK, England, North West	99	1	8	4	115.66	11	45.52	45.52	11	115.66	4	-60.6432647414837	falling	60.6432647414837
384000260	USA, California, San Francisco Bay Area: Non-Hispanic White	60	1	6	7	58.63	12	23.19	23.19	12	58.63	7	-60.4468702029678	falling	60.4468702029678
538000499	Italy, Varese	99	1	9	4	92.24	12	36.53	36.53	12	92.24	4	-60.396790980052	falling	60.396790980052
384001399	USA, Washington, Seattle	99	1	9	4	85.01	12	33.87	33.87	12	85.01	4	-60.1576285142924	falling	60.1576285142924
603600199	Australian Capital Territory	99	1	6	5	49.25	11	19.93	19.93	11	49.25	5	-59.5329949238579	falling	59.5329949238579
538001399	Italy, Veneto	99	1	6	7	81.85	12	33.45	33.45	12	81.85	7	-59.132559560171	falling	59.132559560171
384000299	USA, California, San Francisco Bay Area	99	1	6	7	58.55	12	25.17	25.17	12	58.55	7	-57.0111016225448	falling	57.0111016225448
384002030	USA, SEER (9 registries): Black	30	1	7	6	106.12	12	45.68	45.68	12	106.12	6	-56.9543912551828	falling	56.9543912551828
582600599	UK, England, South Thames	99	1	5	4	106.46	8	46.8	46.8	8	106.46	4	-56.0398271651324	falling	56.0398271651324
384000399	USA, California, Los Angeles County	99	1	6	7	55.33	12	24.37	24.37	12	55.33	7	-55.9551780227725	falling	55.9551780227725
603600299	Australia, NSW/ACT	99	1	9	4	70.12	12	30.97	30.97	12	70.12	4	-55.8328579577867	falling	55.8328579577867
384000599	USA, Georgia, Atlanta	99	1	6	7	77.51	12	34.49	34.49	12	77.51	7	-55.5025158044123	falling	55.5025158044123
404800046	Bahrain: Bahrainis	46	1	4	9	34.15	12	15.99	15.99	12	34.15	9	-53.1771595900439	falling	53.1771595900439
603600699	Australia, Victoria	99	1	8	5	55.89	12	26.56	26.56	12	55.89	5	-52.478081946681	falling	52.478081946681
384001530	USA, New Jersey: Black	30	1	5	8	80.33	12	38.33	38.33	12	80.33	8	-52.2843271505042	falling	52.2843271505042
312400999	Canada, Yukon	99	1	6	6	70.69	12	33.75	33.75	12	70.69	6	-52.2563304569246	falling	52.2563304569246
538002299	Italy, Genova	99	1	6	6	78.31	12	39.72	39.72	12	78.31	6	-49.2785084918912	falling	49.2785084918912
520300099	Czech Republic	99	1	7	6	85.59	12	43.49	43.49	12	85.59	6	-49.1879892510807	falling	49.1879892510807
384000799	USA, Louisiana, New Orleans	99	1	5	7	91.79	12	46.8	46.8	12	91.79	7	-49.0140538184988	falling	49.0140538184988
384002010	USA, SEER (9 registries): White	10	1	7	6	64.34	12	33.26	33.26	12	64.34	6	-48.3058750388561	falling	48.3058750388561
575600199	Switzerland, Basel	99	1	6	5	62.19	12	32.25	32.25	12	62.19	5	-48.1427882296189	falling	48.1427882296189
384002099	USA, SEER (9 registries)	99	1	6	7	64.53	12	33.87	33.87	12	64.53	7	-47.5127847512785	falling	47.5127847512785
384000250	USA, California, San Francisco Bay Area: Hispanic White	50	1	6	7	37.24	12	19.58	19.58	12	37.24	7	-47.422126745435	falling	47.422126745435
552800199	The Netherlands, Eindhoven	99	1	6	5	94.37	10	52.21	52.21	10	94.37	5	-44.675214580905	falling	44.675214580905
384002530	USA, California: Black	30	1	4	9	66.63	12	37.36	37.36	12	66.63	9	-43.9291610385712	falling	43.9291610385712
655400029	New Zealand: Pacific peoples	29	1	4	5	91.79	12	51.85	51.85	12	91.79	5	-43.5123651813923	falling	43.5123651813923
384000960	USA, New Mexico: Non-Hispanic White	60	1	6	7	52.47	12	29.77	29.77	12	52.47	7	-43.2628168477225	falling	43.2628168477225
384000899	USA, Michigan, Detroit	99	1	6	7	80.07	12	45.84	45.84	12	80.07	7	-42.7500936680405	falling	42.7500936680405
552800099	The Netherlands	99	1	6	7	73.01	12	42.24	42.24	12	73.01	7	-42.1449116559376	falling	42.1449116559376
384005530	USA, Florida: Black	30	1	4	9	64.88	12	37.57	37.57	12	64.88	9	-42.0930949445129	falling	42.0930949445129
384001599	USA, New Jersey	99	1	7	5	61.24	12	35.59	35.59	12	61.24	5	-41.884389288047	falling	41.884389288047
384000410	USA, Connecticut: White	10	1	8	5	64.26	12	37.63	37.63	12	64.26	5	-41.4410208527856	falling	41.4410208527856
603600899	Australia, Northern Territory	99	1	5	8	66.36	12	39.01	39.01	12	66.36	8	-41.2145871006631	falling	41.2145871006631
384007130	USA, Texas: Black	30	1	4	9	85.33	12	50.82	50.82	12	85.33	9	-40.4429860541427	falling	40.4429860541427
384002599	USA, California	99	1	4	9	44.72	12	26.65	26.65	12	44.72	9	-40.4069767441861	falling	40.4069767441861
538000899	Italy, Turin	99	1	7	6	65.07	12	39.12	39.12	12	65.07	6	-39.8801290917474	falling	39.8801290917474
603600399	Australia, Queensland	99	1	6	5	57.32	12	34.51	34.51	12	57.32	5	-39.7941381716678	falling	39.7941381716678
384001630	USA, New York State: Black	30	1	5	8	63.63	12	38.35	38.35	12	63.63	8	-39.7296872544397	falling	39.7296872544397
470200099	Singapore	99	1	5	7	54.14	12	32.87	32.87	12	54.14	7	-39.2870336165497	falling	39.2870336165497
384006499	USA, Montana	99	1	4	9	51.16	12	31.08	31.08	12	51.16	9	-39.2494136043784	falling	39.2494136043784
384002430	USA, SEER (18 registries): Black	30	1	4	9	76.51	12	46.93	46.93	12	76.51	9	-38.6616128610639	falling	38.6616128610639
564300199	Russian Federation, Saint Petersburg	99	1	4	6	77.64	10	48.1	48.1	10	77.64	6	-38.0473982483256	falling	38.0473982483256
384005399	USA, Colorado	99	1	4	9	40.64	12	25.43	25.43	12	40.64	9	-37.4261811023622	falling	37.4261811023622
384001510	USA, New Jersey: White	10	1	5	8	58.56	12	36.84	36.84	12	58.56	8	-37.0901639344262	falling	37.0901639344262
603600599	Australia, Tasmania	99	1	8	5	54.69	12	34.44	34.44	12	54.69	5	-37.0268787712562	falling	37.0268787712562
384007199	USA, Texas	99	1	4	9	58.15	12	36.68	36.68	12	58.15	9	-36.9217540842648	falling	36.9217540842648
538001099	Italy, Modena	99	1	5	7	68.59	11	43.37	43.37	11	68.59	7	-36.7692083394081	falling	36.7692083394081
538001299	Italy, Ferrara	99	1	5	7	85.73	11	54.5	54.5	11	85.73	7	-36.4283214743964	falling	36.4283214743964
384007110	USA, Texas: White	10	1	4	9	56.11	12	35.87	35.87	12	56.11	9	-36.0720014257708	falling	36.0720014257708
504000799	Austria, Tyrol	99	1	6	7	54.69	12	35.27	35.27	12	54.69	7	-35.5092338635948	falling	35.5092338635948
384007399	USA, Washington State	99	1	4	9	53.45	12	34.56	34.56	12	53.45	9	-35.3414405986904	falling	35.3414405986904
504000899	Austria, Vorarlberg	99	1	5	8	54.26	12	35.3	35.3	12	54.26	8	-34.9428676741615	falling	34.9428676741615
384005630	USA, Georgia: Black	30	1	4	9	77.78	12	51.08	51.08	12	77.78	9	-34.3275906402674	falling	34.3275906402674
384002450	USA, SEER (18 registries): Hispanic White	50	1	4	9	27.79	12	18.39	18.39	12	27.79	9	-33.8251169485426	falling	33.8251169485426
384008030	USA, NPCR: Black	30	1	4	9	74.97	12	49.65	49.65	12	74.97	9	-33.7735094037615	falling	33.7735094037615
582601199	UK, England, East	99	1	5	7	48.33	11	32.12	32.12	11	48.33	7	-33.5402441547693	falling	33.5402441547693
384006230	USA, Michigan: Black	30	1	4	9	83.68	12	55.68	55.68	12	83.68	9	-33.4608030592734	falling	33.4608030592734
384006799	USA, Oregon	99	1	4	9	52.47	12	35.12	35.12	12	52.47	9	-33.0665141985897	falling	33.0665141985897
384002499	USA, SEER (18 registries)	99	1	4	9	52.81	12	35.36	35.36	12	52.81	9	-33.0429842832797	falling	33.0429842832797
582606999	UK, Scotland, West	99	1	4	4	132.48	7	88.9	88.9	7	132.48	4	-32.8955314009662	falling	32.8955314009662
384005299	USA, Arizona	99	1	4	9	45.57	12	30.85	30.85	12	45.57	9	-32.3019530392802	falling	32.3019530392802
582600199	UK, England	99	1	4	8	51.24	12	35.18	35.18	12	51.24	8	-31.3427010148322	falling	31.3427010148322
384005599	USA, Florida	99	1	4	9	61.16	12	42.01	42.01	12	61.16	9	-31.3113145846959	falling	31.3113145846959
384002210	USA, Louisiana: White	10	1	4	9	70.27	12	48.32	48.32	12	70.27	9	-31.2366586025331	falling	31.2366586025331
552800299	The Netherlands, Maastricht	99	1	4	6	83.35	9	57.35	57.35	9	83.35	6	-31.1937612477504	falling	31.1937612477504
384001699	USA, New York State	99	1	5	8	57.68	12	39.78	39.78	12	57.68	8	-31.0332871012483	falling	31.0332871012483
538002699	Italy, Milan	99	1	4	9	57.81	12	39.88	39.88	12	57.81	9	-31.0153952603356	falling	31.0153952603356
384002460	USA, SEER (18 registries): Non-Hispanic White	60	1	4	9	55.41	12	38.28	38.28	12	55.41	9	-30.9149972929074	falling	30.9149972929074
538002899	Italy, Sondrio	99	1	4	9	67.11	12	46.38	46.38	12	67.11	9	-30.8895842646401	falling	30.8895842646401
384002299	USA, Louisiana	99	1	4	9	75.02	12	51.95	51.95	12	75.02	9	-30.751799520128	falling	30.751799520128
384005699	USA, Georgia	99	1	4	9	70.15	12	48.79	48.79	12	70.15	9	-30.4490377761939	falling	30.4490377761939
384005510	USA, Florida: White	10	1	4	9	61.03	12	42.58	42.58	12	61.03	9	-30.2310339177454	falling	30.2310339177454
384002230	USA, Louisiana: Black	30	1	4	9	91.75	12	64.21	64.21	12	91.75	9	-30.016348773842	falling	30.016348773842
384006699	USA, Oklahoma	99	1	4	9	71.52	12	50.3	50.3	12	71.52	9	-29.6700223713647	falling	29.6700223713647
