country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	5	2	39.68	2.79	14.2222222222222	45	42	10
840	4	2	53.23	4.23	12.5839243498818	45	42	9
840	4	1	136.13	11.16	12.1980286738351	30	42	9
840	9	2	46.83	3.93	11.9160305343511	30	42	11
840	7	2	44.33	4.02	11.0273631840796	30	42	10
840	7	1	110.81	10.32	10.7374031007752	30	42	10
840	5	1	110.03	12.3	8.94552845528455	30	42	10
840	12	2	50.95	6.04	8.43543046357616	42	42	12
840	12	1	71.81	8.7	8.25402298850575	30	42	12
840	9	1	96.57	12.21	7.90909090909091	30	42	11
840	11	1	78.32	9.92	7.89516129032258	30	42	12
840	8	2	40.83	5.27	7.74762808349146	30	42	10
840	10	2	61.87	8.46	7.31323877068558	42	42	12
840	10	1	89.48	12.43	7.19871279163315	30	42	12
840	8	1	106.95	15.05	7.1063122923588	30	42	10
840	3	1	99.19	15.38	6.44928478543563	30	42	9
702	3	1	75.35	11.78	6.39643463497453	20	40	3
554	2	2	47.87	7.74	6.18475452196382	28	36	2
376	7	2	21.41	3.73	5.73994638069705	91	94	4
702	7	2	19.58	3.48	5.6264367816092	20	40	3
702	8	1	55.85	10.01	5.57942057942058	20	40	3
840	11	2	48.27	9.41	5.12964930924548	30	42	12
554	5	2	68.08	13.5	5.04296296296296	28	36	3
554	3	2	49.03	10.16	4.8257874015748	28	36	2
702	4	1	93.35	21.13	4.4178892569806	20	40	3
702	7	1	62.72	14.33	4.3768318213538	20	40	3
554	4	2	62.5	14.52	4.30440771349862	28	36	2
702	9	1	51.77	12.14	4.26441515650741	20	40	3
702	6	2	21.92	5.17	4.23984526112186	20	40	3
840	6	2	39.5	9.34	4.22912205567452	45	21	9
702	10	2	17.59	4.28	4.10981308411215	20	40	3
554	7	2	72.93	18.23	4.00054854635217	28	36	2
840	2	2	28.88	7.27	3.97248968363136	45	83	8
554	6	2	62.2	15.72	3.95674300254453	28	36	2
840	6	1	115.9	29.71	3.901043419724	30	20	9
702	4	2	27.47	7.27	3.77854195323246	20	27	3
840	3	2	31.88	8.57	3.71995332555426	20	42	9
702	8	2	19.89	5.38	3.69702602230483	20	40	3
840	2	1	90.54	25.05	3.61437125748503	45	23	8
702	5	1	73.44	21.18	3.46742209631728	20	40	3
702	5	2	22.76	6.62	3.4380664652568	20	40	3
376	3	2	16.08	4.73	3.39957716701903	97	94	5
702	6	1	69.69	20.73	3.36179450072359	20	40	3
554	11	2	83.46	26	3.21	28	29	2
554	10	2	78.95	24.95	3.16432865731463	28	29	2
376	2	2	13.83	4.42	3.1289592760181	97	94	5
414	6	1	44.91	14.48	3.10151933701657	26	25	2
376	5	2	10.55	3.56	2.96348314606742	97	94	5
376	6	2	11.53	3.95	2.91898734177215	97	94	5
376	4	2	13.3	4.6	2.89130434782609	97	94	5
414	6	2	12.71	4.76	2.67016806722689	26	25	2
376	8	2	11.5	4.31	2.66821345707657	97	94	5
702	12	2	16.65	6.37	2.6138147566719	20	40	3
554	12	2	75.08	28.77	2.60966284323949	28	29	2
702	9	2	17.51	6.78	2.58259587020649	20	40	3
702	10	1	44.68	17.36	2.57373271889401	20	40	3
840	1	2	21.33	8.52	2.50352112676056	45	10	3
414	5	1	34.03	13.8	2.46594202898551	26	25	2
376	9	2	12.42	5.07	2.44970414201183	90	94	2
702	3	2	22.59	9.54	2.36792452830189	20	40	3
554	6	1	119.14	51.73	2.30311231393775	28	36	2
554	7	1	99.73	46.47	2.14611577361739	28	36	2
376	12	2	16.35	7.8	2.09615384615385	90	94	2
840	1	1	64.77	31.23	2.07396733909702	45	21	3
