CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	552800499	The Netherlands,  Three Provinces	51.81	3.18	16.2924528301887	5.62410586552218	male_heavy
1	524600099	Finland	83.25	5.46	15.2472527472527	5.62410586552218	male_heavy
1	263000099	USA, Puerto Rico	16.72	6.32	2.64556962025316	5.62410586552218	female_heavy
1	439200299	Japan, Miyagi Prefecture	18.3	7.13	2.56661991584853	5.62410586552218	female_heavy
1	535200099	Iceland	15.91	6.61	2.40695915279879	5.62410586552218	female_heavy
1	156600199	Nigeria,  Ibadan	1.3	1.44	0.902777777777778	5.62410586552218	female_heavy
2	524600099	Finland	91.08	6.04	15.0794701986755	6.3371889640935	male_heavy
2	437600099	Israel	36.2	11.56	3.13148788927336	6.3371889640935	female_heavy
2	439202299	Japan,  Okayama Prefecture	21.43	6.95	3.08345323741007	6.3371889640935	female_heavy
2	263000099	USA, Puerto Rico	18.51	6.83	2.71010248901903	6.3371889640935	female_heavy
2	439200299	Japan, Miyagi Prefecture	20.9	8.07	2.58983890954151	6.3371889640935	female_heavy
2	156600199	Nigeria,  Ibadan	1.38	0.99	1.39393939393939	6.3371889640935	female_heavy
3	524600099	Finland	100.83	6.4	15.7546875	5.83979885057471	male_heavy
3	547000099	Malta	32.41	2.19	14.7990867579909	5.83979885057471	male_heavy
3	207601599	Brazil, Recife	21.67	7.74	2.79974160206718	5.83979885057471	female_heavy
3	219200099	Cuba	62.99	22.61	2.7859354268023	5.83979885057471	female_heavy
3	439202299	Japan,  Okayama Prefecture	23.55	9	2.61666666666667	5.83979885057471	female_heavy
3	535200099	Iceland	20.46	14.33	1.42777390090719	5.83979885057471	female_heavy
3	156600199	Nigeria,  Ibadan	1.03	0.8	1.2875	5.83979885057471	female_heavy
4	168600199	Senegal, Dakar	1.23	0.07	17.5714285714286	5.11761946128537	male_heavy
4	525000399	France, Doubs	72.4	4.58	15.8078602620087	5.11761946128537	male_heavy
4	527603099	Germany, Saarland	100.85	7.28	13.853021978022	5.11761946128537	male_heavy
4	525000199	France, Bas-Rhin	70.84	5.51	12.8566243194192	5.11761946128537	male_heavy
4	524600099	Finland	99.21	7.8	12.7192307692308	5.11761946128537	male_heavy
4	538000499	Italy, Varese	92.24	7.56	12.2010582010582	5.11761946128537	male_heavy
4	575600399	Switzerland, Neuchâtel	63.53	5.48	11.5930656934307	5.11761946128537	male_heavy
4	527600199	Germany, Eastern States	77.91	6.96	11.1939655172414	5.11761946128537	male_heavy
4	561601499	Poland, Katowice District	66.32	6.47	10.2503863987635	5.11761946128537	male_heavy
4	415603099	China, Hong Kong	74.55	31.08	2.39864864864865	5.11761946128537	female_heavy
4	312401599	Canada, Northwest Territories and Yukon	90.56	51.4	1.76186770428016	5.11761946128537	female_heavy
5	525000399	France, Doubs	50.79	2.85	17.8210526315789	4.07358738501971	male_heavy
5	552800199	The Netherlands, Eindhoven	94.37	5.79	16.2987910189983	4.07358738501971	male_heavy
5	525000199	France, Bas-Rhin	60.2	3.92	15.3571428571429	4.07358738501971	male_heavy
5	435600599	India, Nagpur	7.77	0.52	14.9423076923077	4.07358738501971	male_heavy
5	525000299	France, Calvados	43.37	3.18	13.6383647798742	4.07358738501971	male_heavy
5	538000499	Italy, Varese	80.48	6.21	12.9597423510467	4.07358738501971	male_heavy
5	525000599	France, Isère	45.21	3.86	11.7124352331606	4.07358738501971	male_heavy
5	538006699	Italy, Ragusa	32.86	2.82	11.6524822695035	4.07358738501971	male_heavy
5	524600099	Finland	74.21	6.96	10.6623563218391	4.07358738501971	male_heavy
5	570300099	Slovakia	70.03	6.81	10.2834067547724	4.07358738501971	male_heavy
5	527603099	Germany, Saarland	72.71	7.08	10.2697740112994	4.07358738501971	male_heavy
5	527600199	Germany, Eastern States	58.91	5.81	10.1394148020654	4.07358738501971	male_heavy
5	561600399	Poland, Nowy Sacz	46.97	4.79	9.80584551148225	4.07358738501971	male_heavy
5	572400199	Spain, Tarragona	31.53	3.26	9.6717791411043	4.07358738501971	male_heavy
5	534800399	Hungary, County Vas	56.27	5.86	9.60238907849829	4.07358738501971	male_heavy
5	572400799	Spain, Zaragoza	34.23	3.61	9.48199445983379	4.07358738501971	male_heavy
5	572400499	Spain, Navarra	34.87	4.01	8.69576059850374	4.07358738501971	male_heavy
5	575600599	Switzerland, Vaud	59.14	6.82	8.67155425219941	4.07358738501971	male_heavy
5	570500099	Slovenia	57.63	6.68	8.62724550898204	4.07358738501971	male_heavy
5	252809999	Netherlands, Antilles	35.49	4.26	8.33098591549296	4.07358738501971	male_heavy
5	415600499	China, Tianjin	43.04	28.76	1.49652294853964	4.07358738501971	female_heavy
5	535200099	Iceland	24.67	18.43	1.33857840477482	4.07358738501971	female_heavy
5	312400499	Canada, Northwest Territories	72.02	53.82	1.33816425120773	4.07358738501971	female_heavy
6	572400399	Spain, Murcia	44.47	2.54	17.507874015748	3.81855500821018	male_heavy
6	525000699	France, Somme	64.58	3.92	16.4744897959184	3.81855500821018	male_heavy
6	572400299	Spain, Granada	39.3	2.47	15.9109311740891	3.81855500821018	male_heavy
6	572400199	Spain, Tarragona	41.61	2.96	14.0574324324324	3.81855500821018	male_heavy
6	572400699	Spain, Basque Country	51.83	3.82	13.5680628272251	3.81855500821018	male_heavy
6	525000299	France, Calvados	48.9	3.68	13.2880434782609	3.81855500821018	male_heavy
6	525000599	France, Isère	49.18	3.87	12.7080103359173	3.81855500821018	male_heavy
6	538006699	Italy, Ragusa	35.67	2.97	12.010101010101	3.81855500821018	male_heavy
6	525000199	France, Bas-Rhin	66.62	5.55	12.0036036036036	3.81855500821018	male_heavy
6	572400799	Spain, Zaragoza	42.15	3.55	11.8732394366197	3.81855500821018	male_heavy
6	572400499	Spain, Navarra	42.47	3.58	11.8631284916201	3.81855500821018	male_heavy
6	525000399	France, Doubs	49.75	4.35	11.4367816091954	3.81855500821018	male_heavy
6	552800199	The Netherlands, Eindhoven	87.16	7.89	11.0468948035488	3.81855500821018	male_heavy
6	511200099	Belarus	55.58	5.32	10.4473684210526	3.81855500821018	male_heavy
6	538000399	Italy, Latina	46.38	4.52	10.2610619469027	3.81855500821018	male_heavy
6	570300099	Slovakia	79.11	7.83	10.1034482758621	3.81855500821018	male_heavy
6	538000499	Italy, Varese	82.28	8.24	9.98543689320388	3.81855500821018	male_heavy
6	525000799	France, Tarn	38.37	3.85	9.96623376623377	3.81855500821018	male_heavy
6	527603099	Germany, Saarland	69.64	7.33	9.50068212824011	3.81855500821018	male_heavy
6	561600699	Poland, Warsaw Rural	65.31	6.96	9.38362068965517	3.81855500821018	male_heavy
6	561600399	Poland, Nowy Sacz	56.39	6.03	9.35157545605307	3.81855500821018	male_heavy
6	520300099	Czech Republic	85.59	9.16	9.3438864628821	3.81855500821018	male_heavy
6	552800299	The Netherlands, Maastricht	83.35	9.13	9.12924424972618	3.81855500821018	male_heavy
6	562000199	Portugal, Vila Nova de Gaia	52.41	5.91	8.86802030456853	3.81855500821018	male_heavy
6	561600499	Poland, Opole	80.61	9.11	8.84851811196488	3.81855500821018	male_heavy
