id_code	id_label	ethnic_code	sex	n_vol	first_vol	first_asr	last_vol	last_asr	min_asr	min_vol	max_asr	max_vol	pct_change	shape	abs_pct
384000430	USA, Connecticut: Black	30	2	8	5	0.14	12	1.14	0.14	5	1.14	12	714.285714285714	erratic	714.285714285714
435600999	India, Karunagappally	99	2	4	7	0.21	10	1.11	0.09	8	1.11	10	428.571428571429	U	428.571428571429
525000799	France, Tarn	99	2	7	6	0.24	12	1.23	0.24	6	1.23	12	412.5	erratic	412.5
504000899	Austria, Vorarlberg	99	2	5	8	0.21	12	1.03	0.16	9	1.41	11	390.476190476191	U	390.476190476191
312400799	Canada, Prince Edward Island	99	2	8	5	0.3	12	1.43	0	6	1.43	12	376.666666666667	U	376.666666666667
684009921	USA, Hawaii: Japanese	21	2	12	1	0.19	12	0.87	0	6	0.97	9	357.894736842105	U	357.894736842105
439200699	Japan, Yamagata Prefecture	99	2	5	6	0.21	11	0.87	0.18	8	0.87	11	314.285714285714	U	314.285714285714
384000323	USA, California, Los Angeles County: Filipino	23	2	8	5	0.21	12	0.69	0	6	0.78	9	228.571428571429	U	228.571428571429
572400399	Spain, Murcia	99	2	7	6	0.4	12	1.26	0.4	6	1.26	12	215	erratic	215
384000950	USA, New Mexico: Hispanic White	50	2	7	5	0.42	12	1.29	0.42	5	1.29	12	207.142857142857	erratic	207.142857142857
575600499	Switzerland, East	99	2	7	6	0.33	12	1	0.33	6	1.12	9	203.030303030303	inverted-U	203.030303030303
538000499	Italy, Varese	99	2	9	4	0.41	12	1.22	0.32	9	1.34	6	197.560975609756	U	197.560975609756
603600899	Australia, Northern Territory	99	2	5	8	0.34	12	0.99	0	10	0.99	12	191.176470588235	U	191.176470588235
575600899	Switzerland, Valais	99	2	6	7	0.23	12	0.63	0.2	10	1.59	11	173.913043478261	U	173.913043478261
207600299	Brazil, Goiânia	99	2	7	6	0.38	12	1.02	0.38	6	1.32	10	168.421052631579	inverted-U	168.421052631579
476400499	Thailand, Songkhla	99	2	5	8	0.28	12	0.72	0.28	8	0.72	12	157.142857142857	rising	157.142857142857
476400199	Thailand, Chiang Mai	99	2	7	6	0.33	12	0.8	0.33	6	0.8	12	142.424242424242	erratic	142.424242424242
460800399	Philippines, Rizal	99	2	5	5	0.51	11	1.23	0.51	5	1.69	10	141.176470588235	inverted-U	141.176470588235
684009999	USA, Hawaii	99	2	7	1	0.4	12	0.96	0.4	1	0.96	12	140	rising	140
575601099	Switzerland, Ticino	99	2	5	8	0.27	12	0.64	0.27	8	1.13	9	137.037037037037	inverted-U	137.037037037037
441400026	Kuwait: Non-Kuwaitis	26	2	8	5	0.4	12	0.93	0.26	11	1.89	6	132.5	U	132.5
582600899	UK, England, Merseyside and Cheshire	99	2	9	1	0.64	9	1.39	0.33	7	1.39	9	117.1875	U	117.1875
684009910	USA, Hawaii: White	10	2	12	1	0.44	12	0.91	0.1	5	1.28	2	106.818181818182	U	106.818181818182
384001299	USA, Utah	99	2	10	3	0.51	12	1.05	0.51	3	1.07	9	105.882352941177	inverted-U	105.882352941177
538000799	Italy, Romagna	99	2	6	6	0.51	11	1.03	0.51	6	1.15	9	101.960784313725	inverted-U	101.960784313725
572400899	Spain, Mallorca	99	2	4	7	0.63	11	1.27	0.42	8	1.27	11	101.587301587302	U	101.587301587302
312400999	Canada, Yukon	99	2	6	6	0.64	12	0	0	7	0.68	8	-100	inverted-U	100
217000199	Colombia, Cali	99	2	12	1	0.91	12	1.8	0.71	7	1.8	12	97.8021978021978	U	97.8021978021978
384000799	USA, Louisiana, New Orleans	99	2	5	7	0.43	12	0.84	0.43	7	1	11	95.3488372093023	inverted-U	95.3488372093023
538001799	Italy, Biella	99	2	4	8	0.36	11	0.69	0.36	8	0.69	11	91.6666666666667	erratic	91.6666666666667
312400599	Canada, New Brunswick	99	2	10	1	0.56	12	1.04	0.28	6	1.09	2	85.7142857142857	U	85.7142857142857
538001599	Italy, Sassari	99	2	5	8	0.62	12	0.11	0.11	12	0.91	11	-82.258064516129	inverted-U	82.258064516129
552800099	The Netherlands	99	2	6	7	0.69	12	1.24	0.69	7	1.24	12	79.7101449275363	erratic	79.7101449275363
476400299	Thailand, Khon Kaen	99	2	6	6	2.13	12	0.45	0.45	12	2.13	6	-78.8732394366197	erratic	78.8732394366197
225009199	France, Martinique	99	2	7	5	1.17	12	0.25	0.25	12	1.17	5	-78.6324786324786	erratic	78.6324786324786
384001530	USA, New Jersey: Black	30	2	5	8	0.4	12	0.71	0.4	8	0.72	10	77.5	inverted-U	77.5
384005130	USA, Alabama: Black	30	2	4	9	0.55	12	0.96	0.55	9	0.96	12	74.5454545454545	rising	74.5454545454545
238800199	Jamaica, Kingston and St Andrew	99	2	6	1	0.74	11	0.2	0.2	11	1.37	3	-72.972972972973	inverted-U	72.972972972973
538001299	Italy, Ferrara	99	2	5	7	0.65	11	0.18	0.18	11	1.35	9	-72.3076923076923	inverted-U	72.3076923076923
572400499	Spain, Navarra	99	2	9	4	2.72	12	0.79	0.46	9	2.72	4	-70.9558823529412	U	70.9558823529412
