id_code	id_label	ethnic_code	sex	CI5_volume	asr	median_asr	ratio	flag
684009921	USA, Hawaii: Japanese	21	1	1	0.17	1.35	0.125925925925926	low
684009945	USA, Hawaii: Hawaiian	45	1	2	5.07	1.27	3.99212598425197	high
684009921	USA, Hawaii: Japanese	21	1	2	0.13	1.27	0.102362204724409	low
684009945	USA, Hawaii: Hawaiian	45	1	4	4.71	1.245	3.78313253012048	high
168600199	Senegal, Dakar	99	1	4	0.21	1.245	0.168674698795181	low
207601599	Brazil, Recife	99	1	5	4.25	0.97	4.38144329896907	high
207600499	Brazil, Porto Alegre	99	1	5	3.18	0.97	3.27835051546392	high
575600399	Switzerland, Neuchâtel	99	1	5	3.08	0.97	3.17525773195876	high
207600199	Brazil, Fortaleza	99	1	5	3.04	0.97	3.1340206185567	high
582606699	United Kingdom, Scotland, North	99	1	5	0.16	0.97	0.164948453608247	low
684009920	USA, Hawaii: Chinese	20	1	6	6.38	0.98	6.51020408163265	high
384000323	USA, California, Los Angeles County: Filipino	23	1	6	0.11	0.98	0.112244897959184	low
207600499	Brazil, Porto Alegre	99	1	7	3.57	0.975	3.66153846153846	high
435600899	India, Trivandrum	99	1	7	3.42	0.975	3.50769230769231	high
538001299	Italy, Ferrara	99	1	8	3.31	1.03	3.21359223300971	high
415600799	China, Jiashan County	99	1	8	3.17	1.03	3.07766990291262	high
207600999	Brazil, Brasilia	99	1	9	3.28	1.04	3.15384615384615	high
207601099	Brazil, Cuiaba	99	1	9	3.21	1.04	3.08653846153846	high
519100099	Croatia	99	1	9	3.15	1.04	3.02884615384615	high
312400799	Canada, Prince Edward Island	99	1	9	0.14	1.04	0.134615384615385	low
145400199	Malawi, Blantyre	99	1	10	3.43	1.03	3.33009708737864	high
415601899	China, Yanting County	99	1	10	3.35	1.03	3.25242718446602	high
415601899	China, Yanting County	99	1	11	3.51	1.06	3.31132075471698	high
415600899	China, Linzhou City	99	1	11	3.27	1.06	3.08490566037736	high
384006030	USA, Massachusetts: Black	30	1	11	0.14	1.06	0.132075471698113	low
415624299	China, Xiangfu District, Kaifeng City	99	1	12	5.88	1.16	5.06896551724138	high
415604899	China, Ganzhou District, Zhangye City	99	1	12	4.31	1.16	3.71551724137931	high
415606299	China, Jingtai County	99	1	12	3.68	1.16	3.17241379310345	high
415613599	China, Evenki Autonomous Banner	99	1	12	3.48	1.16	3	high
439201699	Japan, Akita Prefecture	99	1	12	0.18	1.16	0.155172413793103	low
415617299	China, Jiulongpo District, Chongqing City	99	1	12	0.1	1.16	0.0862068965517242	low
171600170	Zimbabwe, Bulawayo: African	70	2	2	0.16	0.96	0.166666666666667	low
684009921	USA, Hawaii: Japanese	21	2	2	0.15	0.96	0.15625	low
572400799	Spain, Zaragoza	99	2	3	2.49	0.82	3.03658536585366	high
572400499	Spain, Navarra	99	2	4	2.72	0.815	3.33742331288344	high
564200199	Romania, County Cluj	99	2	4	2.49	0.815	3.05521472392638	high
437600096	Israel: Jews born in Africa or Asia	96	2	5	6.49	0.74	8.77027027027027	high
207600499	Brazil, Porto Alegre	99	2	5	3.26	0.74	4.40540540540541	high
655400029	New Zealand: Pacific peoples	29	2	5	2.63	0.74	3.55405405405405	high
384000430	USA, Connecticut: Black	30	2	5	0.14	0.74	0.189189189189189	low
684009910	USA, Hawaii: White	10	2	5	0.1	0.74	0.135135135135135	low
384000321	USA, California, Los Angeles County: Japanese	21	2	6	0.1	0.71	0.140845070422535	low
538006799	Italy, Trieste	99	2	6	0.04	0.71	0.0563380281690141	low
437600091	Israel: Jews born in Israel	91	2	7	2.32	0.72	3.22222222222222	high
384000730	USA, Louisiana, New Orleans: Black	30	2	8	0.15	0.76	0.197368421052632	low
435600999	India, Karunagappally	99	2	8	0.09	0.76	0.118421052631579	low
207601099	Brazil, Cuiaba	99	2	9	3.05	0.78	3.91025641025641	high
535200099	Iceland	99	2	9	0.15	0.78	0.192307692307692	low
575601199	Switzerland, Graubünden and Glarus	99	2	9	0.14	0.78	0.17948717948718	low
145400199	Malawi, Blantyre	99	2	10	3.21	0.81	3.96296296296296	high
384006442	USA, Montana: American Indian	42	2	10	2.72	0.81	3.35802469135802	high
384007729	USA, Virginia: Asian and Pacific Islander	29	2	10	0.15	0.81	0.185185185185185	low
538003999	Italy, Lecco	99	2	11	3.11	0.78	3.98717948717949	high
415609699	China, Xiping County	99	2	11	2.41	0.78	3.08974358974359	high
684009923	USA, Hawaii: Filipino	23	2	11	0.13	0.78	0.166666666666667	low
538004199	Italy, Barletta	99	2	11	0.09	0.78	0.115384615384615	low
415626699	China, Yunmeng County	99	2	12	3.76	0.89	4.2247191011236	high
415624299	China, Xiangfu District, Kaifeng City	99	2	12	3.01	0.89	3.38202247191011	high
476400799	Thailand, Lopburi Province	99	2	12	2.83	0.89	3.17977528089888	high
384004542	USA, North Carolina: American Indian	42	2	12	0.17	0.89	0.191011235955056	low
384000322	USA, California, Los Angeles County: Korean	22	2	12	0.14	0.89	0.157303370786517	low
538001599	Italy, Sassari	99	2	12	0.11	0.89	0.123595505617978	low
225009299	France, Guadeloupe	99	2	12	0.06	0.89	0.0674157303370787	low
180000399	Uganda, Gulu	99	2	12	0.05	0.89	0.0561797752808989	low
