country_code	CI5_volume	sex	max_asr	min_asr	ratio	hi_eth	lo_eth	n_sub
840	2	1	5.07	0.13	39	45	21	8
840	1	1	1.82	0.17	10.7058823529412	45	21	3
376	5	2	6.49	0.7	9.27142857142857	96	91	5
376	7	2	2.32	0.32	7.25	91	94	4
36	10	1	2.31	0.35	6.6	62	63	2
840	1	2	0.95	0.19	5	45	21	3
414	6	2	1.89	0.44	4.29545454545455	26	25	2
414	5	1	2.11	0.54	3.90740740740741	26	25	2
36	12	1	1.52	0.4	3.8	63	62	2
376	7	1	2.78	0.78	3.56410256410256	91	96	4
554	5	2	2.63	0.77	3.41558441558442	29	36	3
554	5	1	1.36	0.4	3.4	28	29	3
376	5	1	1.89	0.57	3.31578947368421	91	94	5
840	9	2	1.15	0.35	3.28571428571429	21	21	11
376	6	2	0.73	0.23	3.17391304347826	90	94	5
414	9	1	1.85	0.64	2.890625	26	25	2
376	4	2	0.97	0.37	2.62162162162162	90	91	5
702	7	1	1.75	0.67	2.61194029850746	40	27	3
414	7	2	0.78	0.3	2.6	25	26	2
376	3	1	1.34	0.52	2.57692307692308	91	94	5
702	5	2	1.78	0.71	2.50704225352113	40	20	3
702	4	1	0.87	0.35	2.48571428571429	27	40	3
702	3	1	2.36	0.99	2.38383838383838	27	20	3
702	6	1	0.83	0.35	2.37142857142857	20	40	3
702	12	1	0.78	0.35	2.22857142857143	20	27	3
702	9	2	0.95	0.43	2.2093023255814	40	27	3
414	10	1	0.81	0.37	2.18918918918919	25	26	2
414	12	1	0.82	0.39	2.1025641025641	25	26	2
376	8	2	1.32	0.63	2.0952380952381	97	96	5
414	12	2	0.93	0.45	2.06666666666667	26	25	2
376	3	2	1.38	0.67	2.05970149253731	91	97	5
414	11	2	0.53	0.26	2.03846153846154	25	26	2
376	8	1	2.06	1.02	2.01960784313725	97	94	5
