CI5_volume	id_code	id_label	asr_m	asr_f	mf_ratio	vol_med	flag
1	217000199	Colombia, Cali	3.11	0.91	3.41758241758242	1.50892857142857	male_heavy
1	312401299	Canada, Saskatchewan	0.62	1.15	0.539130434782609	1.50892857142857	female_heavy
2	564200399	Romania,  Banat Region	3.81	1.27	3	1.4155523255814	male_heavy
3	534800299	Hungary, County Szabolcs-Szatmar	2.21	0.51	4.33333333333333	1.51470588235294	male_heavy
3	547000099	Malta	2.72	0.69	3.94202898550725	1.51470588235294	male_heavy
3	561600699	Poland, Warsaw Rural	1.13	0.35	3.22857142857143	1.51470588235294	male_heavy
3	312400399	Canada, Manitoba	0.73	1.11	0.657657657657658	1.51470588235294	female_heavy
3	156600199	Nigeria,  Ibadan	0.67	1.27	0.52755905511811	1.51470588235294	female_heavy
3	534800399	Hungary, County Vas	0.41	1.32	0.310606060606061	1.51470588235294	female_heavy
4	252809999	Netherlands, Antilles	1.8	0.17	10.5882352941176	1.46511627906977	male_heavy
4	538000499	Italy, Varese	1.72	0.41	4.19512195121951	1.46511627906977	male_heavy
4	168600199	Senegal, Dakar	0.21	0.32	0.65625	1.46511627906977	female_heavy
5	312400799	Canada, Prince Edward Island	1.37	0.3	4.56666666666667	1.38	male_heavy
5	207601599	Brazil, Recife	4.25	1.47	2.89115646258503	1.38	male_heavy
5	582606799	United Kingdom, Scotland, N-E	0.74	1.18	0.627118644067797	1.38	female_heavy
5	582606699	United Kingdom, Scotland, North	0.16	0.31	0.516129032258065	1.38	female_heavy
6	538006799	Italy, Trieste	0.23	0.04	5.75	1.37427571221632	male_heavy
6	538000599	Italy, Parma	0.99	0.18	5.5	1.37427571221632	male_heavy
6	525000399	France, Doubs	1.24	0.25	4.96	1.37427571221632	male_heavy
6	575600499	Switzerland, East	1.5	0.33	4.54545454545455	1.37427571221632	male_heavy
6	572400399	Spain, Murcia	1.38	0.4	3.45	1.37427571221632	male_heavy
6	525000799	France, Tarn	0.69	0.24	2.875	1.37427571221632	male_heavy
6	572400499	Spain, Navarra	0.69	1.07	0.644859813084112	1.37427571221632	female_heavy
6	534800399	Hungary, County Vas	0.61	1.12	0.544642857142857	1.37427571221632	female_heavy
6	603600199	Australian Capital Territory	0.35	0.78	0.448717948717949	1.37427571221632	female_heavy
6	575600399	Switzerland, Neuchâtel	0.38	1.44	0.263888888888889	1.37427571221632	female_heavy
7	575600299	Switzerland, Geneva	1.27	0.25	5.08	1.38414303774607	male_heavy
7	538000399	Italy, Latina	1.07	0.26	4.11538461538462	1.38414303774607	male_heavy
7	180000299	Uganda, Kyadondo County	2.31	0.63	3.66666666666667	1.38414303774607	male_heavy
7	441000199	Korea, Kangwha County	2.66	0.77	3.45454545454545	1.38414303774607	male_heavy
7	575600599	Switzerland, Vaud	1	0.31	3.2258064516129	1.38414303774607	male_heavy
7	435600999	India, Karunagappally	0.63	0.21	3	1.38414303774607	male_heavy
7	535200099	Iceland	1.25	0.45	2.77777777777778	1.38414303774607	male_heavy
7	435600499	India, Chennai	0.97	0.35	2.77142857142857	1.38414303774607	male_heavy
7	439200699	Japan, Yamagata Prefecture	0.31	0.45	0.688888888888889	1.38414303774607	female_heavy
